,Report_Date,Haiti_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.56033067976114,30.702779458160673,True,1,0.0013200033763737609,57.87320155333085
1,2020-01-23,0,79.56033067976114,30.702779458160673,True,2,0.0015135200561090575,57.87320155333085
2,2020-01-24,0,79.56033067976114,30.702779458160673,True,3,0.0017354060927952783,57.87320155333085
3,2020-01-25,0,79.56033067976114,30.702779458160673,True,4,0.001989820154234892,57.87320155333085
4,2020-01-26,0,79.56033067976114,30.702779458160673,True,5,0.0022815304484917164,57.87320155333085
5,2020-01-27,0,79.56033067976114,30.702779458160673,True,6,0.00261600403985253,57.87320155333085
6,2020-01-28,0,79.56033067976114,30.702779458160673,True,7,0.0029995092443967203,57.87320155333085
7,2020-01-29,0,79.56033067976114,30.702779458160673,True,8,0.003439233018102858,57.87320155333085
8,2020-01-30,0,79.56033067976114,30.702779458160673,True,9,0.003943415529412943,57.87320155333085
9,2020-01-31,0,79.56033067976114,30.702779458160673,True,10,0.004521504427611037,57.87320155333085
10,2020-02-01,0,79.56033067976114,30.702779458160673,True,11,0.005184331684038472,57.87320155333085
11,2020-02-02,0,79.56033067976114,30.702779458160673,True,12,0.005944316301651277,57.87320155333085
12,2020-02-03,0,79.56033067976114,30.702779458160673,True,13,0.006815696667221695,57.87320155333085
13,2020-02-04,0,79.56033067976114,30.702779458160673,True,14,0.007814796868110601,57.87320155333085
14,2020-02-05,0,79.56033067976114,30.702779458160673,True,15,0.008960331921652749,57.87320155333085
15,2020-02-06,0,79.56033067976114,30.702779458160673,True,16,0.010273757580746048,57.87320155333085
16,2020-02-07,0,79.56033067976114,30.702779458160673,True,17,0.011779671196590862,57.87320155333085
17,2020-02-08,0,79.56033067976114,30.702779458160673,True,18,0.013506271052639032,57.87320155333085
18,2020-02-09,0,79.56033067976114,30.702779458160673,True,19,0.015485882648380155,57.87320155333085
19,2020-02-10,0,79.56033067976114,30.702779458160673,True,20,0.017755561625210883,57.87320155333085
20,2020-02-11,0,79.56033067976114,30.702779458160673,True,21,0.020357784408955523,57.87320155333085
21,2020-02-12,0,79.56033067976114,30.702779458160673,True,22,0.023341239216480486,57.87320155333085
