,Report_Date,China_fujian_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,13.70418591715449,166.92155172484763,True,1,35.26855852333482,333.8431028002968
1,2020-01-23,5,13.70418591715449,166.92155172484763,True,2,40.934334193677486,333.8431028002968
2,2020-01-24,10,13.70418591715449,166.92155172484763,True,3,47.365905404515445,333.8431028002968
3,2020-01-25,18,13.70418591715449,166.92155172484763,True,4,54.61956483985768,333.8431028002968
4,2020-01-26,35,13.70418591715449,166.92155172484763,True,5,62.7407754627643,333.8431028002968
5,2020-01-27,59,13.70418591715449,166.92155172484763,True,6,71.7591768411529,333.8431028002968
6,2020-01-28,80,13.70418591715449,166.92155172484763,True,7,81.68330992896165,333.8431028002968
7,2020-01-29,84,13.70418591715449,166.92155172484763,True,8,92.4955461804245,333.8431028002968
8,2020-01-30,101,13.70418591715449,166.92155172484763,True,9,104.1478585171981,333.8431028002968
9,2020-01-31,120,13.70418591715449,166.92155172484763,True,10,116.55915851872079,333.8431028002968
10,2020-02-01,144,13.70418591715449,166.92155172484763,True,11,129.61489632126373,333.8431028002968
11,2020-02-02,159,13.70418591715449,166.92155172484763,True,12,143.16944051233173,333.8431028002968
12,2020-02-03,179,13.70418591715449,166.92155172484763,True,13,157.05142154362593,333.8431028002968
13,2020-02-04,194,13.70418591715449,166.92155172484763,True,14,171.07177822886428,333.8431028002968
14,2020-02-05,205,13.70418591715449,166.92155172484763,True,15,185.03378336608066,333.8431028002968
15,2020-02-06,215,13.70418591715449,166.92155172484763,True,16,198.74395615233018,333.8431028002968
16,2020-02-07,224,13.70418591715449,166.92155172484763,True,17,212.02259694566598,333.8431028002968
17,2020-02-08,239,13.70418591715449,166.92155172484763,True,18,224.7127537347828,333.8431028002968
18,2020-02-09,250,13.70418591715449,166.92155172484763,True,19,236.68672793229288,333.8431028002968
19,2020-02-10,261,13.70418591715449,166.92155172484763,True,20,247.84966580448676,333.8431028002968
20,2020-02-11,267,13.70418591715449,166.92155172484763,True,21,258.14024683444495,333.8431028002968
21,2020-02-12,272,13.70418591715449,166.92155172484763,True,22,267.52886731442135,333.8431028002968
22,2020-02-13,279,13.70418591715449,166.92155172484763,True,23,276.01396189488355,333.8431028002968
23,2020-02-14,281,13.70418591715449,166.92155172484763,True,24,283.617192528145,333.8431028002968
24,2020-02-15,285,13.70418591715449,166.92155172484763,True,25,290.37818852727696,333.8431028002968
25,2020-02-16,287,13.70418591715449,166.92155172484763,True,26,296.3493901668594,333.8431028002968
26,2020-02-17,290,13.70418591715449,166.92155172484763,True,27,301.5913808524999,333.8431028002968
27,2020-02-18,292,13.70418591715449,166.92155172484763,True,28,306.1689287318799,333.8431028002968
28,2020-02-19,293,13.70418591715449,166.92155172484763,True,29,310.14782190567723,333.8431028002968
29,2020-02-20,293,13.70418591715449,166.92155172484763,True,30,313.59248205695746,333.8431028002968
30,2020-02-21,293,13.70418591715449,166.92155172484763,True,31,316.56427896812824,333.8431028002968
31,2020-02-22,293,13.70418591715449,166.92155172484763,True,32,319.12043685878865,333.8431028002968
32,2020-02-23,293,13.70418591715449,166.92155172484763,True,33,321.3134144790404,333.8431028002968
33,2020-02-24,293,13.70418591715449,166.92155172484763,True,34,323.19064643654536,333.8431028002968
34,2020-02-25,294,13.70418591715449,166.92155172484763,True,35,324.79454679520273,333.8431028002968
35,2020-02-26,294,13.70418591715449,166.92155172484763,True,36,326.16269283975754,333.8431028002968
36,2020-02-27,296,13.70418591715449,166.92155172484763,True,37,327.328123999689,333.8431028002968
37,2020-02-28,296,13.70418591715449,166.92155172484763,True,38,328.31970652890845,333.8431028002968
38,2020-02-29,296,13.70418591715449,166.92155172484763,True,39,329.1625278384404,333.8431028002968
39,2020-03-01,296,13.70418591715449,166.92155172484763,True,40,329.87829516866987,333.8431028002968
40,2020-03-02,296,13.70418591715449,166.92155172484763,True,41,330.4857217010571,333.8431028002968
41,2020-03-03,296,13.70418591715449,166.92155172484763,True,42,331.00088954997733,333.8431028002968
42,2020-03-04,296,13.70418591715449,166.92155172484763,True,43,331.4375837042743,333.8431028002968
43,2020-03-05,296,13.70418591715449,166.92155172484763,True,44,331.80759425931114,333.8431028002968
44,2020-03-06,296,13.70418591715449,166.92155172484763,True,45,332.1209865090363,333.8431028002968
45,2020-03-07,296,13.70418591715449,166.92155172484763,True,46,332.38633991808115,333.8431028002968
46,2020-03-08,296,13.70418591715449,166.92155172484763,True,47,332.61095787830067,333.8431028002968
47,2020-03-09,296,13.70418591715449,166.92155172484763,True,48,332.8010506374099,333.8431028002968
48,2020-03-10,296,13.70418591715449,166.92155172484763,True,49,332.9618939943053,333.8431028002968
49,2020-03-11,296,13.70418591715449,166.92155172484763,True,50,333.09796637869266,333.8431028002968
50,2020-03-12,296,13.70418591715449,166.92155172484763,True,51,333.213066838705,333.8431028002968
51,2020-03-13,296,13.70418591715449,166.92155172484763,True,52,333.31041629672495,333.8431028002968
52,2020-03-14,296,13.70418591715449,166.92155172484763,True,53,333.39274423355135,333.8431028002968
53,2020-03-15,296,13.70418591715449,166.92155172484763,True,54,333.46236274654956,333.8431028002968
