,Report_Date,China_fujian_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
54,2020-03-16,296,13.70418591715449,166.92155172484763,True,55,333.5212297130042,333.8431028002968
55,2020-03-17,296,13.70418591715449,166.92155172484763,True,56,333.57100258456427,333.8431028002968
56,2020-03-18,296,13.70418591715449,166.92155172484763,True,57,333.6130841476483,333.8431028002968
57,2020-03-19,296,13.70418591715449,166.92155172484763,True,58,333.64866141057485,333.8431028002968
58,2020-03-20,299,13.70418591715449,166.92155172484763,True,59,333.67873862190044,333.8431028002968
59,2020-03-21,303,13.70418591715449,166.92155172484763,True,60,333.7041652857668,333.8431028002968
60,2020-03-22,313,13.70418591715449,166.92155172484763,True,61,333.72565991811075,333.8431028002968
61,2020-03-23,313,13.70418591715449,166.92155172484763,True,62,333.74383018110234,333.8431028002968
62,2020-03-24,318,13.70418591715449,166.92155172484763,True,63,333.7591899407297,333.8431028002968
63,2020-03-25,322,13.70418591715449,166.92155172484763,True,64,333.77217371254886,333.8431028002968
64,2020-03-26,328,13.70418591715449,166.92155172484763,True,65,333.78314889182667,333.8431028002968
65,2020-03-27,331,13.70418591715449,166.92155172484763,True,66,333.79242610525625,333.8431028002968
66,2020-03-28,337,13.70418591715449,166.92155172484763,True,67,333.80026797086805,333.8431028002968
67,2020-03-29,338,13.70418591715449,166.92155172484763,True,68,333.8068965095678,333.8431028002968
68,2020-03-30,340,13.70418591715449,166.92155172484763,True,69,333.8124994148874,333.8431028002968
69,2020-03-31,343,13.70418591715449,166.92155172484763,True,70,333.81723535616175,333.8431028002968
70,2020-04-01,345,13.70418591715449,166.92155172484763,True,71,333.82123846365226,333.8431028002968
71,2020-04-02,345,13.70418591715449,166.92155172484763,True,72,333.8246221214579,333.8431028002968
72,2020-04-03,349,13.70418591715449,166.92155172484763,True,73,333.82748217479593,333.8431028002968
73,2020-04-04,350,13.70418591715449,166.92155172484763,True,74,333.8298996418949,333.8431028002968
74,2020-04-05,350,13.70418591715449,166.92155172484763,True,75,333.8319430068907,333.8431028002968
75,2020-04-06,350,13.70418591715449,166.92155172484763,True,76,333.83367015836814,333.8431028002968
76,2020-04-07,351,13.70418591715449,166.92155172484763,True,77,333.8351300282485,333.8431028002968
77,2020-04-08,351,13.70418591715449,166.92155172484763,True,78,333.836363977295,333.8431028002968
78,2020-04-09,351,13.70418591715449,166.92155172484763,True,79,333.8374069663782,333.8431028002968
79,2020-04-10,351,13.70418591715449,166.92155172484763,True,80,333.8382885466041,333.8431028002968
80,2020-04-11,351,13.70418591715449,166.92155172484763,True,81,333.8390336963032,333.8431028002968
81,2020-04-12,352,13.70418591715449,166.92155172484763,True,82,333.83966352855106,333.8431028002968
82,2020-04-13,352,13.70418591715449,166.92155172484763,True,83,333.8401958892404,333.8431028002968
83,2020-04-14,353,13.70418591715449,166.92155172484763,True,84,333.84064586262923,333.8431028002968
84,2020-04-15,353,13.70418591715449,166.92155172484763,True,85,333.841026198673,333.8431028002968
85,2020-04-16,353,13.70418591715449,166.92155172484763,True,86,333.8413476742403,333.8431028002968
86,2020-04-17,354,13.70418591715449,166.92155172484763,True,87,333.84161939843926,333.8431028002968
87,2020-04-18,355,13.70418591715449,166.92155172484763,True,88,333.84184907069886,333.8431028002968
88,2020-04-19,355,13.70418591715449,166.92155172484763,True,89,333.84204319891705,333.8431028002968
89,2020-04-20,355,13.70418591715449,166.92155172484763,True,90,333.8422072838516,333.8431028002968
90,2020-04-21,355,13.70418591715449,166.92155172484763,True,91,333.84234597497823,333.8431028002968
91,2020-04-22,355,13.70418591715449,166.92155172484763,True,92,333.8424632022298,333.8431028002968
92,2020-04-23,355,13.70418591715449,166.92155172484763,True,93,333.84256228734944,333.8431028002968
93,2020-04-24,355,13.70418591715449,166.92155172484763,True,94,333.84264603801165,333.8431028002968
94,2020-04-25,355,13.70418591715449,166.92155172484763,True,95,333.842716827378,333.8431028002968
95,2020-04-26,355,13.70418591715449,166.92155172484763,True,96,333.84277666134096,333.8431028002968
96,2020-04-27,355,13.70418591715449,166.92155172484763,True,97,333.84282723536217,333.8431028002968
97,2020-04-28,355,13.70418591715449,166.92155172484763,True,98,333.8428699825138,333.8431028002968
98,2020-04-29,355,13.70418591715449,166.92155172484763,True,99,333.8429061140858,333.8431028002968
99,2020-04-30,356,13.70418591715449,166.92155172484763,True,100,333.84293665390896,333.8431028002968
100,2020-05-01,356,13.70418591715449,166.92155172484763,True,101,333.84296246736574,333.8431028002968
101,2020-05-02,356,13.70418591715449,166.92155172484763,True,102,333.8429842859115,333.8431028002968
102,2020-05-03,356,13.70418591715449,166.92155172484763,True,103,333.84300272780155,333.8431028002968
103,2020-05-04,356,13.70418591715449,166.92155172484763,True,104,333.8430183156094,333.8431028002968
104,2020-05-05,356,13.70418591715449,166.92155172484763,True,105,333.8430314910352,333.8431028002968
105,2020-05-06,356,13.70418591715449,166.92155172484763,True,106,333.8430426274208,333.8431028002968
106,2020-05-07,356,13.70418591715449,166.92155172484763,True,107,333.8430520403299,333.8431028002968
107,2020-05-08,356,13.70418591715449,166.92155172484763,True,108,333.843059996489,333.8431028002968
108,2020-05-09,356,13.70418591715449,166.92155172484763,True,109,333.843066721346,333.8431028002968
109,2020-05-10,356,13.70418591715449,166.92155172484763,True,110,333.84307240545826,333.8431028002968
110,2020-05-11,356,13.70418591715449,166.92155172484763,True,111,333.84307720989216,333.8431028002968
111,2020-05-12,356,13.70418591715449,166.92155172484763,True,112,333.8430812707877,333.8431028002968
112,2020-05-13,356,13.70418591715449,166.92155172484763,True,113,333.8430847032154,333.8431028002968
113,2020-05-14,356,13.70418591715449,166.92155172484763,True,114,333.8430876044376,333.8431028002968
114,2020-05-15,356,13.70418591715449,166.92155172484763,True,115,333.8430900566639,333.8431028002968
115,2020-05-16,356,13.70418591715449,166.92155172484763,True,116,333.8430921293816,333.8431028002968
116,2020-05-17,356,13.70418591715449,166.92155172484763,True,117,333.84309388132357,333.8431028002968
117,2020-05-18,356,13.70418591715449,166.92155172484763,True,118,333.8430953621334,333.8431028002968
118,2020-05-19,356,13.70418591715449,166.92155172484763,True,119,333.8430966137718,333.8431028002968
119,2020-05-20,356,13.70418591715449,166.92155172484763,True,120,333.84309767170555,333.8431028002968
120,2020-05-21,356,13.70418591715449,166.92155172484763,True,121,333.84309856591244,333.8431028002968
121,2020-05-22,356,13.70418591715449,166.92155172484763,True,122,333.8430993217311,333.8431028002968
122,2020-05-23,356,13.70418591715449,166.92155172484763,True,123,333.84309996057857,333.8431028002968
