,Report_Date,France_st martin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.25796749497619,19.69790802123686,True,1,0.00046303368725031114,38.685487560049594
1,2020-01-23,0,71.25796749497619,19.69790802123686,True,2,0.0005442259994724684,38.685487560049594
2,2020-01-24,0,71.25796749497619,19.69790802123686,True,3,0.0006396550394086181,38.685487560049594
3,2020-01-25,0,71.25796749497619,19.69790802123686,True,4,0.000751817068728221,38.685487560049594
4,2020-01-26,0,71.25796749497619,19.69790802123686,True,5,0.0008836460089068854,38.685487560049594
5,2020-01-27,0,71.25796749497619,19.69790802123686,True,6,0.0010385901615812094,38.685487560049594
6,2020-01-28,0,71.25796749497619,19.69790802123686,True,7,0.001220702372841192,38.685487560049594
7,2020-01-29,0,71.25796749497619,19.69790802123686,True,8,0.0014347459954148873,38.685487560049594
8,2020-01-30,0,71.25796749497619,19.69790802123686,True,9,0.0016863194141513666,38.685487560049594
9,2020-01-31,0,71.25796749497619,19.69790802123686,True,10,0.0019820023833057926,38.685487560049594
10,2020-02-01,0,71.25796749497619,19.69790802123686,True,11,0.0023295279912463112,38.685487560049594
11,2020-02-02,0,71.25796749497619,19.69790802123686,True,12,0.0027379847338050416,38.685487560049594
12,2020-02-03,0,71.25796749497619,19.69790802123686,True,13,0.0032180539584893996,38.685487560049594
13,2020-02-04,0,71.25796749497619,19.69790802123686,True,14,0.003782288857885596,38.685487560049594
14,2020-02-05,0,71.25796749497619,19.69790802123686,True,15,0.0044454422648214,38.685487560049594
15,2020-02-06,0,71.25796749497619,19.69790802123686,True,16,0.0052248517609764155,38.685487560049594
16,2020-02-07,0,71.25796749497619,19.69790802123686,True,17,0.006140892085729598,38.685487560049594
17,2020-02-08,0,71.25796749497619,19.69790802123686,True,18,0.007217506559158749,38.685487560049594
18,2020-02-09,0,71.25796749497619,19.69790802123686,True,19,0.008482831253923706,38.685487560049594
19,2020-02-10,0,71.25796749497619,19.69790802123686,True,20,0.009969928013291158,38.685487560049594
20,2020-02-11,0,71.25796749497619,19.69790802123686,True,21,0.011717645171910717,38.685487560049594
21,2020-02-12,0,71.25796749497619,19.69790802123686,True,22,0.013771628055091233,38.685487560049594
22,2020-02-13,0,71.25796749497619,19.69790802123686,True,23,0.016185505082749397,38.685487560049594
23,2020-02-14,0,71.25796749497619,19.69790802123686,True,24,0.019022279666495355,38.685487560049594
24,2020-02-15,0,71.25796749497619,19.69790802123686,True,25,0.022355963152453157,38.685487560049594
25,2020-02-16,0,71.25796749497619,19.69790802123686,True,26,0.02627348992761732,38.685487560049594
26,2020-02-17,0,71.25796749497619,19.69790802123686,True,27,0.03087696258149496,38.685487560049594
27,2020-02-18,0,71.25796749497619,19.69790802123686,True,28,0.03628628281175277,38.685487560049594
28,2020-02-19,0,71.25796749497619,19.69790802123686,True,29,0.0426422327000665,38.685487560049594
29,2020-02-20,0,71.25796749497619,19.69790802123686,True,30,0.050110081177436205,38.685487560049594
30,2020-02-21,0,71.25796749497619,19.69790802123686,True,31,0.05888380205071071,38.685487560049594
31,2020-02-22,0,71.25796749497619,19.69790802123686,True,32,0.06919100295317948,38.685487560049594
32,2020-02-23,0,71.25796749497619,19.69790802123686,True,33,0.08129867904675528,38.685487560049594
33,2020-02-24,0,71.25796749497619,19.69790802123686,True,34,0.09551992120368204,38.685487560049594
34,2020-02-25,0,71.25796749497619,19.69790802123686,True,35,0.112221725580984,38.685487560049594
35,2020-02-26,0,71.25796749497619,19.69790802123686,True,36,0.13183406965064692,38.685487560049594
36,2020-02-27,0,71.25796749497619,19.69790802123686,True,37,0.1548604382949939,38.685487560049594
