,Report_Date,China_hebei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,15.9805455087941,160.18884557901396,True,1,10.579359974508353,320.37767300129485
1,2020-01-23,1,15.9805455087941,160.18884557901396,True,2,13.14467421138049,320.37767300129485
2,2020-01-24,2,15.9805455087941,160.18884557901396,True,3,16.299305947516117,320.37767300129485
3,2020-01-25,8,15.9805455087941,160.18884557901396,True,4,20.161345675106936,320.37767300129485
4,2020-01-26,13,15.9805455087941,160.18884557901396,True,5,24.863652082825496,320.37767300129485
5,2020-01-27,18,15.9805455087941,160.18884557901396,True,6,30.551087251275685,320.37767300129485
6,2020-01-28,33,15.9805455087941,160.18884557901396,True,7,37.37495491952892,320.37767300129485
7,2020-01-29,48,15.9805455087941,160.18884557901396,True,8,45.48380098190128,320.37767300129485
8,2020-01-30,65,15.9805455087941,160.18884557901396,True,9,55.00996690707029,320.37767300129485
9,2020-01-31,82,15.9805455087941,160.18884557901396,True,10,66.05189921334039,320.37767300129485
10,2020-02-01,96,15.9805455087941,160.18884557901396,True,11,78.6533069277776,320.37767300129485
11,2020-02-02,104,15.9805455087941,160.18884557901396,True,12,92.78176485036732,320.37767300129485
12,2020-02-03,113,15.9805455087941,160.18884557901396,True,13,108.31094383560085,320.37767300129485
13,2020-02-04,126,15.9805455087941,160.18884557901396,True,14,125.01164548699309,320.37767300129485
14,2020-02-05,135,15.9805455087941,160.18884557901396,True,15,142.556408317726,320.37767300129485
15,2020-02-06,157,15.9805455087941,160.18884557901396,True,16,160.54010422716212,320.37767300129485
16,2020-02-07,172,15.9805455087941,160.18884557901396,True,17,178.51495022984233,320.37767300129485
17,2020-02-08,195,15.9805455087941,160.18884557901396,True,18,196.0340386518405,320.37767300129485
18,2020-02-09,206,15.9805455087941,160.18884557901396,True,19,212.6946884448457,320.37767300129485
19,2020-02-10,218,15.9805455087941,160.18884557901396,True,20,228.17298074521472,320.37767300129485
20,2020-02-11,239,15.9805455087941,160.18884557901396,True,21,242.243733443682,320.37767300129485
21,2020-02-12,251,15.9805455087941,160.18884557901396,True,22,254.78451257767023,320.37767300129485
22,2020-02-13,265,15.9805455087941,160.18884557901396,True,23,265.76622680972235,320.37767300129485
23,2020-02-14,283,15.9805455087941,160.18884557901396,True,24,275.23512279880845,320.37767300129485
24,2020-02-15,291,15.9805455087941,160.18884557901396,True,25,283.29134128324347,320.37767300129485
25,2020-02-16,300,15.9805455087941,160.18884557901396,True,26,290.06815926164387,320.37767300129485
