,Report_Date,Senegal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,90.7546984593037,440.28757990332014,True,1,0.5953332218917516,670.1509227289584
1,2020-01-23,0,90.7546984593037,440.28757990332014,True,2,0.6457293537932068,670.1509227289584
2,2020-01-24,0,90.7546984593037,440.28757990332014,True,3,0.7003882222241249,670.1509227289584
3,2020-01-25,0,90.7546984593037,440.28757990332014,True,4,0.7596697899358351,670.1509227289584
4,2020-01-26,0,90.7546984593037,440.28757990332014,True,5,0.8239643107019018,670.1509227289584
5,2020-01-27,0,90.7546984593037,440.28757990332014,True,6,0.8936948596713604,670.1509227289584
6,2020-01-28,0,90.7546984593037,440.28757990332014,True,7,0.9693200717997239,670.1509227289584
7,2020-01-29,0,90.7546984593037,440.28757990332014,True,8,1.0513371048842957,670.1509227289584
8,2020-01-30,0,90.7546984593037,440.28757990332014,True,9,1.1402848449382657,670.1509227289584
9,2020-01-31,0,90.7546984593037,440.28757990332014,True,10,1.236747372915041,670.1509227289584
10,2020-02-01,0,90.7546984593037,440.28757990332014,True,11,1.3413577131404046,670.1509227289584
11,2020-02-02,0,90.7546984593037,440.28757990332014,True,12,1.454801885224595,670.1509227289584
12,2020-02-03,0,90.7546984593037,440.28757990332014,True,13,1.5778232827072587,670.1509227289584
13,2020-02-04,0,90.7546984593037,440.28757990332014,True,14,1.711227403231995,670.1509227289584
14,2020-02-05,0,90.7546984593037,440.28757990332014,True,15,1.8558869566485623,670.1509227289584
15,2020-02-06,0,90.7546984593037,440.28757990332014,True,16,2.0127473790923713,670.1509227289584
16,2020-02-07,0,90.7546984593037,440.28757990332014,True,17,2.1828327827824294,670.1509227289584
17,2020-02-08,0,90.7546984593037,440.28757990332014,True,18,2.3672523729971693,670.1509227289584
18,2020-02-09,0,90.7546984593037,440.28757990332014,True,19,2.567207365415395,670.1509227289584
19,2020-02-10,0,90.7546984593037,440.28757990332014,True,20,2.7839984387252175,670.1509227289584
20,2020-02-11,0,90.7546984593037,440.28757990332014,True,21,3.0190337590801386,670.1509227289584
21,2020-02-12,0,90.7546984593037,440.28757990332014,True,22,3.273837614584898,670.1509227289584
22,2020-02-13,0,90.7546984593037,440.28757990332014,True,23,3.5500596994831812,670.1509227289584
23,2020-02-14,0,90.7546984593037,440.28757990332014,True,24,3.8494850890448924,670.1509227289584
24,2020-02-15,0,90.7546984593037,440.28757990332014,True,25,4.17404494725225,670.1509227289584
25,2020-02-16,0,90.7546984593037,440.28757990332014,True,26,4.525828010189165,670.1509227289584
