,Report_Date,Sao Tome and Principe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,93.2714921001558,5.320819831157835,False,1,0.00657167864059906,0.02066127813105472
1,2020-01-23,0,93.2714921001558,5.320819831157835,False,2,0.007119220699225188,0.02066127813105472
2,2020-01-24,0,93.2714921001558,5.320819831157835,False,3,0.007712350028834917,0.02066127813105472
3,2020-01-25,0,93.2714921001558,5.320819831157835,False,4,0.008354856393944999,0.02066127813105472
4,2020-01-26,0,93.2714921001558,5.320819831157835,False,5,0.009050843613703067,0.02066127813105472
5,2020-01-27,0,93.2714921001558,5.320819831157835,False,6,0.009804755414400622,0.02066127813105472
6,2020-01-28,0,93.2714921001558,5.320819831157835,False,7,0.010621403380078933,0.02066127813105472
7,2020-01-29,0,93.2714921001558,5.320819831157835,False,8,0.011505997166262353,0.02066127813105472
8,2020-01-30,0,93.2714921001558,5.320819831157835,False,9,0.012464177153913007,0.02066127813105472
9,2020-01-31,0,93.2714921001558,5.320819831157835,False,10,0.013502049733475647,0.02066127813105472
10,2020-02-01,0,93.2714921001558,5.320819831157835,False,11,0.014626225422381584,0.02066127813105472
11,2020-02-02,0,93.2714921001558,5.320819831157835,False,12,0.015843860033609877,0.02066127813105472
12,2020-02-03,0,93.2714921001558,5.320819831157835,False,13,0.017162699127855785,0.02066127813105472
13,2020-02-04,0,93.2714921001558,5.320819831157835,False,14,0.018591125997513794,0.02066127813105472
14,2020-02-05,0,93.2714921001558,5.320819831157835,False,15,0.020138213447013116,0.02066127813105472
15,2020-02-06,0,93.2714921001558,5.320819831157835,False,16,0.021813779650998632,0.02066127813105472
16,2020-02-07,0,93.2714921001558,5.320819831157835,False,17,0.02362844838935886,0.02066127813105472
17,2020-02-08,0,93.2714921001558,5.320819831157835,False,18,0.025593713976068702,0.02066127813105472
18,2020-02-09,0,93.2714921001558,5.320819831157835,False,19,0.027722011217111514,0.02066127813105472
19,2020-02-10,0,93.2714921001558,5.320819831157835,False,20,0.030026790751207892,0.02066127813105472
20,2020-02-11,0,93.2714921001558,5.320819831157835,False,21,0.03252260014550033,0.02066127813105472
21,2020-02-12,0,93.2714921001558,5.320819831157835,False,22,0.035225171136462445,0.02066127813105472
22,2020-02-13,0,93.2714921001558,5.320819831157835,False,23,0.038151513423797905,0.02066127813105472
23,2020-02-14,0,93.2714921001558,5.320819831157835,False,24,0.0413200154415734,0.02066127813105472
24,2020-02-15,0,93.2714921001558,5.320819831157835,False,25,0.04475055254581239,0.02066127813105472
25,2020-02-16,0,93.2714921001558,5.320819831157835,False,26,0.04846460307068644,0.02066127813105472
26,2020-02-17,0,93.2714921001558,5.320819831157835,False,27,0.05248537271558298,0.02066127813105472
27,2020-02-18,0,93.2714921001558,5.320819831157835,False,28,0.05683792773188123,0.02066127813105472
28,2020-02-19,0,93.2714921001558,5.320819831157835,False,29,0.061549337380248675,0.02066127813105472
29,2020-02-20,0,93.2714921001558,5.320819831157835,False,30,0.06664882612552833,0.02066127813105472
30,2020-02-21,0,93.2714921001558,5.320819831157835,False,31,0.07216793602546354,0.02066127813105472
31,2020-02-22,0,93.2714921001558,5.320819831157835,False,32,0.07814069975002101,0.02066127813105472
32,2020-02-23,0,93.2714921001558,5.320819831157835,False,33,0.08460382463808006,0.02066127813105472
33,2020-02-24,0,93.2714921001558,5.320819831157835,False,34,0.091596888155626,0.02066127813105472
34,2020-02-25,0,93.2714921001558,5.320819831157835,False,35,0.09916254506186216,0.02066127813105472
35,2020-02-26,0,93.2714921001558,5.320819831157835,False,36,0.10734674651402332,0.02066127813105472
36,2020-02-27,0,93.2714921001558,5.320819831157835,False,37,0.11619897124492717,0.02066127813105472
37,2020-02-28,0,93.2714921001558,5.320819831157835,False,38,0.12577246882580365,0.02066127813105472
38,2020-02-29,0,93.2714921001558,5.320819831157835,False,39,0.13612451487660313,0.02066127813105472
39,2020-03-01,0,93.2714921001558,5.320819831157835,False,40,0.1473166779022283,0.02066127813105472
40,2020-03-02,0,93.2714921001558,5.320819831157835,False,41,0.1594150972108823,0.02066127813105472
41,2020-03-03,0,93.2714921001558,5.320819831157835,False,42,0.1724907711044027,0.02066127813105472
42,2020-03-04,0,93.2714921001558,5.320819831157835,False,43,0.1866198542139778,0.02066127813105472
43,2020-03-05,0,93.2714921001558,5.320819831157835,False,44,0.2018839624815054,0.02066127813105472
44,2020-03-06,0,93.2714921001558,5.320819831157835,False,45,0.21837048385013427,0.02066127813105472
45,2020-03-07,0,93.2714921001558,5.320819831157835,False,46,0.23617289222006252,0.02066127813105472
46,2020-03-08,0,93.2714921001558,5.320819831157835,False,47,0.2553910616401535,0.02066127813105472
47,2020-03-09,0,93.2714921001558,5.320819831157835,False,48,0.27613157703522495,0.02066127813105472
48,2020-03-10,0,93.2714921001558,5.320819831157835,False,49,0.2985080370062391,0.02066127813105472
49,2020-03-11,0,93.2714921001558,5.320819831157835,False,50,0.3226413433802012,0.02066127813105472
50,2020-03-12,0,93.2714921001558,5.320819831157835,False,51,0.34865997122387365,0.02066127813105472
51,2020-03-13,0,93.2714921001558,5.320819831157835,False,52,0.3767002119679767,0.02066127813105472
52,2020-03-14,0,93.2714921001558,5.320819831157835,False,53,0.4069063811167922,0.02066127813105472
53,2020-03-15,0,93.2714921001558,5.320819831157835,False,54,0.4394309807462902,0.02066127813105472
54,2020-03-16,0,93.2714921001558,5.320819831157835,False,55,0.4744348056313511,0.02066127813105472
55,2020-03-17,0,93.2714921001558,5.320819831157835,False,56,0.5120869804050706,0.02066127813105472
56,2020-03-18,0,93.2714921001558,5.320819831157835,False,57,0.552564913664143,0.02066127813105472
57,2020-03-19,0,93.2714921001558,5.320819831157835,False,58,0.5960541534272223,0.02066127813105472
58,2020-03-20,0,93.2714921001558,5.320819831157835,False,59,0.6427481268727127,0.02066127813105472
59,2020-03-21,0,93.2714921001558,5.320819831157835,False,60,0.6928477458867182,0.02066127813105472
60,2020-03-22,0,93.2714921001558,5.320819831157835,False,61,0.7465608587140647,0.02066127813105472
61,2020-03-23,0,93.2714921001558,5.320819831157835,False,62,0.8041015270151333,0.02066127813105472
62,2020-03-24,0,93.2714921001558,5.320819831157835,False,63,0.8656891069962156,0.02066127813105472
63,2020-03-25,0,93.2714921001558,5.320819831157835,False,64,0.9315471131266243,0.02066127813105472
64,2020-03-26,0,93.2714921001558,5.320819831157835,False,65,1.0019018434245788,0.02066127813105472
65,2020-03-27,0,93.2714921001558,5.320819831157835,False,66,1.0769807465436736,0.02066127813105472
66,2020-03-28,0,93.2714921001558,5.320819831157835,False,67,1.1570105130911452,0.02066127813105472
67,2020-03-29,0,93.2714921001558,5.320819831157835,False,68,1.2422148769312955,0.02066127813105472
68,2020-03-30,0,93.2714921001558,5.320819831157835,False,69,1.3328121168406022,0.02066127813105472
69,2020-03-31,0,93.2714921001558,5.320819831157835,False,70,1.4290122549365492,0.02066127813105472
70,2020-04-01,0,93.2714921001558,5.320819831157835,False,71,1.5310139559187521,0.02066127813105472
71,2020-04-02,0,93.2714921001558,5.320819831157835,False,72,1.6390011404061058,0.02066127813105472
72,2020-04-03,0,93.2714921001558,5.320819831157835,False,73,1.7531393365228702,0.02066127813105472
73,2020-04-04,0,93.2714921001558,5.320819831157835,False,74,1.8735718062803417,0.02066127813105472
74,2020-04-05,0,93.2714921001558,5.320819831157835,False,75,2.0004154970022427,0.02066127813105472
75,2020-04-06,4,93.2714921001558,5.320819831157835,False,76,2.1337568826970603,0.02066127813105472
76,2020-04-07,4,93.2714921001558,5.320819831157835,False,77,2.2736477753828233,0.02066127813105472
77,2020-04-08,4,93.2714921001558,5.320819831157835,False,78,2.4201012012545537,0.02066127813105472
78,2020-04-09,4,93.2714921001558,5.320819831157835,False,79,2.573087450434899,0.02066127813105472
79,2020-04-10,4,93.2714921001558,5.320819831157835,False,80,2.7325304209170005,0.02066127813105472
80,2020-04-11,4,93.2714921001558,5.320819831157835,False,81,2.8983043861580775,0.02066127813105472
81,2020-04-12,4,93.2714921001558,5.320819831157835,False,82,3.0702313205444907,0.02066127813105472
82,2020-04-13,4,93.2714921001558,5.320819831157835,False,83,3.2480789166046,0.02066127813105472
83,2020-04-14,4,93.2714921001558,5.320819831157835,False,84,3.4315594215163276,0.02066127813105472
84,2020-04-15,4,93.2714921001558,5.320819831157835,False,85,3.6203294075080548,0.02066127813105472
