,Report_Date,Liberia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,92.88225366007484,108.70076985684598,True,1,0.002460873536698506,177.80730388871893
1,2020-01-23,0,92.88225366007484,108.70076985684598,True,2,0.002785609557336039,177.80730388871893
2,2020-01-24,0,92.88225366007484,108.70076985684598,True,3,0.0031531970093900265,177.80730388871893
3,2020-01-25,0,92.88225366007484,108.70076985684598,True,4,0.0035692902960536856,177.80730388871893
4,2020-01-26,0,92.88225366007484,108.70076985684598,True,5,0.0040402898905216745,177.80730388871893
5,2020-01-27,0,92.88225366007484,108.70076985684598,True,6,0.004573440762326991,177.80730388871893
6,2020-01-28,0,92.88225366007484,108.70076985684598,True,7,0.005176943784817624,177.80730388871893
7,2020-01-29,0,92.88225366007484,108.70076985684598,True,8,0.005860081834719186,177.80730388871893
8,2020-01-30,0,92.88225366007484,108.70076985684598,True,9,0.006633362519928387,177.80730388871893
9,2020-01-31,0,92.88225366007484,108.70076985684598,True,10,0.007508679726435263,177.80730388871893
10,2020-02-01,0,92.88225366007484,108.70076985684598,True,11,0.008499496463433655,177.80730388871893
11,2020-02-02,0,92.88225366007484,108.70076985684598,True,12,0.009621051811599432,177.80730388871893
12,2020-02-03,0,92.88225366007484,108.70076985684598,True,13,0.010890595148101792,177.80730388871893
13,2020-02-04,0,92.88225366007484,108.70076985684598,True,14,0.012327651238698369,177.80730388871893
14,2020-02-05,0,92.88225366007484,108.70076985684598,True,15,0.013954320258486879,177.80730388871893
15,2020-02-06,0,92.88225366007484,108.70076985684598,True,16,0.015795617335570028,177.80730388871893
16,2020-02-07,0,92.88225366007484,108.70076985684598,True,17,0.0178798568139442,177.80730388871893
17,2020-02-08,0,92.88225366007484,108.70076985684598,True,18,0.020239087112240737,177.80730388871893
18,2020-02-09,0,92.88225366007484,108.70076985684598,True,19,0.022909582823527196,177.80730388871893
19,2020-02-10,0,92.88225366007484,108.70076985684598,True,20,0.025932401569435576,177.80730388871893
20,2020-02-11,0,92.88225366007484,108.70076985684598,True,21,0.02935401410200871,177.80730388871893
21,2020-02-12,0,92.88225366007484,108.70076985684598,True,22,0.033227017252934164,177.80730388871893
22,2020-02-13,0,92.88225366007484,108.70076985684598,True,23,0.03761094057802266,177.80730388871893
23,2020-02-14,0,92.88225366007484,108.70076985684598,True,24,0.0425731589524665,177.80730388871893
24,2020-02-15,0,92.88225366007484,108.70076985684598,True,25,0.048189924959168004,177.80730388871893
25,2020-02-16,0,92.88225366007484,108.70076985684598,True,26,0.05454753670001458,177.80730388871893
26,2020-02-17,0,92.88225366007484,108.70076985684598,True,27,0.061743658672502734,177.80730388871893
27,2020-02-18,0,92.88225366007484,108.70076985684598,True,28,0.06988881561819567,177.80730388871893
28,2020-02-19,0,92.88225366007484,108.70076985684598,True,29,0.07910808179441105,177.80730388871893
29,2020-02-20,0,92.88225366007484,108.70076985684598,True,30,0.08954299097832497,177.80730388871893
30,2020-02-21,0,92.88225366007484,108.70076985684598,True,31,0.10135369571821914,177.80730388871893
31,2020-02-22,0,92.88225366007484,108.70076985684598,True,32,0.1147214079375951,177.80730388871893
32,2020-02-23,0,92.88225366007484,108.70076985684598,True,33,0.12985115701472671,177.80730388871893
33,2020-02-24,0,92.88225366007484,108.70076985684598,True,34,0.14697490594576157,177.80730388871893
