,Report_Date,Fiji_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.59569860666431,10.642731840411457,True,1,0.00024837394822940757,20.410105357145557
1,2020-01-23,0,74.59569860666431,10.642731840411457,True,2,0.0002898232277183794,20.410105357145557
2,2020-01-24,0,74.59569860666431,10.642731840411457,True,3,0.0003381895590371698,20.410105357145557
3,2020-01-25,0,74.59569860666431,10.642731840411457,True,4,0.00039462721939671725,20.410105357145557
4,2020-01-26,0,74.59569860666431,10.642731840411457,True,5,0.00046048309067620746,20.410105357145557
5,2020-01-27,0,74.59569860666431,10.642731840411457,True,6,0.0005373287925704116,20.410105357145557
6,2020-01-28,0,74.59569860666431,10.642731840411457,True,7,0.0006269981747826543,20.410105357145557
7,2020-01-29,0,74.59569860666431,10.642731840411457,True,8,0.000731631061345305,20.410105357145557
8,2020-01-30,0,74.59569860666431,10.642731840411457,True,9,0.0008537242887354409,20.410105357145557
9,2020-01-31,0,74.59569860666431,10.642731840411457,True,10,0.0009961912526709653,20.410105357145557
10,2020-02-01,0,74.59569860666431,10.642731840411457,True,11,0.001162431380373088,20.410105357145557
11,2020-02-02,0,74.59569860666431,10.642731840411457,True,12,0.0013564111803703641,20.410105357145557
12,2020-02-03,0,74.59569860666431,10.642731840411457,True,13,0.001582758796059186,20.410105357145557
13,2020-02-04,0,74.59569860666431,10.642731840411457,True,14,0.0018468743085590454,20.410105357145557
14,2020-02-05,0,74.59569860666431,10.642731840411457,True,15,0.0021550584062441707,20.410105357145557
15,2020-02-06,0,74.59569860666431,10.642731840411457,True,16,0.002514662471182913,20.410105357145557
16,2020-02-07,0,74.59569860666431,10.642731840411457,True,17,0.0029342636363751924,20.410105357145557
17,2020-02-08,0,74.59569860666431,10.642731840411457,True,18,0.003423868953448564,20.410105357145557
18,2020-02-09,0,74.59569860666431,10.642731840411457,True,19,0.0039951534913578775,20.410105357145557
19,2020-02-10,0,74.59569860666431,10.642731840411457,True,20,0.004661737977552887,20.410105357145557
20,2020-02-11,0,74.59569860666431,10.642731840411457,True,21,0.00543951251110056,20.410105357145557
21,2020-02-12,0,74.59569860666431,10.642731840411457,True,22,0.006347013941825486,20.410105357145557
22,2020-02-13,0,74.59569860666431,10.642731840411457,True,23,0.007405865742727492,20.410105357145557
23,2020-02-14,0,74.59569860666431,10.642731840411457,True,24,0.008641290629639772,20.410105357145557
24,2020-02-15,0,74.59569860666431,10.642731840411457,True,25,0.010082707830181845,20.410105357145557
25,2020-02-16,0,74.59569860666431,10.642731840411457,True,26,0.011764428804491947,20.410105357145557
26,2020-02-17,0,74.59569860666431,10.642731840411457,True,27,0.013726467406971345,20.410105357145557
