,Report_Date,Zimbabwe_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
46,2020-03-08,0,0,275.7227015564844,20450.497064495932,False,47,2.9107743979389955,40900.99412899186
47,2020-03-09,0,0,275.7227015564844,20450.497064495932,False,48,3.0348790663359333,40900.99412899186
48,2020-03-10,0,0,275.7227015564844,20450.497064495932,False,49,3.1642746899791008,40900.99412899186
49,2020-03-11,0,0,275.7227015564844,20450.497064495932,False,50,3.299186802548851,40900.99412899186
50,2020-03-12,0,0,275.7227015564844,20450.497064495932,False,51,3.4398505482797495,40900.99412899186
51,2020-03-13,0,0,275.7227015564844,20450.497064495932,False,52,3.5865110912199043,40900.99412899186
52,2020-03-14,0,0,275.7227015564844,20450.497064495932,False,53,3.739424041894781,40900.99412899186
53,2020-03-15,0,0,275.7227015564844,20450.497064495932,False,54,3.8988559021136227,40900.99412899186
54,2020-03-16,0,0,275.7227015564844,20450.497064495932,False,55,4.065084528687701,40900.99412899186
55,2020-03-17,0,0,275.7227015564844,20450.497064495932,False,56,4.238399616862026,40900.99412899186
56,2020-03-18,0,0,275.7227015564844,20450.497064495932,False,57,4.419103204295958,40900.99412899186
57,2020-03-19,0,0,275.7227015564844,20450.497064495932,False,58,4.607510196463315,40900.99412899186
58,2020-03-20,1,1,275.7227015564844,20450.497064495932,False,59,4.803948914379161,40900.99412899186
59,2020-03-21,3,3,275.7227015564844,20450.497064495932,False,60,5.008761665598697,40900.99412899186
60,2020-03-22,3,3,275.7227015564844,20450.497064495932,False,61,5.22230533947336,40900.99412899186
61,2020-03-23,3,2,275.7227015564844,20450.497064495932,False,62,5.444952027690598,40900.99412899186
62,2020-03-24,3,2,275.7227015564844,20450.497064495932,False,63,5.67708967116692,40900.99412899186
63,2020-03-25,3,2,275.7227015564844,20450.497064495932,False,64,5.919122734408691,40900.99412899186
64,2020-03-26,3,2,275.7227015564844,20450.497064495932,False,65,6.17147290850177,40900.99412899186
65,2020-03-27,5,4,275.7227015564844,20450.497064495932,False,66,6.434579843939874,40900.99412899186
66,2020-03-28,7,6,275.7227015564844,20450.497064495932,False,67,6.708901914552049,40900.99412899186
67,2020-03-29,7,6,275.7227015564844,20450.497064495932,False,68,6.994917013842403,40900.99412899186
68,2020-03-30,7,6,275.7227015564844,20450.497064495932,False,69,7.293123385110148,40900.99412899186
69,2020-03-31,8,7,275.7227015564844,20450.497064495932,False,70,7.60404048677508,40900.99412899186
70,2020-04-01,8,7,275.7227015564844,20450.497064495932,False,71,7.928209894393025,40900.99412899186
71,2020-04-02,9,8,275.7227015564844,20450.497064495932,False,72,8.266196240907744,40900.99412899186
72,2020-04-03,9,8,275.7227015564844,20450.497064495932,False,73,8.618588196750114,40900.99412899186
73,2020-04-04,9,8,275.7227015564844,20450.497064495932,False,74,8.985999491462278,40900.99412899186
74,2020-04-05,9,8,275.7227015564844,20450.497064495932,False,75,9.36906997859441,40900.99412899186
75,2020-04-06,10,9,275.7227015564844,20450.497064495932,False,76,9.768466745693948,40900.99412899186
76,2020-04-07,11,9,275.7227015564844,20450.497064495932,False,77,10.184885271282749,40900.99412899186
77,2020-04-08,11,8,275.7227015564844,20450.497064495932,False,78,10.619050630796057,40900.99412899186
78,2020-04-09,11,8,275.7227015564844,20450.497064495932,False,79,11.071718753538708,40900.99412899186
79,2020-04-10,13,10,275.7227015564844,20450.497064495932,False,80,11.543677732798773,40900.99412899186
80,2020-04-11,14,11,275.7227015564844,20450.497064495932,False,81,12.035749191347298,40900.99412899186
81,2020-04-12,14,11,275.7227015564844,20450.497064495932,False,82,12.548789704644202,40900.99412899186
82,2020-04-13,17,14,275.7227015564844,20450.497064495932,False,83,13.08369228416597,40900.99412899186
83,2020-04-14,17,14,275.7227015564844,20450.497064495932,False,84,13.64138792336973,40900.99412899186
84,2020-04-15,23,19,275.7227015564844,20450.497064495932,False,85,14.222847208911402,40900.99412899186
85,2020-04-16,23,19,275.7227015564844,20450.497064495932,False,86,14.829081999842412,40900.99412899186
86,2020-04-17,24,19,275.7227015564844,20450.497064495932,False,87,15.461147177620866,40900.99412899186
87,2020-04-18,25,20,275.7227015564844,20450.497064495932,False,88,16.12014246988842,40900.99412899186
88,2020-04-19,25,20,275.7227015564844,20450.497064495932,False,89,16.807214351083886,40900.99412899186
89,2020-04-20,25,20,275.7227015564844,20450.497064495932,False,90,17.52355802308944,40900.99412899186
90,2020-04-21,28,23,275.7227015564844,20450.497064495932,False,91,18.270419479234302,40900.99412899186
91,2020-04-22,28,22,275.7227015564844,20450.497064495932,False,92,19.049097655115,40900.99412899186
92,2020-04-23,28,22,275.7227015564844,20450.497064495932,False,93,19.860946669830692,40900.99412899186
93,2020-04-24,29,23,275.7227015564844,20450.497064495932,False,94,20.707378161376425,40900.99412899186
94,2020-04-25,31,25,275.7227015564844,20450.497064495932,False,95,21.58986372008689,40900.99412899186
95,2020-04-26,31,25,275.7227015564844,20450.497064495932,False,96,22.509937424179025,40900.99412899186
96,2020-04-27,32,23,275.7227015564844,20450.497064495932,False,97,23.469198481602604,40900.99412899186
97,2020-04-28,32,23,275.7227015564844,20450.497064495932,False,98,24.469313982574977,40900.99412899186
98,2020-04-29,32,23,275.7227015564844,20450.497064495932,False,99,25.512021767349506,40900.99412899186
99,2020-04-30,40,31,275.7227015564844,20450.497064495932,False,100,26.599133413945935,40900.99412899186
100,2020-05-01,40,31,275.7227015564844,20450.497064495932,False,101,27.73253735075699,40900.99412899186
101,2020-05-02,34,25,275.7227015564844,20450.497064495932,False,102,28.91420209913771,40900.99412899186
102,2020-05-03,34,25,275.7227015564844,20450.497064495932,False,103,30.14617965128239,40900.99412899186
103,2020-05-04,34,25,275.7227015564844,20450.497064495932,False,104,31.43060898890004,40900.99412899186
104,2020-05-05,34,25,275.7227015564844,20450.497064495932,False,105,32.76971974841241,40900.99412899186
105,2020-05-06,34,25,275.7227015564844,20450.497064495932,False,106,34.16583603861752,40900.99412899186
106,2020-05-07,34,25,275.7227015564844,20450.497064495932,False,107,35.621380416989446,40900.99412899186
107,2020-05-08,34,21,275.7227015564844,20450.497064495932,False,108,37.138878031020134,40900.99412899186
108,2020-05-09,35,22,275.7227015564844,20450.497064495932,False,109,38.720960931249884,40900.99412899186
109,2020-05-10,36,23,275.7227015564844,20450.497064495932,False,110,40.37037256288421,40900.99412899186
110,2020-05-11,36,23,275.7227015564844,20450.497064495932,False,111,42.08997244315193,40900.99412899186
111,2020-05-12,36,23,275.7227015564844,20450.497064495932,False,112,43.88274103182455,40900.99412899186
112,2020-05-13,37,21,275.7227015564844,20450.497064495932,False,113,45.75178480259044,40900.99412899186
113,2020-05-14,37,20,275.7227015564844,20450.497064495932,False,114,47.70034152325954,40900.99412899186
114,2020-05-15,42,25,275.7227015564844,20450.497064495932,False,115,49.73178575306198,40900.99412899186
115,2020-05-16,42,25,275.7227015564844,20450.497064495932,False,116,51.84963456560284,40900.99412899186
116,2020-05-17,44,23,275.7227015564844,20450.497064495932,False,117,54.05755350634038,40900.99412899186
117,2020-05-18,46,24,275.7227015564844,20450.497064495932,False,118,56.35936279376738,40900.99412899186
118,2020-05-19,46,24,275.7227015564844,20450.497064495932,False,119,58.75904377379714,40900.99412899186
119,2020-05-20,48,26,275.7227015564844,20450.497064495932,False,120,61.2607456371852,40900.99412899186
120,2020-05-21,51,29,275.7227015564844,20450.497064495932,False,121,63.86879241015204,40900.99412899186
121,2020-05-22,51,29,275.7227015564844,20450.497064495932,False,122,66.58769022871756,40900.99412899186
122,2020-05-23,56,34,275.7227015564844,20450.497064495932,False,123,69.42213490760865,40900.99412899186
123,2020-05-24,56,27,275.7227015564844,20450.497064495932,False,124,72.37701981495695,40900.99412899186
124,2020-05-25,56,27,275.7227015564844,20450.497064495932,False,125,75.45744406436916,40900.99412899186
125,2020-05-26,56,27,275.7227015564844,20450.497064495932,False,126,78.66872103632166,40900.99412899186
126,2020-05-27,132,103,275.7227015564844,20450.497064495932,False,127,82.01638724120417,40900.99412899186
127,2020-05-28,149,117,275.7227015564844,20450.497064495932,False,128,85.50621153671818,40900.99412899186
