,Report_Date,Zimbabwe_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,275.7227015564844,20450.497064495932,False,1,0.4264454621558147,40900.99412899186
1,2020-01-23,0,0,275.7227015564844,20450.497064495932,False,2,0.4446286729923863,40900.99412899186
2,2020-01-24,0,0,275.7227015564844,20450.497064495932,False,3,0.4635871890863804,40900.99412899186
3,2020-01-25,0,0,275.7227015564844,20450.497064495932,False,4,0.48335406754363497,40900.99412899186
4,2020-01-26,0,0,275.7227015564844,20450.497064495932,False,5,0.5039637748768669,40900.99412899186
5,2020-01-27,0,0,275.7227015564844,20450.497064495932,False,6,0.5254522470906609,40900.99412899186
6,2020-01-28,0,0,275.7227015564844,20450.497064495932,False,7,0.547856952327459,40900.99412899186
7,2020-01-29,0,0,275.7227015564844,20450.497064495932,False,8,0.5712169561836659,40900.99412899186
8,2020-01-30,0,0,275.7227015564844,20450.497064495932,False,9,0.5955729898096271,40900.99412899186
9,2020-01-31,0,0,275.7227015564844,20450.497064495932,False,10,0.620967520912082,40900.99412899186
10,2020-02-01,0,0,275.7227015564844,20450.497064495932,False,11,0.6474448277827395,40900.99412899186
11,2020-02-02,0,0,275.7227015564844,20450.497064495932,False,12,0.6750510764818904,40900.99412899186
12,2020-02-03,0,0,275.7227015564844,20450.497064495932,False,13,0.703834401311453,40900.99412899186
13,2020-02-04,0,0,275.7227015564844,20450.497064495932,False,14,0.7338449887175679,40900.99412899186
14,2020-02-05,0,0,275.7227015564844,20450.497064495932,False,15,0.7651351647688249,40900.99412899186
15,2020-02-06,0,0,275.7227015564844,20450.497064495932,False,16,0.7977594863624147,40900.99412899186
16,2020-02-07,0,0,275.7227015564844,20450.497064495932,False,17,0.8317748363169776,40900.99412899186
17,2020-02-08,0,0,275.7227015564844,20450.497064495932,False,18,0.867240522517682,40900.99412899186
18,2020-02-09,0,0,275.7227015564844,20450.497064495932,False,19,0.9042183812860953,40900.99412899186
19,2020-02-10,0,0,275.7227015564844,20450.497064495932,False,20,0.9427728851547605,40900.99412899186
20,2020-02-11,0,0,275.7227015564844,20450.497064495932,False,21,0.9829712552340336,40900.99412899186
21,2020-02-12,0,0,275.7227015564844,20450.497064495932,False,22,1.0248835783667185,40900.99412899186
22,2020-02-13,0,0,275.7227015564844,20450.497064495932,False,23,1.0685829292743447,40900.99412899186
23,2020-02-14,0,0,275.7227015564844,20450.497064495932,False,24,1.114145497907602,40900.99412899186
24,2020-02-15,0,0,275.7227015564844,20450.497064495932,False,25,1.1616507222224774,40900.99412899186
25,2020-02-16,0,0,275.7227015564844,20450.497064495932,False,26,1.2111814266130543,40900.99412899186
26,2020-02-17,0,0,275.7227015564844,20450.497064495932,False,27,1.2628239662417533,40900.99412899186
27,2020-02-18,0,0,275.7227015564844,20450.497064495932,False,28,1.316668377518016,40900.99412899186
28,2020-02-19,0,0,275.7227015564844,20450.497064495932,False,29,1.3728085349871015,40900.99412899186
29,2020-02-20,0,0,275.7227015564844,20450.497064495932,False,30,1.4313423149017805,40900.99412899186
30,2020-02-21,0,0,275.7227015564844,20450.497064495932,False,31,1.492371765761289,40900.99412899186
31,2020-02-22,0,0,275.7227015564844,20450.497064495932,False,32,1.5560032861139836,40900.99412899186
32,2020-02-23,0,0,275.7227015564844,20450.497064495932,False,33,1.6223478099327295,40900.99412899186
33,2020-02-24,0,0,275.7227015564844,20450.497064495932,False,34,1.6915209998851495,40900.99412899186
34,2020-02-25,0,0,275.7227015564844,20450.497064495932,False,35,1.7636434488345567,40900.99412899186
35,2020-02-26,0,0,275.7227015564844,20450.497064495932,False,36,1.8388408899216235,40900.99412899186
36,2020-02-27,0,0,275.7227015564844,20450.497064495932,False,37,1.9172444155916961,40900.99412899186
37,2020-02-28,0,0,275.7227015564844,20450.497064495932,False,38,1.9989907059481318,40900.99412899186
38,2020-02-29,0,0,275.7227015564844,20450.497064495932,False,39,2.084222266828175,40900.99412899186
39,2020-03-01,0,0,275.7227015564844,20450.497064495932,False,40,2.1730876780146855,40900.99412899186
40,2020-03-02,0,0,275.7227015564844,20450.497064495932,False,41,2.265741852014539,40900.99412899186
41,2020-03-03,0,0,275.7227015564844,20450.497064495932,False,42,2.3623463038528105,40900.99412899186
42,2020-03-04,0,0,275.7227015564844,20450.497064495932,False,43,2.46306943235081,40900.99412899186
43,2020-03-05,0,0,275.7227015564844,20450.497064495932,False,44,2.568086813375921,40900.99412899186
44,2020-03-06,0,0,275.7227015564844,20450.497064495932,False,45,2.6775815055718066,40900.99412899186
45,2020-03-07,0,0,275.7227015564844,20450.497064495932,False,46,2.791744369099086,40900.99412899186
