,Report_Date,China_hubei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,444,19.702727593880766,33894.19444653611,True,1,836.1537094162584,67788.38843717979
1,2020-01-23,444,19.702727593880766,33894.19444653611,True,2,1053.5356206839344,67788.38843717979
2,2020-01-24,549,19.702727593880766,33894.19444653611,True,3,1326.3125905930206,67788.38843717979
3,2020-01-25,761,19.702727593880766,33894.19444653611,True,4,1667.9506043089393,67788.38843717979
4,2020-01-26,1058,19.702727593880766,33894.19444653611,True,5,2094.8156973705136,67788.38843717979
5,2020-01-27,1423,19.702727593880766,33894.19444653611,True,6,2626.5852756842687,67788.38843717979
6,2020-01-28,3554,19.702727593880766,33894.19444653611,True,7,3286.5912938798538,67788.38843717979
7,2020-01-29,3554,19.702727593880766,33894.19444653611,True,8,4102.002878982882,67788.38843717979
8,2020-01-30,4903,19.702727593880766,33894.19444653611,True,9,5103.71267288131,67788.38843717979
9,2020-01-31,5806,19.702727593880766,33894.19444653611,True,10,6325.743157367976,67788.38843717979
10,2020-02-01,7153,19.702727593880766,33894.19444653611,True,11,7803.948402060917,67788.38843717979
11,2020-02-02,11177,19.702727593880766,33894.19444653611,True,12,9573.776048643174,67788.38843717979
12,2020-02-03,13522,19.702727593880766,33894.19444653611,True,13,11666.909633133711,67788.38843717979
13,2020-02-04,16678,19.702727593880766,33894.19444653611,True,14,14106.775579518053,67788.38843717979
14,2020-02-05,19665,19.702727593880766,33894.19444653611,True,15,16903.203872389517,67788.38843717979
15,2020-02-06,22112,19.702727593880766,33894.19444653611,True,16,20046.96112789362,67788.38843717979
16,2020-02-07,24953,19.702727593880766,33894.19444653611,True,17,23505.325711276295,67788.38843717979
17,2020-02-08,27100,19.702727593880766,33894.19444653611,True,18,27220.14000279976,67788.38843717979
18,2020-02-09,29631,19.702727593880766,33894.19444653611,True,19,31109.60489666021,67788.38843717979
19,2020-02-10,31728,19.702727593880766,33894.19444653611,True,20,35074.3334047149,67788.38843717979
20,2020-02-11,33366,19.702727593880766,33894.19444653611,True,21,39006.98897831435,67788.38843717979
21,2020-02-12,33366,19.702727593880766,33894.19444653611,True,22,42803.64993367488,67788.38843717979
22,2020-02-13,48206,19.702727593880766,33894.19444653611,True,23,46374.424634989475,67788.38843717979
23,2020-02-14,54406,19.702727593880766,33894.19444653611,True,24,49651.11317108421,67788.38843717979
24,2020-02-15,56249,19.702727593880766,33894.19444653611,True,25,52590.72733199988,67788.38843717979
25,2020-02-16,58182,19.702727593880766,33894.19444653611,True,26,55174.93679039277,67788.38843717979
26,2020-02-17,59989,19.702727593880766,33894.19444653611,True,27,57406.47293412501,67788.38843717979
27,2020-02-18,61682,19.702727593880766,33894.19444653611,True,28,59303.921533337045,67788.38843717979
28,2020-02-19,62031,19.702727593880766,33894.19444653611,True,29,60896.218269795405,67788.38843717979
29,2020-02-20,62442,19.702727593880766,33894.19444653611,True,30,62217.755674777276,67788.38843717979
30,2020-02-21,62662,19.702727593880766,33894.19444653611,True,31,63304.553124048376,67788.38843717979
31,2020-02-22,64084,19.702727593880766,33894.19444653611,True,32,64191.58017071575,67788.38843717979
32,2020-02-23,64084,19.702727593880766,33894.19444653611,True,33,64911.10442772094,67788.38843717979
33,2020-02-24,64287,19.702727593880766,33894.19444653611,True,34,65491.8408938416,67788.38843717979
34,2020-02-25,64786,19.702727593880766,33894.19444653611,True,35,65958.6684728659,67788.38843717979
35,2020-02-26,65187,19.702727593880766,33894.19444653611,True,36,66332.71151800439,67788.38843717979
36,2020-02-27,65596,19.702727593880766,33894.19444653611,True,37,66631.63131355507,67788.38843717979
37,2020-02-28,65914,19.702727593880766,33894.19444653611,True,38,66870.01849325623,67788.38843717979
38,2020-02-29,66337,19.702727593880766,33894.19444653611,True,39,67059.81548737863,67788.38843717979
39,2020-03-01,66907,19.702727593880766,33894.19444653611,True,40,67210.72652427279,67788.38843717979
