,Report_Date,Paraguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,112.45235952003615,659.8770216751219,True,1,0.2135218546018178,1099.771730679992
1,2020-01-23,0,112.45235952003615,659.8770216751219,True,2,0.23091437309363727,1099.771730679992
2,2020-01-24,0,112.45235952003615,659.8770216751219,True,3,0.24972333887098863,1099.771730679992
3,2020-01-25,0,112.45235952003615,659.8770216751219,True,4,0.27006406199211397,1099.771730679992
4,2020-01-26,0,112.45235952003615,659.8770216751219,True,5,0.29206123196344363,1099.771730679992
5,2020-01-27,0,112.45235952003615,659.8770216751219,True,6,0.315849679367779,1099.771730679992
6,2020-01-28,0,112.45235952003615,659.8770216751219,True,7,0.3415751991164852,1099.771730679992
7,2020-01-29,0,112.45235952003615,659.8770216751219,True,8,0.36939544027413634,1099.771730679992
8,2020-01-30,0,112.45235952003615,659.8770216751219,True,9,0.399480867795022,1099.771730679992
9,2020-01-31,0,112.45235952003615,659.8770216751219,True,10,0.43201580193168,1099.771730679992
10,2020-02-01,0,112.45235952003615,659.8770216751219,True,11,0.46719954152825577,1099.771730679992
11,2020-02-02,0,112.45235952003615,659.8770216751219,True,12,0.5052475778981915,1099.771730679992
12,2020-02-03,0,112.45235952003615,659.8770216751219,True,13,0.5463929065088181,1099.771730679992
13,2020-02-04,0,112.45235952003615,659.8770216751219,True,14,0.5908874442572819,1099.771730679992
14,2020-02-05,0,112.45235952003615,659.8770216751219,True,15,0.6390035607253849,1099.771730679992
15,2020-02-06,0,112.45235952003615,659.8770216751219,True,16,0.6910357324479844,1099.771730679992
16,2020-02-07,0,112.45235952003615,659.8770216751219,True,17,0.7473023299232723,1099.771730679992
17,2020-02-08,0,112.45235952003615,659.8770216751219,True,18,0.808147547836311,1099.771730679992
18,2020-02-09,0,112.45235952003615,659.8770216751219,True,19,0.8739434897624835,1099.771730679992
19,2020-02-10,0,112.45235952003615,659.8770216751219,True,20,0.9450924194678617,1099.771730679992
20,2020-02-11,0,112.45235952003615,659.8770216751219,True,21,1.0220291918317976,1099.771730679992
21,2020-02-12,0,112.45235952003615,659.8770216751219,True,22,1.105223877386108,1099.771730679992
22,2020-02-13,0,112.45235952003615,659.8770216751219,True,23,1.1951845954978064,1099.771730679992
23,2020-02-14,0,112.45235952003615,659.8770216751219,True,24,1.292460572321042,1099.771730679992
24,2020-02-15,0,112.45235952003615,659.8770216751219,True,25,1.3976454408111532,1099.771730679992
25,2020-02-16,0,112.45235952003615,659.8770216751219,True,26,1.5113808013315744,1099.771730679992
26,2020-02-17,0,112.45235952003615,659.8770216751219,True,27,1.6343600626945471,1099.771730679992
27,2020-02-18,0,112.45235952003615,659.8770216751219,True,28,1.767332584860257,1099.771730679992
28,2020-02-19,0,112.45235952003615,659.8770216751219,True,29,1.9111081459767403,1099.771730679992
29,2020-02-20,0,112.45235952003615,659.8770216751219,True,30,2.0665617579742954,1099.771730679992
30,2020-02-21,0,112.45235952003615,659.8770216751219,True,31,2.2346388565318382,1099.771730679992
31,2020-02-22,0,112.45235952003615,659.8770216751219,True,32,2.416360892905908,1099.771730679992
32,2020-02-23,0,112.45235952003615,659.8770216751219,True,33,2.6128313568516903,1099.771730679992
33,2020-02-24,0,112.45235952003615,659.8770216751219,True,34,2.825242261663095,1099.771730679992
34,2020-02-25,0,112.45235952003615,659.8770216751219,True,35,3.0548811242072644,1099.771730679992
35,2020-02-26,0,112.45235952003615,659.8770216751219,True,36,3.303138474716352,1099.771730679992
36,2020-02-27,0,112.45235952003615,659.8770216751219,True,37,3.571515933011446,1099.771730679992
37,2020-02-28,0,112.45235952003615,659.8770216751219,True,38,3.861634889751457,1099.771730679992
38,2020-02-29,0,112.45235952003615,659.8770216751219,True,39,4.175245833200202,1099.771730679992
39,2020-03-01,0,112.45235952003615,659.8770216751219,True,40,4.514238363859045,1099.771730679992
