,Report_Date,India_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,124.21247865008101,134635.95787597256,False,1,16.956007107393003,269271.9157519451
1,2020-01-23,0,124.21247865008101,134635.95787597256,False,2,18.340688356885842,269271.9157519451
2,2020-01-24,0,124.21247865008101,134635.95787597256,False,3,19.83843873183274,269271.9157519451
3,2020-01-25,0,124.21247865008101,134635.95787597256,False,4,21.45848971856628,269271.9157519451
4,2020-01-26,0,124.21247865008101,134635.95787597256,False,5,23.210826263902806,269271.9157519451
5,2020-01-27,0,124.21247865008101,134635.95787597256,False,6,25.10624823056403,269271.9157519451
6,2020-01-28,0,124.21247865008101,134635.95787597256,False,7,27.15643685820457,269271.9157519451
7,2020-01-29,0,124.21247865008101,134635.95787597256,False,8,29.374026636573586,269271.9157519451
8,2020-01-30,1,124.21247865008101,134635.95787597256,False,9,31.772683030153424,269271.9157519451
9,2020-01-31,1,124.21247865008101,134635.95787597256,False,10,34.36718652904722,269271.9157519451
10,2020-02-01,1,124.21247865008101,134635.95787597256,False,11,37.17352353913297,269271.9157519451
11,2020-02-02,2,124.21247865008101,134635.95787597256,False,12,40.20898466578173,269271.9157519451
12,2020-02-03,3,124.21247865008101,134635.95787597256,False,13,43.492270989983126,269271.9157519451
13,2020-02-04,3,124.21247865008101,134635.95787597256,False,14,47.04360898378355,269271.9157519451
14,2020-02-05,3,124.21247865008101,134635.95787597256,False,15,50.88487476378544,269271.9157519451
15,2020-02-06,3,124.21247865008101,134635.95787597256,False,16,55.03972843736566,269271.9157519451
16,2020-02-07,3,124.21247865008101,134635.95787597256,False,17,59.533759356551506,269271.9157519451
17,2020-02-08,3,124.21247865008101,134635.95787597256,False,18,64.39464315946567,269271.9157519451
18,2020-02-09,3,124.21247865008101,134635.95787597256,False,19,69.65231154926416,269271.9157519451
19,2020-02-10,3,124.21247865008101,134635.95787597256,False,20,75.33913583590781,269271.9157519451
20,2020-02-11,3,124.21247865008101,134635.95787597256,False,21,81.49012534731737,269271.9157519451
21,2020-02-12,3,124.21247865008101,134635.95787597256,False,22,88.1431419038764,269271.9157519451
22,2020-02-13,3,124.21247865008101,134635.95787597256,False,23,95.33913164429852,269271.9157519451
23,2020-02-14,3,124.21247865008101,134635.95787597256,False,24,103.12237559202508,269271.9157519451
24,2020-02-15,3,124.21247865008101,134635.95787597256,False,25,111.54076046004508,269271.9157519451
25,2020-02-16,3,124.21247865008101,134635.95787597256,False,26,120.64607130883691,269271.9157519451
26,2020-02-17,3,124.21247865008101,134635.95787597256,False,27,130.4943077975452,269271.9157519451
27,2020-02-18,3,124.21247865008101,134635.95787597256,False,28,141.14602590307229,269271.9157519451
28,2020-02-19,3,124.21247865008101,134635.95787597256,False,29,152.66670712604582,269271.9157519451
29,2020-02-20,3,124.21247865008101,134635.95787597256,False,30,165.12715735720275,269271.9157519451
30,2020-02-21,3,124.21247865008101,134635.95787597256,False,31,178.6039377431963,269271.9157519451
31,2020-02-22,3,124.21247865008101,134635.95787597256,False,32,193.1798300677817,269271.9157519451
32,2020-02-23,3,124.21247865008101,134635.95787597256,False,33,208.94433935337162,269271.9157519451
33,2020-02-24,3,124.21247865008101,134635.95787597256,False,34,225.9942365896597,269271.9157519451
34,2020-02-25,3,124.21247865008101,134635.95787597256,False,35,244.4341447109668,269271.9157519451
35,2020-02-26,3,124.21247865008101,134635.95787597256,False,36,264.37717117270887,269271.9157519451
36,2020-02-27,3,124.21247865008101,134635.95787597256,False,37,285.9455907204256,269271.9157519451
37,2020-02-28,3,124.21247865008101,134635.95787597256,False,38,309.2715822025707,269271.9157519451
38,2020-02-29,3,124.21247865008101,134635.95787597256,False,39,334.4980235511127,269271.9157519451
39,2020-03-01,3,124.21247865008101,134635.95787597256,False,40,361.779349342161,269271.9157519451
40,2020-03-02,5,124.21247865008101,134635.95787597256,False,41,391.2824756524302,269271.9157519451
41,2020-03-03,5,124.21247865008101,134635.95787597256,False,42,423.1877972462963,269271.9157519451
42,2020-03-04,28,124.21247865008101,134635.95787597256,False,43,457.6902624621846,269271.9157519451
43,2020-03-05,30,124.21247865008101,134635.95787597256,False,44,495.00053151550577,269271.9157519451
44,2020-03-06,31,124.21247865008101,134635.95787597256,False,45,535.3462242973743,269271.9157519451
45,2020-03-07,34,124.21247865008101,134635.95787597256,False,46,578.9732641226299,269271.9157519451
46,2020-03-08,39,124.21247865008101,134635.95787597256,False,47,626.1473242653841,269271.9157519451
47,2020-03-09,43,124.21247865008101,134635.95787597256,False,48,677.155384513075,269271.9157519451
48,2020-03-10,56,124.21247865008101,134635.95787597256,False,49,732.3074053676758,269271.9157519451
49,2020-03-11,62,124.21247865008101,134635.95787597256,False,50,791.9381279213644,269271.9157519451
50,2020-03-12,73,124.21247865008101,134635.95787597256,False,51,856.4090078286765,269271.9157519451
51,2020-03-13,82,124.21247865008101,134635.95787597256,False,52,926.1102921817997,269271.9157519451
52,2020-03-14,102,124.21247865008101,134635.95787597256,False,53,1001.4632484627875,269271.9157519451
53,2020-03-15,113,124.21247865008101,134635.95787597256,False,54,1082.922555086975,269271.9157519451
