,Report_Date,China_guangxi_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,2,13.249471970342057,126.71140655003809,True,1,16.175952760306917,253.42281309974064
1,2020-01-23,5,5,13.249471970342057,126.71140655003809,True,2,19.83088067430267,253.42281309974064
2,2020-01-24,23,23,13.249471970342057,126.71140655003809,True,3,24.227301100235103,253.42281309974064
3,2020-01-25,23,23,13.249471970342057,126.71140655003809,True,4,29.475402156733676,253.42281309974064
4,2020-01-26,36,36,13.249471970342057,126.71140655003809,True,5,35.68334908066883,253.42281309974064
5,2020-01-27,46,46,13.249471970342057,126.71140655003809,True,6,42.94803390847642,253.42281309974064
6,2020-01-28,51,49,13.249471970342057,126.71140655003809,True,7,51.34296991507573,253.42281309974064
7,2020-01-29,58,56,13.249471970342057,126.71140655003809,True,8,60.904012245413874,253.42281309974064
8,2020-01-30,78,76,13.249471970342057,126.71140655003809,True,9,71.61453490555986,253.42281309974064
9,2020-01-31,87,85,13.249471970342057,126.71140655003809,True,10,83.39271238631947,253.42281309974064
10,2020-02-01,100,98,13.249471970342057,126.71140655003809,True,11,96.0842539080835,253.42281309974064
11,2020-02-02,111,109,13.249471970342057,126.71140655003809,True,12,109.4638228126562,253.42281309974064
12,2020-02-03,127,120,13.249471970342057,126.71140655003809,True,13,123.24707683172429,253.42281309974064
13,2020-02-04,139,129,13.249471970342057,126.71140655003809,True,14,137.11286599169614,253.42281309974064
14,2020-02-05,150,137,13.249471970342057,126.71140655003809,True,15,150.73231603944484,253.42281309974064
15,2020-02-06,168,154,13.249471970342057,126.71140655003809,True,16,163.79940724846347,253.42281309974064
16,2020-02-07,172,155,13.249471970342057,126.71140655003809,True,17,176.05717879120866,253.42281309974064
17,2020-02-08,183,166,13.249471970342057,126.71140655003809,True,18,187.31507283251557,253.42281309974064
18,2020-02-09,195,176,13.249471970342057,126.71140655003809,True,19,197.455540314454,253.42281309974064
19,2020-02-10,210,185,13.249471970342057,126.71140655003809,True,20,206.43075588192897,253.42281309974064
20,2020-02-11,215,181,13.249471970342057,126.71140655003809,True,21,214.25218396221314,253.42281309974064
21,2020-02-12,222,189,13.249471970342057,126.71140655003809,True,22,220.97641794293511,253.42281309974064
22,2020-02-13,222,187,13.249471970342057,126.71140655003809,True,23,226.69036018683224,253.42281309974064
23,2020-02-14,226,188,13.249471970342057,126.71140655003809,True,24,231.49789228406755,253.42281309974064
24,2020-02-15,235,189,13.249471970342057,126.71140655003809,True,25,235.50916497514834,253.42281309974064
25,2020-02-16,237,186,13.249471970342057,126.71140655003809,True,26,238.8328079402112,253.42281309974064
26,2020-02-17,238,183,13.249471970342057,126.71140655003809,True,27,241.57082575810733,253.42281309974064
27,2020-02-18,242,171,13.249471970342057,126.71140655003809,True,28,243.81568523855648,253.42281309974064
28,2020-02-19,244,156,13.249471970342057,126.71140655003809,True,29,245.64903350069306,253.42281309974064
29,2020-02-20,245,153,13.249471970342057,126.71140655003809,True,30,247.14153336738894,253.42281309974064
30,2020-02-21,246,147,13.249471970342057,126.71140655003809,True,31,248.35339932041595,253.42281309974064
31,2020-02-22,249,143,13.249471970342057,126.71140655003809,True,32,249.33532335653243,253.42281309974064
32,2020-02-23,249,141,13.249471970342057,126.71140655003809,True,33,250.12957488928106,253.42281309974064
33,2020-02-24,251,137,13.249471970342057,126.71140655003809,True,34,250.77113452370932,253.42281309974064
34,2020-02-25,252,116,13.249471970342057,126.71140655003809,True,35,251.28877748621696,253.42281309974064
35,2020-02-26,252,103,13.249471970342057,126.71140655003809,True,36,251.70606143322877,253.42281309974064
36,2020-02-27,252,89,13.249471970342057,126.71140655003809,True,37,252.04219902053697,253.42281309974064
37,2020-02-28,252,82,13.249471970342057,126.71140655003809,True,38,252.31281157556725,253.42281309974064
38,2020-02-29,252,74,13.249471970342057,126.71140655003809,True,39,252.5305694526764,253.42281309974064
39,2020-03-01,252,69,13.249471970342057,126.71140655003809,True,40,252.7057294354227,253.42281309974064
40,2020-03-02,252,58,13.249471970342057,126.71140655003809,True,41,252.84658151269562,253.42281309974064
41,2020-03-03,252,48,13.249471970342057,126.71140655003809,True,42,252.95981762267263,253.42281309974064
42,2020-03-04,252,40,13.249471970342057,126.71140655003809,True,43,253.0508342760915,253.42281309974064
43,2020-03-05,252,36,13.249471970342057,126.71140655003809,True,44,253.12397981566758,253.42281309974064
44,2020-03-06,252,33,13.249471970342057,126.71140655003809,True,45,253.1827557350744,253.42281309974064
45,2020-03-07,252,32,13.249471970342057,126.71140655003809,True,46,253.22998014024623,253.42281309974064
46,2020-03-08,252,27,13.249471970342057,126.71140655003809,True,47,253.26792018091106,253.42281309974064
47,2020-03-09,252,20,13.249471970342057,126.71140655003809,True,48,253.29839915540197,253.42281309974064
48,2020-03-10,252,16,13.249471970342057,126.71140655003809,True,49,253.32288301175004,253.42281309974064
49,2020-03-11,252,12,13.249471970342057,126.71140655003809,True,50,253.34255013093988,253.42281309974064
50,2020-03-12,252,9,13.249471970342057,126.71140655003809,True,51,253.35834757331781,253.42281309974064
51,2020-03-13,252,7,13.249471970342057,126.71140655003809,True,52,253.37103638185286,253.42281309974064
52,2020-03-14,252,7,13.249471970342057,126.71140655003809,True,53,253.38122805054604,253.42281309974064
53,2020-03-15,252,7,13.249471970342057,126.71140655003809,True,54,253.38941386753189,253.42281309974064
54,2020-03-16,252,2,13.249471970342057,126.71140655003809,True,55,253.3959885164027,253.42281309974064
55,2020-03-17,253,3,13.249471970342057,126.71140655003809,True,56,253.40126905372486,253.42281309974064
56,2020-03-18,253,1,13.249471970342057,126.71140655003809,True,57,253.40551016502246,253.42281309974064
57,2020-03-19,253,1,13.249471970342057,126.71140655003809,True,58,253.4089164267135,253.42281309974064
58,2020-03-20,254,2,13.249471970342057,126.71140655003809,True,59,253.41165216010117,253.42281309974064
59,2020-03-21,254,2,13.249471970342057,126.71140655003809,True,60,253.41384934931818,253.42281309974064
60,2020-03-22,254,2,13.249471970342057,126.71140655003809,True,61,253.41561400298545,253.42281309974064
61,2020-03-23,254,2,13.249471970342057,126.71140655003809,True,62,253.41703126507505,253.42281309974064
62,2020-03-24,254,2,13.249471970342057,126.71140655003809,True,63,253.41816952064497,253.42281309974064
63,2020-03-25,254,2,13.249471970342057,126.71140655003809,True,64,253.4190836939512,253.42281309974064
64,2020-03-26,254,2,13.249471970342057,126.71140655003809,True,65,253.41981789769542,253.42281309974064
65,2020-03-27,254,2,13.249471970342057,126.71140655003809,True,66,253.42040756099453,253.42281309974064
66,2020-03-28,254,2,13.249471970342057,126.71140655003809,True,67,253.42088113859683,253.42281309974064
