,Report_Date,Suriname_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,62.167513268806005,5.2840667904561105,True,1,0.00012718061676240383,10.558565628422706
1,2020-01-23,0,62.167513268806005,5.2840667904561105,True,2,0.00015305507079699154,10.558565628422706
2,2020-01-24,0,62.167513268806005,5.2840667904561105,True,3,0.00018419350074158608,10.558565628422706
3,2020-01-25,0,62.167513268806005,5.2840667904561105,True,4,0.00022166678438724486,10.558565628422706
4,2020-01-26,0,62.167513268806005,5.2840667904561105,True,5,0.0002667636352844144,10.558565628422706
5,2020-01-27,0,62.167513268806005,5.2840667904561105,True,6,0.0003210349061804221,10.558565628422706
6,2020-01-28,0,62.167513268806005,5.2840667904561105,True,7,0.0003863468991851924,10.558565628422706
7,2020-01-29,0,62.167513268806005,5.2840667904561105,True,8,0.0004649455120393647,10.558565628422706
8,2020-01-30,0,62.167513268806005,5.2840667904561105,True,9,0.0005595334206819223,10.558565628422706
9,2020-01-31,0,62.167513268806005,5.2840667904561105,True,10,0.0006733629439707963,10.558565628422706
10,2020-02-01,0,62.167513268806005,5.2840667904561105,True,11,0.0008103477718511424,10.558565628422706
11,2020-02-02,0,62.167513268806005,5.2840667904561105,True,12,0.0009751973813631452,10.558565628422706
12,2020-02-03,0,62.167513268806005,5.2840667904561105,True,13,0.0011735787369641505,10.558565628422706
13,2020-02-04,0,62.167513268806005,5.2840667904561105,True,14,0.001412310798121925,10.558565628422706
14,2020-02-05,0,62.167513268806005,5.2840667904561105,True,15,0.001699598468230067,10.558565628422706
15,2020-02-06,0,62.167513268806005,5.2840667904561105,True,16,0.0020453139504272456,10.558565628422706
16,2020-02-07,0,62.167513268806005,5.2840667904561105,True,17,0.0024613350702070917,10.558565628422706
17,2020-02-08,0,62.167513268806005,5.2840667904561105,True,18,0.0029619520316175848,10.558565628422706
18,2020-02-09,0,62.167513268806005,5.2840667904561105,True,19,0.0035643563517212995,10.558565628422706
19,2020-02-10,0,62.167513268806005,5.2840667904561105,True,20,0.004289228434711977,10.558565628422706
20,2020-02-11,0,62.167513268806005,5.2840667904561105,True,21,0.005161443480993397,10.558565628422706
21,2020-02-12,0,62.167513268806005,5.2840667904561105,True,22,0.0062109192670387154,10.558565628422706
22,2020-02-13,0,62.167513268806005,5.2840667904561105,True,23,0.007473633879573537,10.558565628422706
23,2020-02-14,0,62.167513268806005,5.2840667904561105,True,24,0.008992846853579204,10.558565628422706
24,2020-02-15,0,62.167513268806005,5.2840667904561105,True,25,0.010820563466933464,10.558565628422706
25,2020-02-16,0,62.167513268806005,5.2840667904561105,True,26,0.013019289307828233,10.558565628422706
26,2020-02-17,0,62.167513268806005,5.2840667904561105,True,27,0.015664130772316275,10.558565628422706
27,2020-02-18,0,62.167513268806005,5.2840667904561105,True,28,0.018845306967907045,10.558565628422706
28,2020-02-19,0,62.167513268806005,5.2840667904561105,True,29,0.022671149654388274,10.558565628422706
29,2020-02-20,0,62.167513268806005,5.2840667904561105,True,30,0.027271680330760304,10.558565628422706
30,2020-02-21,0,62.167513268806005,5.2840667904561105,True,31,0.03280286723929093,10.558565628422706
31,2020-02-22,0,62.167513268806005,5.2840667904561105,True,32,0.03945167956832904,10.558565628422706
32,2020-02-23,0,62.167513268806005,5.2840667904561105,True,33,0.047442070853721714,10.558565628422706
33,2020-02-24,0,62.167513268806005,5.2840667904561105,True,34,0.05704203740603653,10.558565628422706
34,2020-02-25,0,62.167513268806005,5.2840667904561105,True,35,0.06857190875845655,10.558565628422706
35,2020-02-26,0,62.167513268806005,5.2840667904561105,True,36,0.08241403290759353,10.558565628422706
36,2020-02-27,0,62.167513268806005,5.2840667904561105,True,37,0.09902401542533398,10.558565628422706
37,2020-02-28,0,62.167513268806005,5.2840667904561105,True,38,0.11894365241940165,10.558565628422706
38,2020-02-29,0,62.167513268806005,5.2840667904561105,True,39,0.14281565440233043,10.558565628422706
39,2020-03-01,0,62.167513268806005,5.2840667904561105,True,40,0.17140017978206915,10.558565628422706
40,2020-03-02,0,62.167513268806005,5.2840667904561105,True,41,0.20559306734968005,10.558565628422706
41,2020-03-03,0,62.167513268806005,5.2840667904561105,True,42,0.24644545667986184,10.558565628422706
42,2020-03-04,0,62.167513268806005,5.2840667904561105,True,43,0.29518418892332987,10.558565628422706
43,2020-03-05,0,62.167513268806005,5.2840667904561105,True,44,0.35323195935040996,10.558565628422706
44,2020-03-06,0,62.167513268806005,5.2840667904561105,True,45,0.42222561747182175,10.558565628422706
45,2020-03-07,0,62.167513268806005,5.2840667904561105,True,46,0.5040302560097437,10.558565628422706
46,2020-03-08,0,62.167513268806005,5.2840667904561105,True,47,0.6007457882339666,10.558565628422706
47,2020-03-09,0,62.167513268806005,5.2840667904561105,True,48,0.7147016109235245,10.558565628422706
48,2020-03-10,0,62.167513268806005,5.2840667904561105,True,49,0.8484337762246141,10.558565628422706
49,2020-03-11,0,62.167513268806005,5.2840667904561105,True,50,1.004638035951406,10.558565628422706
50,2020-03-12,0,62.167513268806005,5.2840667904561105,True,51,1.186091497256813,10.558565628422706
51,2020-03-13,0,62.167513268806005,5.2840667904561105,True,52,1.3955359202421331,10.558565628422706
52,2020-03-14,1,62.167513268806005,5.2840667904561105,True,53,1.635517523583715,10.558565628422706
53,2020-03-15,1,62.167513268806005,5.2840667904561105,True,54,1.9081822244530364,10.558565628422706
54,2020-03-16,1,62.167513268806005,5.2840667904561105,True,55,2.215032042533228,10.558565628422706
55,2020-03-17,1,62.167513268806005,5.2840667904561105,True,56,2.5566579457690444,10.558565628422706
56,2020-03-18,1,62.167513268806005,5.2840667904561105,True,57,2.9324757493579012,10.558565628422706
57,2020-03-19,1,62.167513268806005,5.2840667904561105,True,58,3.340502529318027,10.558565628422706
58,2020-03-20,4,62.167513268806005,5.2840667904561105,True,59,3.777217832910017,10.558565628422706
59,2020-03-21,4,62.167513268806005,5.2840667904561105,True,60,4.237552686144508,10.558565628422706
60,2020-03-22,5,62.167513268806005,5.2840667904561105,True,61,4.715036955323387,10.558565628422706
61,2020-03-23,5,62.167513268806005,5.2840667904561105,True,62,5.2021118977475185,10.558565628422706
62,2020-03-24,7,62.167513268806005,5.2840667904561105,True,63,5.690583878153364,10.558565628422706
63,2020-03-25,8,62.167513268806005,5.2840667904561105,True,64,6.1721652183132445,10.558565628422706
64,2020-03-26,8,62.167513268806005,5.2840667904561105,True,65,6.639028242380897,10.558565628422706
65,2020-03-27,8,62.167513268806005,5.2840667904561105,True,66,7.084295482705988,10.558565628422706
66,2020-03-28,8,62.167513268806005,5.2840667904561105,True,67,7.502403797052648,10.558565628422706
67,2020-03-29,8,62.167513268806005,5.2840667904561105,True,68,7.889307757766317,10.558565628422706
68,2020-03-30,8,62.167513268806005,5.2840667904561105,True,69,8.242519271949078,10.558565628422706
69,2020-03-31,9,62.167513268806005,5.2840667904561105,True,70,8.561007186421028,10.558565628422706
70,2020-04-01,10,62.167513268806005,5.2840667904561105,True,71,8.844997036429945,10.558565628422706
71,2020-04-02,10,62.167513268806005,5.2840667904561105,True,72,9.095715884513037,10.558565628422706
72,2020-04-03,10,62.167513268806005,5.2840667904561105,True,73,9.315122647600711,10.558565628422706
73,2020-04-04,10,62.167513268806005,5.2840667904561105,True,74,9.505654365798714,10.558565628422706
74,2020-04-05,10,62.167513268806005,5.2840667904561105,True,75,9.670007372117603,10.558565628422706
75,2020-04-06,10,62.167513268806005,5.2840667904561105,True,76,9.810962009454062,10.558565628422706
76,2020-04-07,10,62.167513268806005,5.2840667904561105,True,77,9.931251780035675,10.558565628422706
77,2020-04-08,10,62.167513268806005,5.2840667904561105,True,78,10.033472873969995,10.558565628422706
78,2020-04-09,10,62.167513268806005,5.2840667904561105,True,79,10.12002751631084,10.558565628422706
79,2020-04-10,10,62.167513268806005,5.2840667904561105,True,80,10.193093838657658,10.558565628422706
80,2020-04-11,10,62.167513268806005,5.2840667904561105,True,81,10.2546153606661,10.558565628422706
81,2020-04-12,10,62.167513268806005,5.2840667904561105,True,82,10.306304124194403,10.558565628422706
82,2020-04-13,10,62.167513268806005,5.2840667904561105,True,83,10.349652685176574,10.558565628422706
83,2020-04-14,10,62.167513268806005,5.2840667904561105,True,84,10.38595130852107,10.558565628422706
84,2020-04-15,10,62.167513268806005,5.2840667904561105,True,85,10.416307712266029,10.558565628422706
85,2020-04-16,10,62.167513268806005,5.2840667904561105,True,86,10.441667524850917,10.558565628422706
86,2020-04-17,10,62.167513268806005,5.2840667904561105,True,87,10.462834252653572,10.558565628422706
87,2020-04-18,10,62.167513268806005,5.2840667904561105,True,88,10.480488024568393,10.558565628422706
88,2020-04-19,10,62.167513268806005,5.2840667904561105,True,89,10.495202715278344,10.558565628422706
89,2020-04-20,10,62.167513268806005,5.2840667904561105,True,90,10.507461278496418,10.558565628422706
