,Report_Date,Uruguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.18484792074702,356.53031128348465,True,1,0.5258876280910543,710.8987036986821
1,2020-01-23,0,74.18484792074702,356.53031128348465,True,2,0.5803023677999648,710.8987036986821
2,2020-01-24,0,74.18484792074702,356.53031128348465,True,3,0.6403424593393516,710.8987036986821
3,2020-01-25,0,74.18484792074702,356.53031128348465,True,4,0.7065883459777911,710.8987036986821
4,2020-01-26,0,74.18484792074702,356.53031128348465,True,5,0.7796801235822837,710.8987036986821
5,2020-01-27,0,74.18484792074702,356.53031128348465,True,6,0.8603236190367655,710.8987036986821
6,2020-01-28,0,74.18484792074702,356.53031128348465,True,7,0.9492970766762139,710.8987036986821
7,2020-01-29,0,74.18484792074702,356.53031128348465,True,8,1.0474585110703007,710.8987036986821
8,2020-01-30,0,74.18484792074702,356.53031128348465,True,9,1.1557537895369372,710.8987036986821
9,2020-01-31,0,74.18484792074702,356.53031128348465,True,10,1.275225513123234,710.8987036986821
10,2020-02-01,0,74.18484792074702,356.53031128348465,True,11,1.407022770447034,710.8987036986821
11,2020-02-02,0,74.18484792074702,356.53031128348465,True,12,1.5524118447235273,710.8987036986821
12,2020-02-03,0,74.18484792074702,356.53031128348465,True,13,1.7127879604725393,710.8987036986821
13,2020-02-04,0,74.18484792074702,356.53031128348465,True,14,1.889688162759999,710.8987036986821
14,2020-02-05,0,74.18484792074702,356.53031128348465,True,15,2.084805428298025,710.8987036986821
15,2020-02-06,0,74.18484792074702,356.53031128348465,True,16,2.3000041142118266,710.8987036986821
16,2020-02-07,0,74.18484792074702,356.53031128348465,True,17,2.537336856645854,710.8987036986821
17,2020-02-08,0,74.18484792074702,356.53031128348465,True,18,2.799063037454059,710.8987036986821
18,2020-02-09,0,74.18484792074702,356.53031128348465,True,19,3.0876689427791577,710.8987036986821
19,2020-02-10,0,74.18484792074702,356.53031128348465,True,20,3.405889742093986,710.8987036986821
20,2020-02-11,0,74.18484792074702,356.53031128348465,True,21,3.7567334199040125,710.8987036986821
21,2020-02-12,0,74.18484792074702,356.53031128348465,True,22,4.143506794358643,710.8987036986821
22,2020-02-13,0,74.18484792074702,356.53031128348465,True,23,4.569843756953479,710.8987036986821
23,2020-02-14,0,74.18484792074702,356.53031128348465,True,24,5.0397358646700825,710.8987036986821
24,2020-02-15,0,74.18484792074702,356.53031128348465,True,25,5.5575654094969185,710.8987036986821
25,2020-02-16,0,74.18484792074702,356.53031128348465,True,26,6.1281410793442905,710.8987036986821
