,Report_Date,UK_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.07355451308428,112904.72441924048,True,1,18.363729983233323,218116.23169400674
1,2020-01-23,0,88.07355451308428,112904.72441924048,True,2,20.46094688281408,218116.23169400674
2,2020-01-24,0,88.07355451308428,112904.72441924048,True,3,22.797650784159472,218116.23169400674
3,2020-01-25,0,88.07355451308428,112904.72441924048,True,4,25.401183531935185,218116.23169400674
4,2020-01-26,0,88.07355451308428,112904.72441924048,True,5,28.302007135383835,218116.23169400674
5,2020-01-27,0,88.07355451308428,112904.72441924048,True,6,31.534059491241894,218116.23169400674
6,2020-01-28,0,88.07355451308428,112904.72441924048,True,7,35.13515057963295,218116.23169400674
7,2020-01-29,0,88.07355451308428,112904.72441924048,True,8,39.14740371796272,218116.23169400674
8,2020-01-30,0,88.07355451308428,112904.72441924048,True,9,43.61774697245806,218116.23169400674
9,2020-01-31,2,88.07355451308428,112904.72441924048,True,10,48.598460398203606,218116.23169400674
10,2020-02-01,2,88.07355451308428,112904.72441924048,True,11,54.14778541227464,218116.23169400674
11,2020-02-02,2,88.07355451308428,112904.72441924048,True,12,60.3306033073351,218116.23169400674
12,2020-02-03,2,88.07355451308428,112904.72441924048,True,13,67.2191906919427,218116.23169400674
13,2020-02-04,2,88.07355451308428,112904.72441924048,True,14,74.89406050646909,218116.23169400674
14,2020-02-05,2,88.07355451308428,112904.72441924048,True,15,83.4448982183369,218116.23169400674
15,2020-02-06,2,88.07355451308428,112904.72441924048,True,16,92.97160385617912,218116.23169400674
16,2020-02-07,3,88.07355451308428,112904.72441924048,True,17,103.58545170919142,218116.23169400674
17,2020-02-08,3,88.07355451308428,112904.72441924048,True,18,115.41038080566373,218116.23169400674
18,2020-02-09,3,88.07355451308428,112904.72441924048,True,19,128.5844307043591,218116.23169400674
19,2020-02-10,8,88.07355451308428,112904.72441924048,True,20,143.26133869551182,218116.23169400674
20,2020-02-11,8,88.07355451308428,112904.72441924048,True,21,159.6123162266633,218116.23169400674
21,2020-02-12,9,88.07355451308428,112904.72441924048,True,22,177.82802425455577,218116.23169400674
22,2020-02-13,9,88.07355451308428,112904.72441924048,True,23,198.12076929017542,218116.23169400674
23,2020-02-14,9,88.07355451308428,112904.72441924048,True,24,220.72694416187284,218116.23169400674
24,2020-02-15,9,88.07355451308428,112904.72441924048,True,25,245.90973998280583,218116.23169400674
25,2020-02-16,9,88.07355451308428,112904.72441924048,True,26,273.9621584841128,218116.23169400674
26,2020-02-17,9,88.07355451308428,112904.72441924048,True,27,305.21035677280287,218116.23169400674
27,2020-02-18,9,88.07355451308428,112904.72441924048,True,28,340.0173596991869,218116.23169400674
28,2020-02-19,9,88.07355451308428,112904.72441924048,True,29,378.7871783747709,218116.23169400674
29,2020-02-20,9,88.07355451308428,112904.72441924048,True,30,421.96937696456433,218116.23169400674
30,2020-02-21,9,88.07355451308428,112904.72441924048,True,31,470.0641336772577,218116.23169400674
31,2020-02-22,9,88.07355451308428,112904.72441924048,True,32,523.6278458727462,218116.23169400674
32,2020-02-23,9,88.07355451308428,112904.72441924048,True,33,583.2793333667146,218116.23169400674
33,2020-02-24,13,88.07355451308428,112904.72441924048,True,34,649.7066982882451,218116.23169400674
34,2020-02-25,13,88.07355451308428,112904.72441924048,True,35,723.6749041700608,218116.23169400674
35,2020-02-26,13,88.07355451308428,112904.72441924048,True,36,806.0341412277531,218116.23169400674
36,2020-02-27,15,88.07355451308428,112904.72441924048,True,37,897.7290488874781,218116.23169400674
37,2020-02-28,20,88.07355451308428,112904.72441924048,True,38,999.8088703841147,218116.23169400674
38,2020-02-29,23,88.07355451308428,112904.72441924048,True,39,1113.4386174568701,218116.23169400674
39,2020-03-01,36,88.07355451308428,112904.72441924048,True,40,1239.9113255384696,218116.23169400674
40,2020-03-02,40,88.07355451308428,112904.72441924048,True,41,1380.6614810143049,218116.23169400674
41,2020-03-03,51,88.07355451308428,112904.72441924048,True,42,1537.2797016754064,218116.23169400674
42,2020-03-04,85,88.07355451308428,112904.72441924048,True,43,1711.5287488511856,218116.23169400674
43,2020-03-05,115,88.07355451308428,112904.72441924048,True,44,1905.3609442022216,218116.23169400674
