,Report_Date,UK_isle of man_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.29774430120075,271.28333187744414,False,1,0.006231345002471117,542.5666637537599
1,2020-01-23,0,84.29774430120075,271.28333187744414,False,2,0.007143068085913019,542.5666637537599
2,2020-01-24,0,84.29774430120075,271.28333187744414,False,3,0.008188185554628342,542.5666637537599
3,2020-01-25,0,84.29774430120075,271.28333187744414,False,4,0.009386213735397594,542.5666637537599
4,2020-01-26,0,84.29774430120075,271.28333187744414,False,5,0.0107595241016215,542.5666637537599
5,2020-01-27,0,84.29774430120075,271.28333187744414,False,6,0.012333760905470061,542.5666637537599
6,2020-01-28,0,84.29774430120075,271.28333187744414,False,7,0.014138319878949071,542.5666637537599
7,2020-01-29,0,84.29774430120075,271.28333187744414,False,8,0.016206896927633902,542.5666637537599
8,2020-01-30,0,84.29774430120075,271.28333187744414,False,9,0.018578117042879833,542.5666637537599
9,2020-01-31,0,84.29774430120075,271.28333187744414,False,10,0.02129625514975348,542.5666637537599
10,2020-02-01,0,84.29774430120075,271.28333187744414,False,11,0.024412062316093646,542.5666637537599
11,2020-02-02,0,84.29774430120075,271.28333187744414,False,12,0.027983712704244695,542.5666637537599
12,2020-02-03,0,84.29774430120075,271.28333187744414,False,13,0.032077888886778996,542.5666637537599
13,2020-02-04,0,84.29774430120075,271.28333187744414,False,14,0.036771025711631405,542.5666637537599
14,2020-02-05,0,84.29774430120075,271.28333187744414,False,15,0.0421507358369013,542.5666637537599
15,2020-02-06,0,84.29774430120075,271.28333187744414,False,16,0.04831744341398909,542.5666637537599
16,2020-02-07,0,84.29774430120075,271.28333187744414,False,17,0.05538625623987009,542.5666637537599
17,2020-02-08,0,84.29774430120075,271.28333187744414,False,18,0.06348911109354598,542.5666637537599
18,2020-02-09,0,84.29774430120075,271.28333187744414,False,19,0.07277723199567908,542.5666637537599
19,2020-02-10,0,84.29774430120075,271.28333187744414,False,20,0.08342394687210791,542.5666637537599
20,2020-02-11,0,84.29774430120075,271.28333187744414,False,21,0.09562791466094361,542.5666637537599
21,2020-02-12,0,84.29774430120075,271.28333187744414,False,22,0.10961682239170488,542.5666637537599
22,2020-02-13,0,84.29774430120075,271.28333187744414,False,23,0.12565162031014357,542.5666637537599
23,2020-02-14,0,84.29774430120075,271.28333187744414,False,24,0.14403137286632428,542.5666637537599
24,2020-02-15,0,84.29774430120075,271.28333187744414,False,25,0.1650988144854289,542.5666637537599
25,2020-02-16,0,84.29774430120075,271.28333187744414,False,26,0.18924671167820914,542.5666637537599
26,2020-02-17,0,84.29774430120075,271.28333187744414,False,27,0.21692514741795757,542.5666637537599
27,2020-02-18,0,84.29774430120075,271.28333187744414,False,28,0.24864986003046588,542.5666637537599
28,2020-02-19,0,84.29774430120075,271.28333187744414,False,29,0.285011787350312,542.5666637537599
29,2020-02-20,0,84.29774430120075,271.28333187744414,False,30,0.3266879878486312,542.5666637537599
30,2020-02-21,0,84.29774430120075,271.28333187744414,False,31,0.3744541341103115,542.5666637537599
31,2020-02-22,0,84.29774430120075,271.28333187744414,False,32,0.4291988007235618,542.5666637537599
32,2020-02-23,0,84.29774430120075,271.28333187744414,False,33,0.4919397986429587,542.5666637537599
33,2020-02-24,0,84.29774430120075,271.28333187744414,False,34,0.5638428417004725,542.5666637537599
34,2020-02-25,0,84.29774430120075,271.28333187744414,False,35,0.646242868458003,542.5666637537599
35,2020-02-26,0,84.29774430120075,271.28333187744414,False,36,0.7406683842798684,542.5666637537599
36,2020-02-27,0,84.29774430120075,271.28333187744414,False,37,0.8488692345584019,542.5666637537599
37,2020-02-28,0,84.29774430120075,271.28333187744414,False,38,0.9728482705618974,542.5666637537599
38,2020-02-29,0,84.29774430120075,271.28333187744414,False,39,1.1148974243611405,542.5666637537599
39,2020-03-01,0,84.29774430120075,271.28333187744414,False,40,1.2776387684898896,542.5666637537599
40,2020-03-02,0,84.29774430120075,271.28333187744414,False,41,1.464071198869468,542.5666637537599
41,2020-03-03,0,84.29774430120075,271.28333187744414,False,42,1.6776234451268137,542.5666637537599
42,2020-03-04,0,84.29774430120075,271.28333187744414,False,43,1.9222141792384204,542.5666637537599
43,2020-03-05,0,84.29774430120075,271.28333187744414,False,44,2.2023200591508165,542.5666637537599
44,2020-03-06,0,84.29774430120075,271.28333187744414,False,45,2.5230526053477282,542.5666637537599
45,2020-03-07,0,84.29774430120075,271.28333187744414,False,46,2.8902448605903066,542.5666637537599
46,2020-03-08,0,84.29774430120075,271.28333187744414,False,47,3.310548819825439,542.5666637537599
47,2020-03-09,0,84.29774430120075,271.28333187744414,False,48,3.7915446298462867,542.5666637537599
48,2020-03-10,0,84.29774430120075,271.28333187744414,False,49,4.341862535121522,542.5666637537599
49,2020-03-11,0,84.29774430120075,271.28333187744414,False,50,4.971318472082519,542.5666637537599
50,2020-03-12,0,84.29774430120075,271.28333187744414,False,51,5.691064069381687,542.5666637537599
51,2020-03-13,0,84.29774430120075,271.28333187744414,False,52,6.513751571065454,542.5666637537599
52,2020-03-14,0,84.29774430120075,271.28333187744414,False,53,7.453713831604483,542.5666637537599
53,2020-03-15,0,84.29774430120075,271.28333187744414,False,54,8.52715899714014,542.5666637537599
54,2020-03-16,0,84.29774430120075,271.28333187744414,False,55,9.752378738609059,542.5666637537599
55,2020-03-17,0,84.29774430120075,271.28333187744414,False,56,11.149967883219599,542.5666637537599
56,2020-03-18,0,84.29774430120075,271.28333187744414,False,57,12.743051936138286,542.5666637537599
57,2020-03-19,0,84.29774430120075,271.28333187744414,False,58,14.557517222291972,542.5666637537599
58,2020-03-20,1,84.29774430120075,271.28333187744414,False,59,16.622236133654436,542.5666637537599
59,2020-03-21,1,84.29774430120075,271.28333187744414,False,60,18.969277168375164,542.5666637537599
60,2020-03-22,5,84.29774430120075,271.28333187744414,False,61,21.63408603714528,542.5666637537599
61,2020-03-23,13,84.29774430120075,271.28333187744414,False,62,24.655620063125394,542.5666637537599
62,2020-03-24,23,84.29774430120075,271.28333187744414,False,63,28.076413444145995,542.5666637537599
63,2020-03-25,23,84.29774430120075,271.28333187744414,False,64,31.942545798200488,542.5666637537599
64,2020-03-26,25,84.29774430120075,271.28333187744414,False,65,36.30348102539304,542.5666637537599
65,2020-03-27,29,84.29774430120075,271.28333187744414,False,66,41.2117383233117,542.5666637537599
66,2020-03-28,32,84.29774430120075,271.28333187744414,False,67,46.72235285603448,542.5666637537599
