,Report_Date,France_french guiana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.13317289045135,60.493265623662786,True,1,0.005905013686305467,109.85738368294835
1,2020-01-23,0,74.13317289045135,60.493265623662786,True,2,0.00676350556891719,109.85738368294835
2,2020-01-24,0,74.13317289045135,60.493265623662786,True,3,0.007746800061398548,109.85738368294835
3,2020-01-25,0,74.13317289045135,60.493265623662786,True,4,0.00887303775632719,109.85738368294835
4,2020-01-26,0,74.13317289045135,60.493265623662786,True,5,0.010162995281472492,109.85738368294835
5,2020-01-27,0,74.13317289045135,60.493265623662786,True,6,0.011640468103322636,109.85738368294835
6,2020-01-28,0,74.13317289045135,60.493265623662786,True,7,0.013332708845488754,109.85738368294835
7,2020-01-29,0,74.13317289045135,60.493265623662786,True,8,0.015270929149258872,109.85738368294835
8,2020-01-30,0,74.13317289045135,60.493265623662786,True,9,0.017490874256923767,109.85738368294835
9,2020-01-31,0,74.13317289045135,60.493265623662786,True,10,0.02003348081525274,109.85738368294835
10,2020-02-01,0,74.13317289045135,60.493265623662786,True,11,0.022945629899086294,109.85738368294835
11,2020-02-02,0,74.13317289045135,60.493265623662786,True,12,0.02628100896870813,109.85738368294835
12,2020-02-03,0,74.13317289045135,60.493265623662786,True,13,0.030101098427868702,109.85738368294835
13,2020-02-04,0,74.13317289045135,60.493265623662786,True,14,0.03447630067388439,109.85738368294835
14,2020-02-05,0,74.13317289045135,60.493265623662786,True,15,0.039487232062659736,109.85738368294835
15,2020-02-06,0,74.13317289045135,60.493265623662786,True,16,0.04522620108925538,109.85738368294835
16,2020-02-07,0,74.13317289045135,60.493265623662786,True,17,0.051798899352385346,109.85738368294835
17,2020-02-08,0,74.13317289045135,60.493265623662786,True,18,0.05932633557687832,109.85738368294835
18,2020-02-09,0,74.13317289045135,60.493265623662786,True,19,0.0679470471638346,109.85738368294835
19,2020-02-10,0,74.13317289045135,60.493265623662786,True,20,0.07781962848015712,109.85738368294835
20,2020-02-11,0,74.13317289045135,60.493265623662786,True,21,0.08912562044708508,109.85738368294835
21,2020-02-12,0,74.13317289045135,60.493265623662786,True,22,0.10207281200373618,109.85738368294835
22,2020-02-13,0,74.13317289045135,60.493265623662786,True,23,0.1168990107701239,109.85738368294835
23,2020-02-14,0,74.13317289045135,60.493265623662786,True,24,0.1338763477773672,109.85738368294835
24,2020-02-15,0,74.13317289045135,60.493265623662786,True,25,0.15331618952942125,109.85738368294835
25,2020-02-16,0,74.13317289045135,60.493265623662786,True,26,0.17557473996050046,109.85738368294835
26,2020-02-17,0,74.13317289045135,60.493265623662786,True,27,0.20105942509028413,109.85738368294835
27,2020-02-18,0,74.13317289045135,60.493265623662786,True,28,0.2302361643660711,109.85738368294835
28,2020-02-19,0,74.13317289045135,60.493265623662786,True,29,0.26363764479281054,109.85738368294835
29,2020-02-20,0,74.13317289045135,60.493265623662786,True,30,0.30187272691251466,109.85738368294835
30,2020-02-21,0,74.13317289045135,60.493265623662786,True,31,0.34563712535571145,109.85738368294835
31,2020-02-22,0,74.13317289045135,60.493265623662786,True,32,0.39572552080111967,109.85738368294835
32,2020-02-23,0,74.13317289045135,60.493265623662786,True,33,0.453045274361591,109.85738368294835
33,2020-02-24,0,74.13317289045135,60.493265623662786,True,34,0.5186319290983614,109.85738368294835
34,2020-02-25,0,74.13317289045135,60.493265623662786,True,35,0.5936666957443836,109.85738368294835
35,2020-02-26,0,74.13317289045135,60.493265623662786,True,36,0.6794961296676294,109.85738368294835
36,2020-02-27,0,74.13317289045135,60.493265623662786,True,37,0.7776542120944157,109.85738368294835
37,2020-02-28,0,74.13317289045135,60.493265623662786,True,38,0.8898870485849781,109.85738368294835
38,2020-02-29,0,74.13317289045135,60.493265623662786,True,39,1.0181803889905445,109.85738368294835
39,2020-03-01,0,74.13317289045135,60.493265623662786,True,40,1.1647901520788522,109.85738368294835
40,2020-03-02,0,74.13317289045135,60.493265623662786,True,41,1.332276100134738,109.85738368294835
41,2020-03-03,0,74.13317289045135,60.493265623662786,True,42,1.523538748342918,109.85738368294835
42,2020-03-04,0,74.13317289045135,60.493265623662786,True,43,1.7418595034205275,109.85738368294835
43,2020-03-05,0,74.13317289045135,60.493265623662786,True,44,1.9909438969226076,109.85738368294835
44,2020-03-06,0,74.13317289045135,60.493265623662786,True,45,2.274967600229343,109.85738368294835
45,2020-03-07,5,74.13317289045135,60.493265623662786,True,46,2.5986246679231852,109.85738368294835
46,2020-03-08,5,74.13317289045135,60.493265623662786,True,47,2.96717713985115,109.85738368294835
47,2020-03-09,5,74.13317289045135,60.493265623662786,True,48,3.3865047241647153,109.85738368294835
48,2020-03-10,5,74.13317289045135,60.493265623662786,True,49,3.863152768256482,109.85738368294835
49,2020-03-11,5,74.13317289045135,60.493265623662786,True,50,4.404376087351139,109.85738368294835
50,2020-03-12,5,74.13317289045135,60.493265623662786,True,51,5.0181754511697525,109.85738368294835
51,2020-03-13,5,74.13317289045135,60.493265623662786,True,52,5.713322625200245,109.85738368294835
52,2020-03-14,5,74.13317289045135,60.493265623662786,True,53,6.499368835952643,109.85738368294835
53,2020-03-15,7,74.13317289045135,60.493265623662786,True,54,7.386630411600092,109.85738368294835
54,2020-03-16,11,74.13317289045135,60.493265623662786,True,55,8.38614420362237,109.85738368294835
55,2020-03-17,11,74.13317289045135,60.493265623662786,True,56,9.509584325926715,109.85738368294835
56,2020-03-18,11,74.13317289045135,60.493265623662786,True,57,10.76913091241332,109.85738368294835
57,2020-03-19,11,74.13317289045135,60.493265623662786,True,58,12.177281210646985,109.85738368294835
58,2020-03-20,15,74.13317289045135,60.493265623662786,True,59,13.746593681441693,109.85738368294835
59,2020-03-21,18,74.13317289045135,60.493265623662786,True,60,15.489357201351378,109.85738368294835
60,2020-03-22,18,74.13317289045135,60.493265623662786,True,61,17.41718033644765,109.85738368294835
61,2020-03-23,20,74.13317289045135,60.493265623662786,True,62,19.540500317562703,109.85738368294835
62,2020-03-24,23,74.13317289045135,60.493265623662786,True,63,21.86801803904757,109.85738368294835
63,2020-03-25,28,74.13317289045135,60.493265623662786,True,64,24.4060741439582,109.85738368294835
64,2020-03-26,28,74.13317289045135,60.493265623662786,True,65,27.15799171306584,109.85738368294835
