,Report_Date,France_mayotte_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,112.89875463040207,1106.3716454453684,True,1,0.2003175249212793,1968.827991507753
1,2020-01-23,0,0,112.89875463040207,1106.3716454453684,True,2,0.21769474935985686,1968.827991507753
2,2020-01-24,0,0,112.89875463040207,1106.3716454453684,True,3,0.23657925899958301,1968.827991507753
3,2020-01-25,0,0,112.89875463040207,1106.3716454453684,True,4,0.25710176525878126,1968.827991507753
4,2020-01-26,0,0,112.89875463040207,1106.3716454453684,True,5,0.2794043095376856,1968.827991507753
5,2020-01-27,0,0,112.89875463040207,1106.3716454453684,True,6,0.3036412443379429,1968.827991507753
6,2020-01-28,0,0,112.89875463040207,1106.3716454453684,True,7,0.3299802991690411,1968.827991507753
7,2020-01-29,0,0,112.89875463040207,1106.3716454453684,True,8,0.3586037385374734,1968.827991507753
8,2020-01-30,0,0,112.89875463040207,1106.3716454453684,True,9,0.38970961993655734,1968.827991507753
9,2020-01-31,0,0,112.89875463040207,1106.3716454453684,True,10,0.42351316042894827,1968.827991507753
10,2020-02-01,0,0,112.89875463040207,1106.3716454453684,True,11,0.46024822114418024,1968.827991507753
11,2020-02-02,0,0,112.89875463040207,1106.3716454453684,True,12,0.5001689198044856,1968.827991507753
12,2020-02-03,0,0,112.89875463040207,1106.3716454453684,True,13,0.5435513822484613,1968.827991507753
13,2020-02-04,0,0,112.89875463040207,1106.3716454453684,True,14,0.5906956448489488,1968.827991507753
14,2020-02-05,0,0,112.89875463040207,1106.3716454453684,True,15,0.6419277207242237,1968.827991507753
15,2020-02-06,0,0,112.89875463040207,1106.3716454453684,True,16,0.6976018437260006,1968.827991507753
16,2020-02-07,0,0,112.89875463040207,1106.3716454453684,True,17,0.7581029053600193,1968.827991507753
17,2020-02-08,0,0,112.89875463040207,1106.3716454453684,True,18,0.8238491010615506,1968.827991507753
18,2020-02-09,0,0,112.89875463040207,1106.3716454453684,True,19,0.8952948036159416,1968.827991507753
19,2020-02-10,0,0,112.89875463040207,1106.3716454453684,True,20,0.9729336829904781,1968.827991507753
20,2020-02-11,0,0,112.89875463040207,1106.3716454453684,True,21,1.0573020934360111,1968.827991507753
21,2020-02-12,0,0,112.89875463040207,1106.3716454453684,True,22,1.1489827504327814,1968.827991507753
22,2020-02-13,0,0,112.89875463040207,1106.3716454453684,True,23,1.2486087219029531,1968.827991507753
23,2020-02-14,0,0,112.89875463040207,1106.3716454453684,True,24,1.3568677601009254,1968.827991507753
24,2020-02-15,0,0,112.89875463040207,1106.3716454453684,True,25,1.4745070027301956,1968.827991507753
25,2020-02-16,0,0,112.89875463040207,1106.3716454453684,True,26,1.6023380741311566,1968.827991507753
26,2020-02-17,0,0,112.89875463040207,1106.3716454453684,True,27,1.7412426198465325,1968.827991507753
27,2020-02-18,0,0,112.89875463040207,1106.3716454453684,True,28,1.8921783105088001,1968.827991507753
28,2020-02-19,0,0,112.89875463040207,1106.3716454453684,True,29,2.056185353815436,1968.827991507753
29,2020-02-20,0,0,112.89875463040207,1106.3716454453684,True,30,2.2343935563709953,1968.827991507753
30,2020-02-21,0,0,112.89875463040207,1106.3716454453684,True,31,2.4280299803871417,1968.827991507753
31,2020-02-22,0,0,112.89875463040207,1106.3716454453684,True,32,2.6384272436490734,1968.827991507753
32,2020-02-23,0,0,112.89875463040207,1106.3716454453684,True,33,2.8670325147840336,1968.827991507753
33,2020-02-24,0,0,112.89875463040207,1106.3716454453684,True,34,3.1154172597077943,1968.827991507753
34,2020-02-25,0,0,112.89875463040207,1106.3716454453684,True,35,3.385287799178768,1968.827991507753
