,Report_Date,Saudi Arabia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,91.52534753351097,8860.735997521288,False,1,0.637418102619803,17721.47199504258
1,2020-01-23,0,91.52534753351097,8860.735997521288,False,2,0.7136978803078997,17721.47199504258
2,2020-01-24,0,91.52534753351097,8860.735997521288,False,3,0.7991056417719783,17721.47199504258
3,2020-01-25,0,91.52534753351097,8860.735997521288,False,4,0.8947335784892496,17721.47199504258
4,2020-01-26,0,91.52534753351097,8860.735997521288,False,5,1.0018045395382904,17721.47199504258
5,2020-01-27,0,91.52534753351097,8860.735997521288,False,6,1.1216876552984005,17721.47199504258
6,2020-01-28,0,91.52534753351097,8860.735997521288,False,7,1.2559158276864772,17721.47199504258
7,2020-01-29,0,91.52534753351097,8860.735997521288,False,8,1.4062053094911566,17721.47199504258
8,2020-01-30,0,91.52534753351097,8860.735997521288,False,9,1.5744776217915017,17721.47199504258
9,2020-01-31,0,91.52534753351097,8860.735997521288,False,10,1.7628840879852197,17721.47199504258
10,2020-02-01,0,91.52534753351097,8860.735997521288,False,11,1.9738332959582148,17721.47199504258
11,2020-02-02,0,91.52534753351097,8860.735997521288,False,12,2.2100218368017037,17721.47199504258
12,2020-02-03,0,91.52534753351097,8860.735997521288,False,13,2.4744687096671507,17721.47199504258
13,2020-02-04,0,91.52534753351097,8860.735997521288,False,14,2.7705538283324898,17721.47199504258
14,2020-02-05,0,91.52534753351097,8860.735997521288,False,15,3.1020611163771106,17721.47199504258
15,2020-02-06,0,91.52534753351097,8860.735997521288,False,16,3.4732267351260093,17721.47199504258
16,2020-02-07,0,91.52534753351097,8860.735997521288,False,17,3.888793052384724,17721.47199504258
17,2020-02-08,0,91.52534753351097,8860.735997521288,False,18,4.354069031171472,17721.47199504258
18,2020-02-09,0,91.52534753351097,8860.735997521288,False,19,4.8749977969572775,17721.47199504258
19,2020-02-10,0,91.52534753351097,8860.735997521288,False,20,5.458232230219595,17721.47199504258
20,2020-02-11,0,91.52534753351097,8860.735997521288,False,21,6.111219529349746,17721.47199504258
21,2020-02-12,0,91.52534753351097,8860.735997521288,False,22,6.842295798161239,17721.47199504258
22,2020-02-13,0,91.52534753351097,8860.735997521288,False,23,7.66079183353995,17721.47199504258
23,2020-02-14,0,91.52534753351097,8860.735997521288,False,24,8.577151423357899,17721.47199504258
24,2020-02-15,0,91.52534753351097,8860.735997521288,False,25,9.60306361392111,17721.47199504258
25,2020-02-16,0,91.52534753351097,8860.735997521288,False,26,10.751610571295782,17721.47199504258
26,2020-02-17,0,91.52534753351097,8860.735997521288,False,27,12.037432843279385,17721.47199504258
27,2020-02-18,0,91.52534753351097,8860.735997521288,False,28,13.476914030027542,17721.47199504258
28,2020-02-19,0,91.52534753351097,8860.735997521288,False,29,15.088387092913722,17721.47199504258
29,2020-02-20,0,91.52534753351097,8860.735997521288,False,30,16.892364774580084,17721.47199504258
30,2020-02-21,0,91.52534753351097,8860.735997521288,False,31,18.91179686977377,17721.47199504258
31,2020-02-22,0,91.52534753351097,8860.735997521288,False,32,21.17235737777726,17721.47199504258
32,2020-02-23,0,91.52534753351097,8860.735997521288,False,33,23.702764884157673,17721.47199504258
33,2020-02-24,0,91.52534753351097,8860.735997521288,False,34,26.53513986299228,17721.47199504258
34,2020-02-25,0,91.52534753351097,8860.735997521288,False,35,29.70540296103689,17721.47199504258
35,2020-02-26,0,91.52534753351097,8860.735997521288,False,36,33.253718722214096,17721.47199504258
36,2020-02-27,0,91.52534753351097,8860.735997521288,False,37,37.224989633160384,17721.47199504258
37,2020-02-28,0,91.52534753351097,8860.735997521288,False,38,41.66940581606303,17721.47199504258
38,2020-02-29,0,91.52534753351097,8860.735997521288,False,39,46.64305615976665,17721.47199504258
39,2020-03-01,0,91.52534753351097,8860.735997521288,False,40,52.20860715824158,17721.47199504258
40,2020-03-02,1,91.52534753351097,8860.735997521288,False,41,58.43605620847252,17721.47199504258
41,2020-03-03,1,91.52534753351097,8860.735997521288,False,42,65.40356659579962,17721.47199504258
42,2020-03-04,1,91.52534753351097,8860.735997521288,False,43,73.19839184764017,17721.47199504258
43,2020-03-05,5,91.52534753351097,8860.735997521288,False,44,81.9178975449285,17721.47199504258
44,2020-03-06,5,91.52534753351097,8860.735997521288,False,45,91.67068901647228,17721.47199504258
45,2020-03-07,5,91.52534753351097,8860.735997521288,False,46,102.57785356844758,17721.47199504258
46,2020-03-08,11,91.52534753351097,8860.735997521288,False,47,114.77432597303111,17721.47199504258
