,Report_Date,MS Zaandam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.96265591402683,11.771811540478755,False,1,0.0149412368684259,0.09008589196901885
1,2020-01-23,0,85.96265591402683,11.771811540478755,False,2,0.016292674665335845,0.09008589196901885
2,2020-01-24,0,85.96265591402683,11.771811540478755,False,3,0.01776625797481087,0.09008589196901885
3,2020-01-25,0,85.96265591402683,11.771811540478755,False,4,0.019373009090590025,0.09008589196901885
4,2020-01-26,0,85.96265591402683,11.771811540478755,False,5,0.02112494164924807,0.09008589196901885
5,2020-01-27,0,85.96265591402683,11.771811540478755,False,6,0.023035149167788455,0.09008589196901885
6,2020-01-28,0,85.96265591402683,11.771811540478755,False,7,0.025117901370573466,0.09008589196901885
7,2020-01-29,0,85.96265591402683,11.771811540478755,False,8,0.02738874896846168,0.09008589196901885
8,2020-01-30,0,85.96265591402683,11.771811540478755,False,9,0.02986463760513286,0.09008589196901885
9,2020-01-31,0,85.96265591402683,11.771811540478755,False,10,0.03256403174094121,0.09008589196901885
10,2020-02-01,0,85.96265591402683,11.771811540478755,False,11,0.03550704930327423,0.09008589196901885
11,2020-02-02,0,85.96265591402683,11.771811540478755,False,12,0.03871560799428393,0.09008589196901885
12,2020-02-03,0,85.96265591402683,11.771811540478755,False,13,0.042213584211919716,0.09008589196901885
13,2020-02-04,0,85.96265591402683,11.771811540478755,False,14,0.04602698560827137,0.09008589196901885
14,2020-02-05,0,85.96265591402683,11.771811540478755,False,15,0.0501841383800783,0.09008589196901885
15,2020-02-06,0,85.96265591402683,11.771811540478755,False,16,0.05471589045951486,0.09008589196901885
16,2020-02-07,0,85.96265591402683,11.771811540478755,False,17,0.059655831848515306,0.09008589196901885
17,2020-02-08,0,85.96265591402683,11.771811540478755,False,18,0.06504053341628256,0.09008589196901885
18,2020-02-09,0,85.96265591402683,11.771811540478755,False,19,0.07090980555634713,0.09008589196901885
19,2020-02-10,0,85.96265591402683,11.771811540478755,False,20,0.07730697817547282,0.09008589196901885
20,2020-02-11,0,85.96265591402683,11.771811540478755,False,21,0.08427920356041128,0.09008589196901885
21,2020-02-12,0,85.96265591402683,11.771811540478755,False,22,0.09187778373819235,0.09008589196901885
22,2020-02-13,0,85.96265591402683,11.771811540478755,False,23,0.10015852400908568,0.09008589196901885
23,2020-02-14,0,85.96265591402683,11.771811540478755,False,24,0.10918211438585809,0.09008589196901885
24,2020-02-15,0,85.96265591402683,11.771811540478755,False,25,0.11901454071516297,0.09008589196901885
25,2020-02-16,0,85.96265591402683,11.771811540478755,False,26,0.12972752728282624,0.09008589196901885
26,2020-02-17,0,85.96265591402683,11.771811540478755,False,27,0.14139901270961552,0.09008589196901885
27,2020-02-18,0,85.96265591402683,11.771811540478755,False,28,0.15411366092203083,0.09008589196901885
