,Report_Date,Australia_northern territory_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.58897551386006,15.532895006534426,True,1,0.0003674305630347071,30.90720633247405
1,2020-01-23,0,68.58897551386006,15.532895006534426,True,2,0.0004345826182162056,30.90720633247405
2,2020-01-24,0,68.58897551386006,15.532895006534426,True,3,0.0005140072613542548,30.90720633247405
3,2020-01-25,0,68.58897551386006,15.532895006534426,True,4,0.000607947327384547,30.90720633247405
4,2020-01-26,0,68.58897551386006,15.532895006534426,True,5,0.0007190555005732789,30.90720633247405
5,2020-01-27,0,68.58897551386006,15.532895006534426,True,6,0.0008504691963367637,30.90720633247405
6,2020-01-28,0,68.58897551386006,15.532895006534426,True,7,0.0010058991192556997,30.90720633247405
7,2020-01-29,0,68.58897551386006,15.532895006534426,True,8,0.0011897339930123057,30.90720633247405
8,2020-01-30,0,68.58897551386006,15.532895006534426,True,9,0.0014071644125978864,30.90720633247405
9,2020-01-31,0,68.58897551386006,15.532895006534426,True,10,0.0016643293062439076,30.90720633247405
10,2020-02-01,0,68.58897551386006,15.532895006534426,True,11,0.0019684891289569223,30.90720633247405
11,2020-02-02,0,68.58897551386006,15.532895006534426,True,12,0.0023282306587381943,30.90720633247405
12,2020-02-03,0,68.58897551386006,15.532895006534426,True,13,0.002753709151049985,30.90720633247405
13,2020-02-04,0,68.58897551386006,15.532895006534426,True,14,0.0032569346509208515,30.90720633247405
14,2020-02-05,0,68.58897551386006,15.532895006534426,True,15,0.0038521104934685995,30.90720633247405
15,2020-02-06,0,68.58897551386006,15.532895006534426,True,16,0.004556033475558619,30.90720633247405
16,2020-02-07,0,68.58897551386006,15.532895006534426,True,17,0.005388566892325663,30.90720633247405
17,2020-02-08,0,68.58897551386006,15.532895006534426,True,18,0.006373199647214726,30.90720633247405
18,2020-02-09,0,68.58897551386006,15.532895006534426,True,19,0.007537707015090701,30.90720633247405
19,2020-02-10,0,68.58897551386006,15.532895006534426,True,20,0.008914931425001328,30.90720633247405
20,2020-02-11,0,68.58897551386006,15.532895006534426,True,21,0.010543704901590062,30.90720633247405
21,2020-02-12,0,68.58897551386006,15.532895006534426,True,22,0.012469938641137,30.90720633247405
22,2020-02-13,0,68.58897551386006,15.532895006534426,True,23,0.014747909689658055,30.90720633247405
23,2020-02-14,0,68.58897551386006,15.532895006534426,True,24,0.017441779937508787,30.90720633247405
24,2020-02-15,0,68.58897551386006,15.532895006534426,True,25,0.020627388759791806,30.90720633247405
25,2020-02-16,0,68.58897551386006,15.532895006534426,True,26,0.02439436773720705,30.90720633247405
26,2020-02-17,0,68.58897551386006,15.532895006534426,True,27,0.02884863411878947,30.90720633247405
27,2020-02-18,0,68.58897551386006,15.532895006534426,True,28,0.03411532917162334,30.90720633247405
28,2020-02-19,0,68.58897551386006,15.532895006534426,True,29,0.04034227843615941,30.90720633247405
29,2020-02-20,0,68.58897551386006,15.532895006534426,True,30,0.0477040632891571,30.90720633247405
30,2020-02-21,0,68.58897551386006,15.532895006534426,True,31,0.0564068071998321,30.90720633247405
31,2020-02-22,0,68.58897551386006,15.532895006534426,True,32,0.06669379568438635,30.90720633247405
32,2020-02-23,0,68.58897551386006,15.532895006534426,True,33,0.0788520661649236,30.90720633247405
33,2020-02-24,0,68.58897551386006,15.532895006534426,True,34,0.09322012252325844,30.90720633247405
34,2020-02-25,0,68.58897551386006,15.532895006534426,True,35,0.11019694869432939,30.90720633247405
35,2020-02-26,0,68.58897551386006,15.532895006534426,True,36,0.13025251543470737,30.90720633247405
36,2020-02-27,0,68.58897551386006,15.532895006534426,True,37,0.15393999323559146,30.90720633247405
37,2020-02-28,0,68.58897551386006,15.532895006534426,True,38,0.18190990038167928,30.90720633247405
38,2020-02-29,0,68.58897551386006,15.532895006534426,True,39,0.21492642563621372,30.90720633247405
39,2020-03-01,0,68.58897551386006,15.532895006534426,True,40,0.2538861659684366,30.90720633247405
40,2020-03-02,0,68.58897551386006,15.532895006534426,True,41,0.2998395054801805,30.90720633247405
41,2020-03-03,0,68.58897551386006,15.532895006534426,True,42,0.3540148243947714,30.90720633247405
42,2020-03-04,1,68.58897551386006,15.532895006534426,True,43,0.4178456560000157,30.90720633247405
43,2020-03-05,1,68.58897551386006,15.532895006534426,True,44,0.4930007906538305,30.90720633247405
44,2020-03-06,0,68.58897551386006,15.532895006534426,True,45,0.58141714106599,30.90720633247405
45,2020-03-07,0,68.58897551386006,15.532895006534426,True,46,0.685334909081403,30.90720633247405
46,2020-03-08,0,68.58897551386006,15.532895006534426,True,47,0.8073342033652088,30.90720633247405
47,2020-03-09,0,68.58897551386006,15.532895006534426,True,48,0.9503717180236609,30.90720633247405
48,2020-03-10,1,68.58897551386006,15.532895006534426,True,49,1.1178153610086692,30.90720633247405
49,2020-03-11,1,68.58897551386006,15.532895006534426,True,50,1.3134737882693572,30.90720633247405
50,2020-03-12,1,68.58897551386006,15.532895006534426,True,51,1.5416166374447426,30.90720633247405
51,2020-03-13,1,68.58897551386006,15.532895006534426,True,52,1.8069798725037391,30.90720633247405
52,2020-03-14,1,68.58897551386006,15.532895006534426,True,53,2.114749105103295,30.90720633247405
53,2020-03-15,1,68.58897551386006,15.532895006534426,True,54,2.4705121831026875,30.90720633247405
54,2020-03-16,1,68.58897551386006,15.532895006534426,True,55,2.8801709761103376,30.90720633247405
55,2020-03-17,1,68.58897551386006,15.532895006534426,True,56,3.349801531363704,30.90720633247405
56,2020-03-18,1,68.58897551386006,15.532895006534426,True,57,3.8854521746776434,30.90720633247405
57,2020-03-19,1,68.58897551386006,15.532895006534426,True,58,4.492871393219582,30.90720633247405
58,2020-03-20,3,68.58897551386006,15.532895006534426,True,59,5.1771622265795765,30.90720633247405
59,2020-03-21,3,68.58897551386006,15.532895006534426,True,60,5.942368056112949,30.90720633247405
60,2020-03-22,5,68.58897551386006,15.532895006534426,True,61,6.791006339143626,30.90720633247405
61,2020-03-23,5,68.58897551386006,15.532895006534426,True,62,7.72358137575863,30.90720633247405
62,2020-03-24,6,68.58897551386006,15.532895006534426,True,63,8.738122792205335,30.90720633247405
63,2020-03-25,6,68.58897551386006,15.532895006534426,True,64,9.829809840920316,30.90720633247405
64,2020-03-26,12,68.58897551386006,15.532895006534426,True,65,10.990748496558831,30.90720633247405
65,2020-03-27,12,68.58897551386006,15.532895006534426,True,66,12.209964156149253,30.90720633247405
66,2020-03-28,15,68.58897551386006,15.532895006534426,True,67,13.47365446574833,30.90720633247405
67,2020-03-29,15,68.58897551386006,15.532895006534426,True,68,14.765714589154472,30.90720633247405
68,2020-03-30,15,68.58897551386006,15.532895006534426,True,69,16.06850573099647,30.90720633247405
69,2020-03-31,17,68.58897551386006,15.532895006534426,True,70,17.363795635243235,30.90720633247405
70,2020-04-01,19,68.58897551386006,15.532895006534426,True,71,18.63376765283865,30.90720633247405
71,2020-04-02,21,68.58897551386006,15.532895006534426,True,72,19.861981672407232,30.90720633247405
72,2020-04-03,22,68.58897551386006,15.532895006534426,True,73,21.03417957276212,30.90720633247405
73,2020-04-04,26,68.58897551386006,15.532895006534426,True,74,22.13885717402565,30.90720633247405
74,2020-04-05,27,68.58897551386006,15.532895006534426,True,75,23.167565755494472,30.90720633247405
75,2020-04-06,28,68.58897551386006,15.532895006534426,True,76,24.114948545758388,30.90720633247405
76,2020-04-07,28,68.58897551386006,15.532895006534426,True,77,24.978551922599063,30.90720633247405
77,2020-04-08,28,68.58897551386006,15.532895006534426,True,78,25.758471955822195,30.90720633247405
78,2020-04-09,28,68.58897551386006,15.532895006534426,True,79,26.456903455938516,30.90720633247405
79,2020-04-10,28,68.58897551386006,15.532895006534426,True,80,27.077653466297505,30.90720633247405
80,2020-04-11,28,68.58897551386006,15.532895006534426,True,81,27.625668543513264,30.90720633247405
81,2020-04-12,28,68.58897551386006,15.532895006534426,True,82,28.10660968667155,30.90720633247405
82,2020-04-13,28,68.58897551386006,15.532895006534426,True,83,28.526493873190034,30.90720633247405
83,2020-04-14,28,68.58897551386006,15.532895006534426,True,84,28.891408914321755,30.90720633247405
84,2020-04-15,28,68.58897551386006,15.532895006534426,True,85,29.207299556038507,30.90720633247405
85,2020-04-16,28,68.58897551386006,15.532895006534426,True,86,29.479817318432072,30.90720633247405
86,2020-04-17,28,68.58897551386006,15.532895006534426,True,87,29.71422389287658,30.90720633247405
87,2020-04-18,28,68.58897551386006,15.532895006534426,True,88,29.915337238500317,30.90720633247405
88,2020-04-19,28,68.58897551386006,15.532895006534426,True,89,30.087510115316274,30.90720633247405
89,2020-04-20,28,68.58897551386006,15.532895006534426,True,90,30.234632077515798,30.90720633247405
