,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-16.307607729363166,-122.84833133290923,90.04430086731912,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
1,2020-01-23,-7.605821386692847,-110.00269502035448,94.67856870281503,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
2,2020-01-24,17.41507241316792,-85.31620048232993,119.9025422032498,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
3,2020-01-25,12.7683455434475,-95.26409315164845,116.60858790349214,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
4,2020-01-26,11.540967678116688,-101.33481432069497,114.59029000689704,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
5,2020-01-27,-1.1971963521159865,-106.62689840063523,105.76883437800957,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
6,2020-01-28,-14.461571838180348,-121.5181237852529,83.970291674809,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
7,2020-01-29,-15.91810228049415,-119.6416799769332,87.58041626506424,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
8,2020-01-30,-7.145827933130873,-108.64562633531169,97.20217360592774,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
9,2020-01-31,17.95830791794733,-87.60927880780696,123.85500801991307,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
10,2020-02-01,13.409884055063745,-94.30311625177525,115.91758143128835,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
11,2020-02-02,12.298594011741526,-87.17290911578853,119.5778449902987,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
12,2020-02-03,-0.30248133560495916,-95.0935126377216,105.91857663138697,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
13,2020-02-04,-13.404970284771164,-116.67372532841506,92.43091087407677,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
14,2020-02-05,-14.670333694344952,-121.49895025526614,96.0232575443222,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
15,2020-02-06,-5.672320053844338,-107.81398911084676,97.38199190506597,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
16,2020-02-07,19.698373816115293,-91.87361146508263,127.19312648549227,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
17,2020-02-08,15.464699447036683,-86.5544752890667,120.6609951698159,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
18,2020-02-09,14.725051569090695,-91.72080785898272,111.43676078271544,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
19,2020-02-10,2.5627787914095688,-106.19771503694577,114.30304935068708,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
20,2020-02-11,-10.02163265846999,-114.07502988145849,91.95896083780553,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
21,2020-02-12,-10.675352628787506,-119.88462174081002,96.41706597059277,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
22,2020-02-13,-0.9552745418908994,-109.96480079626826,102.45512395697462,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
23,2020-02-14,25.26777912688528,-77.47815145162069,126.55230473449089,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
24,2020-02-15,22.040187672649708,-86.68506144533887,124.60765135434096,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
25,2020-02-16,22.48795299006601,-88.71010161668201,119.94142510789963,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
26,2020-02-17,11.726942816399404,-96.90577867058832,111.10859066342968,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
27,2020-02-18,0.7959302879846177,-99.963789548474,105.54572034959737,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
28,2020-02-19,2.092797998807999,-98.60523783364891,107.40372965043055,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
29,2020-02-20,14.11363085951179,-87.84998445969727,115.35208088568552,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
30,2020-02-21,43.04985607074953,-59.84586770610613,143.64249042313685,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
31,2020-02-22,43.02092841322252,-59.17672342117625,143.6508382650461,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
32,2020-02-23,47.23853919024981,-57.56892086798617,155.78865376401313,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
33,2020-02-24,40.918905378757245,-69.7865161518403,139.36564133070465,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
34,2020-02-25,35.21813467932613,-71.69644415386813,132.7652975596331,0.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
35,2020-02-26,42.671051283781374,-56.91176353303597,145.08167925753918,1.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
36,2020-02-27,61.93321403105498,-40.99818080893335,174.53183935405218,1.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
37,2020-02-28,99.3812775781667,-6.811082503717845,211.31468461972239,6.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
38,2020-02-29,109.34916397214232,7.478212397357719,220.96894470553832,15.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
39,2020-03-01,125.29595806292362,14.916935251964729,222.56557183856418,19.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
40,2020-03-02,132.7219697749935,27.582263737574777,239.3984309892396,25.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
41,2020-03-03,143.10777790207908,45.85309039391663,246.44674853813746,32.0,2020-04-06,64.71703067958947,True,76,6533.065017020035
