,Report_Date,Netherlands_sint maarten_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,78.87310732036539,38.98266499101751,True,1,0.000902172239127243,77.95141139839399
1,2020-01-23,0,0,78.87310732036539,38.98266499101751,True,2,0.001043954649278292,77.95141139839399
2,2020-01-24,0,0,78.87310732036539,38.98266499101751,True,3,0.0012080187695976995,77.95141139839399
3,2020-01-25,0,0,78.87310732036539,38.98266499101751,True,4,0.0013978661487817586,77.95141139839399
4,2020-01-26,0,0,78.87310732036539,38.98266499101751,True,5,0.0016175485607597788,77.95141139839399
5,2020-01-27,0,0,78.87310732036539,38.98266499101751,True,6,0.0018717544523585128,77.95141139839399
6,2020-01-28,0,0,78.87310732036539,38.98266499101751,True,7,0.0021659089684783273,77.95141139839399
7,2020-01-29,0,0,78.87310732036539,38.98266499101751,True,8,0.0025062896857255645,77.95141139839399
8,2020-01-30,0,0,78.87310732036539,38.98266499101751,True,9,0.0029001605193657983,77.95141139839399
9,2020-01-31,0,0,78.87310732036539,38.98266499101751,True,10,0.003355926654530529,77.95141139839399
10,2020-02-01,0,0,78.87310732036539,38.98266499101751,True,11,0.003883313798908734,77.95141139839399
11,2020-02-02,0,0,78.87310732036539,38.98266499101751,True,12,0.004493575570000305,77.95141139839399
12,2020-02-03,0,0,78.87310732036539,38.98266499101751,True,13,0.005199733426129882,77.95141139839399
13,2020-02-04,0,0,78.87310732036539,38.98266499101751,True,14,0.006016854239164074,77.95141139839399
14,2020-02-05,0,0,78.87310732036539,38.98266499101751,True,15,0.006962371402439369,77.95141139839399
15,2020-02-06,0,0,78.87310732036539,38.98266499101751,True,16,0.008056456286098282,77.95141139839399
16,2020-02-07,0,0,78.87310732036539,38.98266499101751,True,17,0.009322447912553482,77.95141139839399
17,2020-02-08,0,0,78.87310732036539,38.98266499101751,True,18,0.01078734994858179,77.95141139839399
18,2020-02-09,0,0,78.87310732036539,38.98266499101751,True,19,0.01248240552209629,77.95141139839399
19,2020-02-10,0,0,78.87310732036539,38.98266499101751,True,20,0.014443761998921195,77.95141139839399
20,2020-02-11,0,0,78.87310732036539,38.98266499101751,True,21,0.016713239729740655,77.95141139839399
21,2020-02-12,0,0,78.87310732036539,38.98266499101751,True,22,0.019339220935957437,77.95141139839399
22,2020-02-13,0,0,78.87310732036539,38.98266499101751,True,23,0.02237767738637929,77.95141139839399
23,2020-02-14,0,0,78.87310732036539,38.98266499101751,True,24,0.025893358370534435,77.95141139839399
24,2020-02-15,0,0,78.87310732036539,38.98266499101751,True,25,0.029961163750671062,77.95141139839399
25,2020-02-16,0,0,78.87310732036539,38.98266499101751,True,26,0.03466773063069367,77.95141139839399
26,2020-02-17,0,0,78.87310732036539,38.98266499101751,True,27,0.04011326648010324,77.95141139839399
27,2020-02-18,0,0,78.87310732036539,38.98266499101751,True,28,0.0464136664641775,77.95141139839399
28,2020-02-19,0,0,78.87310732036539,38.98266499101751,True,29,0.05370295833361143,77.95141139839399
29,2020-02-20,0,0,78.87310732036539,38.98266499101751,True,30,0.06213612459797347,77.95141139839399
30,2020-02-21,0,0,78.87310732036539,38.98266499101751,True,31,0.07189235893130355,77.95141139839399
31,2020-02-22,0,0,78.87310732036539,38.98266499101751,True,32,0.08317882191949102,77.95141139839399
32,2020-02-23,0,0,78.87310732036539,38.98266499101751,True,33,0.09623497043916963,77.95141139839399
33,2020-02-24,0,0,78.87310732036539,38.98266499101751,True,34,0.11133754522932439,77.95141139839399
34,2020-02-25,0,0,78.87310732036539,38.98266499101751,True,35,0.12880631263499523,77.95141139839399
35,2020-02-26,0,0,78.87310732036539,38.98266499101751,True,36,0.14901066909366478,77.95141139839399
36,2020-02-27,0,0,78.87310732036539,38.98266499101751,True,37,0.1723772306798492,77.95141139839399
37,2020-02-28,0,0,78.87310732036539,38.98266499101751,True,38,0.19939854483455058,77.95141139839399
38,2020-02-29,0,0,78.87310732036539,38.98266499101751,True,39,0.23064307709698234,77.95141139839399
39,2020-03-01,0,0,78.87310732036539,38.98266499101751,True,40,0.26676664189943533,77.95141139839399
40,2020-03-02,0,0,78.87310732036539,38.98266499101751,True,41,0.3085254627600548,77.95141139839399
41,2020-03-03,0,0,78.87310732036539,38.98266499101751,True,42,0.3567910627230524,77.95141139839399
42,2020-03-04,0,0,78.87310732036539,38.98266499101751,True,43,0.4125671995006718,77.95141139839399
43,2020-03-05,0,0,78.87310732036539,38.98266499101751,True,44,0.47700906983405084,77.95141139839399
44,2020-03-06,0,0,78.87310732036539,38.98266499101751,True,45,0.5514450118456563,77.95141139839399
45,2020-03-07,0,0,78.87310732036539,38.98266499101751,True,46,0.6374009295172014,77.95141139839399
46,2020-03-08,0,0,78.87310732036539,38.98266499101751,True,47,0.7366276457556702,77.95141139839399
47,2020-03-09,0,0,78.87310732036539,38.98266499101751,True,48,0.8511313543463674,77.95141139839399
48,2020-03-10,0,0,78.87310732036539,38.98266499101751,True,49,0.9832072793462262,77.95141139839399
49,2020-03-11,0,0,78.87310732036539,38.98266499101751,True,50,1.1354765540941256,77.95141139839399
50,2020-03-12,0,0,78.87310732036539,38.98266499101751,True,51,1.3109261896780409,77.95141139839399
51,2020-03-13,0,0,78.87310732036539,38.98266499101751,True,52,1.5129518005345106,77.95141139839399
52,2020-03-14,0,0,78.87310732036539,38.98266499101751,True,53,1.7454024763621594,77.95141139839399
53,2020-03-15,0,0,78.87310732036539,38.98266499101751,True,54,2.01262681577825,77.95141139839399
54,2020-03-16,0,0,78.87310732036539,38.98266499101751,True,55,2.3195186475122633,77.95141139839399
55,2020-03-17,0,0,78.87310732036539,38.98266499101751,True,56,2.671560338663893,77.95141139839399
56,2020-03-18,0,0,78.87310732036539,38.98266499101751,True,57,3.0748608085980265,77.95141139839399
57,2020-03-19,0,0,78.87310732036539,38.98266499101751,True,58,3.5361844206220834,77.95141139839399
58,2020-03-20,1,1,78.87310732036539,38.98266499101751,True,59,4.062965815100633,77.95141139839399
59,2020-03-21,1,1,78.87310732036539,38.98266499101751,True,60,4.663304504497059,77.95141139839399
60,2020-03-22,1,1,78.87310732036539,38.98266499101751,True,61,5.345931737293137,77.95141139839399
61,2020-03-23,2,2,78.87310732036539,38.98266499101751,True,62,6.120140870779873,77.95141139839399
62,2020-03-24,2,2,78.87310732036539,38.98266499101751,True,63,6.995671459003385,77.95141139839399
63,2020-03-25,3,3,78.87310732036539,38.98266499101751,True,64,7.982536733089179,77.95141139839399
64,2020-03-26,3,3,78.87310732036539,38.98266499101751,True,65,9.090784489885195,77.95141139839399
65,2020-03-27,3,3,78.87310732036539,38.98266499101751,True,66,10.330183056065012,77.95141139839399
