,Report_Date,China_inner mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,572.6683382132696,1414163.5720815065,False,1,28.857343742538646,2828327.1441630134
1,2020-01-23,0,572.6683382132696,1414163.5720815065,False,2,29.44335665696715,2828327.1441630134
2,2020-01-24,1,572.6683382132696,1414163.5720815065,False,3,30.041269748048734,2828327.1441630134
3,2020-01-25,7,572.6683382132696,1414163.5720815065,False,4,30.651324667736667,2828327.1441630134
4,2020-01-26,7,572.6683382132696,1414163.5720815065,False,5,31.273767974897446,2828327.1441630134
5,2020-01-27,11,572.6683382132696,1414163.5720815065,False,6,31.90885123494048,2828327.1441630134
6,2020-01-28,15,572.6683382132696,1414163.5720815065,False,7,32.55683112147013,2828327.1441630134
7,2020-01-29,16,572.6683382132696,1414163.5720815065,False,8,33.21796952000143,2828327.1441630134
8,2020-01-30,19,572.6683382132696,1414163.5720815065,False,9,33.892533633781184,2828327.1441630134
9,2020-01-31,20,572.6683382132696,1414163.5720815065,False,10,34.58079609175721,2828327.1441630134
10,2020-02-01,23,572.6683382132696,1414163.5720815065,False,11,35.28303505873939,2828327.1441630134
11,2020-02-02,27,572.6683382132696,1414163.5720815065,False,12,35.99953434779687,2828327.1441630134
12,2020-02-03,34,572.6683382132696,1414163.5720815065,False,13,36.730583534936905,2828327.1441630134
13,2020-02-04,35,572.6683382132696,1414163.5720815065,False,14,37.47647807611161,2828327.1441630134
14,2020-02-05,42,572.6683382132696,1414163.5720815065,False,15,38.23751942659974,2828327.1441630134
15,2020-02-06,46,572.6683382132696,1414163.5720815065,False,16,39.014015162811994,2828327.1441630134
16,2020-02-07,50,572.6683382132696,1414163.5720815065,False,17,39.80627910656856,2828327.1441630134
17,2020-02-08,52,572.6683382132696,1414163.5720815065,False,18,40.61463145189952,2828327.1441630134
18,2020-02-09,54,572.6683382132696,1414163.5720815065,False,19,41.43939889441902,2828327.1441630134
19,2020-02-10,58,572.6683382132696,1414163.5720815065,False,20,42.28091476332549,2828327.1441630134
20,2020-02-11,58,572.6683382132696,1414163.5720815065,False,21,43.13951915608121,2828327.1441630134
21,2020-02-12,60,572.6683382132696,1414163.5720815065,False,22,44.015559075825635,2828327.1441630134
22,2020-02-13,61,572.6683382132696,1414163.5720815065,False,23,44.90938857157781,2828327.1441630134
23,2020-02-14,65,572.6683382132696,1414163.5720815065,False,24,45.821368881284585,2828327.1441630134
24,2020-02-15,68,572.6683382132696,1414163.5720815065,False,25,46.751868577772264,2828327.1441630134
25,2020-02-16,70,572.6683382132696,1414163.5720815065,False,26,47.70126371766072,2828327.1441630134
26,2020-02-17,72,572.6683382132696,1414163.5720815065,False,27,48.66993799329989,2828327.1441630134
27,2020-02-18,73,572.6683382132696,1414163.5720815065,False,28,49.65828288779012,2828327.1441630134
28,2020-02-19,75,572.6683382132696,1414163.5720815065,False,29,50.66669783314889,2828327.1441630134
29,2020-02-20,75,572.6683382132696,1414163.5720815065,False,30,51.69559037168761,2828327.1441630134
30,2020-02-21,75,572.6683382132696,1414163.5720815065,False,31,52.74537632066385,2828327.1441630134
31,2020-02-22,75,572.6683382132696,1414163.5720815065,False,32,53.81647994027516,2828327.1441630134
32,2020-02-23,75,572.6683382132696,1414163.5720815065,False,33,54.90933410506247,2828327.1441630134
33,2020-02-24,75,572.6683382132696,1414163.5720815065,False,34,56.02438047879221,2828327.1441630134
34,2020-02-25,75,572.6683382132696,1414163.5720815065,False,35,57.16206969288748,2828327.1441630134
35,2020-02-26,75,572.6683382132696,1414163.5720815065,False,36,58.32286152848062,2828327.1441630134
36,2020-02-27,75,572.6683382132696,1414163.5720815065,False,37,59.50722510216038,2828327.1441630134
