,Report_Date,Ecuador_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.57211077525061,6243.872486471962,True,1,0.14405728418392694,11247.108568732454
1,2020-01-23,0,80.57211077525061,6243.872486471962,True,2,0.16618455774197397,11247.108568732454
2,2020-01-24,0,80.57211077525061,6243.872486471962,True,3,0.19171053981561523,11247.108568732454
3,2020-01-25,0,80.57211077525061,6243.872486471962,True,4,0.2211572485208639,11247.108568732454
4,2020-01-26,0,80.57211077525061,6243.872486471962,True,5,0.2551268746355993,11247.108568732454
5,2020-01-27,0,80.57211077525061,6243.872486471962,True,6,0.29431409280028653,11247.108568732454
6,2020-01-28,0,80.57211077525061,6243.872486471962,True,7,0.3395202625845348,11247.108568732454
7,2020-01-29,0,80.57211077525061,6243.872486471962,True,8,0.3916698093220366,11247.108568732454
8,2020-01-30,0,80.57211077525061,6243.872486471962,True,9,0.4518291190186533,11247.108568732454
9,2020-01-31,0,80.57211077525061,6243.872486471962,True,10,0.5212283328187528,11247.108568732454
10,2020-02-01,0,80.57211077525061,6243.872486471962,True,11,0.6012864855005645,11247.108568732454
11,2020-02-02,0,80.57211077525061,6243.872486471962,True,12,0.6936405004426537,11247.108568732454
12,2020-02-03,0,80.57211077525061,6243.872486471962,True,13,0.8001786318161943,11247.108568732454
13,2020-02-04,0,80.57211077525061,6243.872486471962,True,14,0.9230790349671378,11247.108568732454
14,2020-02-05,0,80.57211077525061,6243.872486471962,True,15,1.0648542498423619,11247.108568732454
15,2020-02-06,0,80.57211077525061,6243.872486471962,True,16,1.2284025019277445,11247.108568732454
16,2020-02-07,0,80.57211077525061,6243.872486471962,True,17,1.4170668628417893,11247.108568732454
17,2020-02-08,0,80.57211077525061,6243.872486471962,True,18,1.6347034711375956,11247.108568732454
18,2020-02-09,0,80.57211077525061,6243.872486471962,True,19,1.8857601960566883,11247.108568732454
19,2020-02-10,0,80.57211077525061,6243.872486471962,True,20,2.17536733642182,11247.108568732454
20,2020-02-11,0,80.57211077525061,6243.872486471962,True,21,2.509442187496971,11247.108568732454
21,2020-02-12,0,80.57211077525061,6243.872486471962,True,22,2.8948095849524953,11247.108568732454
22,2020-02-13,0,80.57211077525061,6243.872486471962,True,23,3.339340852104042,11247.108568732454
23,2020-02-14,0,80.57211077525061,6243.872486471962,True,24,3.852113940033549,11247.108568732454
24,2020-02-15,0,80.57211077525061,6243.872486471962,True,25,4.443597966425372,11247.108568732454
25,2020-02-16,0,80.57211077525061,6243.872486471962,True,26,5.12586583506856,11247.108568732454
26,2020-02-17,0,80.57211077525061,6243.872486471962,True,27,5.912839161860536,11247.108568732454
27,2020-02-18,0,80.57211077525061,6243.872486471962,True,28,6.820570353446264,11247.108568732454
28,2020-02-19,0,80.57211077525061,6243.872486471962,True,29,7.867567390742462,11247.108568732454
29,2020-02-20,0,80.57211077525061,6243.872486471962,True,30,9.075167671614318,11247.108568732454
30,2020-02-21,0,80.57211077525061,6243.872486471962,True,31,10.467968175521259,11247.108568732454
31,2020-02-22,0,80.57211077525061,6243.872486471962,True,32,12.07432023896184,11247.108568732454
32,2020-02-23,0,80.57211077525061,6243.872486471962,True,33,13.926898384883094,11247.108568732454
33,2020-02-24,0,80.57211077525061,6243.872486471962,True,34,16.063353942093183,11247.108568732454
34,2020-02-25,0,80.57211077525061,6243.872486471962,True,35,18.527065630869842,11247.108568732454
35,2020-02-26,0,80.57211077525061,6243.872486471962,True,36,21.368000884483894,11247.108568732454
36,2020-02-27,0,80.57211077525061,6243.872486471962,True,37,24.64370342505147,11247.108568732454
37,2020-02-28,0,80.57211077525061,6243.872486471962,True,38,28.42042451121509,11247.108568732454
38,2020-02-29,0,80.57211077525061,6243.872486471962,True,39,32.774417310210225,11247.108568732454
39,2020-03-01,6,80.57211077525061,6243.872486471962,True,40,37.79341598966985,11247.108568732454
40,2020-03-02,6,80.57211077525061,6243.872486471962,True,41,43.57832332751396,11247.108568732454
41,2020-03-03,7,80.57211077525061,6243.872486471962,True,42,50.245132827320816,11247.108568732454
42,2020-03-04,10,80.57211077525061,6243.872486471962,True,43,57.92711339148701,11247.108568732454
43,2020-03-05,13,80.57211077525061,6243.872486471962,True,44,66.77728638676867,11247.108568732454
44,2020-03-06,13,80.57211077525061,6243.872486471962,True,45,76.97122621416432,11247.108568732454
45,2020-03-07,13,80.57211077525061,6243.872486471962,True,46,88.71021596193664,11247.108568732454
46,2020-03-08,14,80.57211077525061,6243.872486471962,True,47,102.22478896389215,11247.108568732454
47,2020-03-09,15,80.57211077525061,6243.872486471962,True,48,117.77868455549476,11247.108568732454
48,2020-03-10,15,80.57211077525061,6243.872486471962,True,49,135.67324129815717,11247.108568732454
49,2020-03-11,17,80.57211077525061,6243.872486471962,True,50,156.25224249842017,11247.108568732454
50,2020-03-12,17,80.57211077525061,6243.872486471962,True,51,179.90721580497208,11247.108568732454
51,2020-03-13,17,80.57211077525061,6243.872486471962,True,52,207.08316955402032,11247.108568732454
52,2020-03-14,28,80.57211077525061,6243.872486471962,True,53,238.28472156204953,11247.108568732454
53,2020-03-15,28,80.57211077525061,6243.872486471962,True,54,274.082539109452,11247.108568732454
54,2020-03-16,37,80.57211077525061,6243.872486471962,True,55,315.1199594828549,11247.108568732454
55,2020-03-17,58,80.57211077525061,6243.872486471962,True,56,362.1195959867681,11247.108568732454
56,2020-03-18,111,80.57211077525061,6243.872486471962,True,57,415.88965209379575,11247.108568732454
57,2020-03-19,199,80.57211077525061,6243.872486471962,True,58,477.3295639637055,11247.108568732454
58,2020-03-20,367,80.57211077525061,6243.872486471962,True,59,547.434467338447,11247.108568732454
59,2020-03-21,506,80.57211077525061,6243.872486471962,True,60,627.2978388648754,11247.108568732454
60,2020-03-22,789,80.57211077525061,6243.872486471962,True,61,718.1114970531169,11247.108568732454
61,2020-03-23,981,80.57211077525061,6243.872486471962,True,62,821.1619715150276,11247.108568732454
62,2020-03-24,1082,80.57211077525061,6243.872486471962,True,63,937.8220742323571,11247.108568732454
63,2020-03-25,1173,80.57211077525061,6243.872486471962,True,64,1069.536355098328,11247.108568732454
64,2020-03-26,1403,80.57211077525061,6243.872486471962,True,65,1217.7990279048042,11247.108568732454
65,2020-03-27,1595,80.57211077525061,6243.872486471962,True,66,1384.1229559268138,11247.108568732454
66,2020-03-28,1823,80.57211077525061,6243.872486471962,True,67,1569.9984429932738,11247.108568732454
67,2020-03-29,1924,80.57211077525061,6243.872486471962,True,68,1776.8409486703665,11247.108568732454
68,2020-03-30,1962,80.57211077525061,6243.872486471962,True,69,2005.927496541506,11247.108568732454
69,2020-03-31,2240,80.57211077525061,6243.872486471962,True,70,2258.32251945769,11247.108568732454
70,2020-04-01,2748,80.57211077525061,6243.872486471962,True,71,2534.7951969312467,11247.108568732454
71,2020-04-02,3163,80.57211077525061,6243.872486471962,True,72,2835.731939579141,11247.108568732454
72,2020-04-03,3368,80.57211077525061,6243.872486471962,True,73,3161.049431517056,11247.108568732454
73,2020-04-04,3465,80.57211077525061,6243.872486471962,True,74,3510.115322383486,11247.108568732454
74,2020-04-05,3646,80.57211077525061,6243.872486471962,True,75,3881.684941229836,11247.108568732454
75,2020-04-06,3747,80.57211077525061,6243.872486471962,True,76,4273.862904335351,11247.108568732454
76,2020-04-07,3747,80.57211077525061,6243.872486471962,True,77,4684.097847606272,11247.108568732454
77,2020-04-08,4450,80.57211077525061,6243.872486471962,True,78,5109.216496652168,11247.108568732454
78,2020-04-09,4965,80.57211077525061,6243.872486471962,True,79,5545.499895287671,11247.108568732454
79,2020-04-10,7161,80.57211077525061,6243.872486471962,True,80,5988.800160491861,11247.108568732454
80,2020-04-11,7257,80.57211077525061,6243.872486471962,True,81,6434.691246940114,11247.108568732454
81,2020-04-12,7466,80.57211077525061,6243.872486471962,True,82,6878.642729146517,11247.108568732454
82,2020-04-13,7529,80.57211077525061,6243.872486471962,True,83,7316.20241024365,11247.108568732454
83,2020-04-14,7603,80.57211077525061,6243.872486471962,True,84,7743.172305972887,11247.108568732454
84,2020-04-15,7858,80.57211077525061,6243.872486471962,True,85,8155.763500187211,11247.108568732454
85,2020-04-16,8225,80.57211077525061,6243.872486471962,True,86,8550.718320919503,11247.108568732454
