,Report_Date,Malta_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.32208982245365,128.70671067866743,True,1,0.0030702220896845524,249.63165947230718
1,2020-01-23,0,65.32208982245365,128.70671067866743,True,2,0.0036619514209604957,249.63165947230718
2,2020-01-24,0,65.32208982245365,128.70671067866743,True,3,0.0043677238572783945,249.63165947230718
3,2020-01-25,0,65.32208982245365,128.70671067866743,True,4,0.0052095179371534584,249.63165947230718
4,2020-01-26,0,65.32208982245365,128.70671067866743,True,5,0.006213547586604647,249.63165947230718
5,2020-01-27,0,65.32208982245365,128.70671067866743,True,6,0.0074110781560037175,249.63165947230718
6,2020-01-28,0,65.32208982245365,128.70671067866743,True,7,0.008839399621934557,249.63165947230718
7,2020-01-29,0,65.32208982245365,128.70671067866743,True,8,0.010542987197247408,249.63165947230718
8,2020-01-30,0,65.32208982245365,128.70671067866743,True,9,0.012574885401146159,249.63165947230718
9,2020-01-31,0,65.32208982245365,128.70671067866743,True,10,0.014998358560774404,249.63165947230718
10,2020-02-01,0,65.32208982245365,128.70671067866743,True,11,0.01788885895687903,249.63165947230718
11,2020-02-02,0,65.32208982245365,128.70671067866743,True,12,0.021336373638288664,249.63165947230718
12,2020-02-03,0,65.32208982245365,128.70671067866743,True,13,0.025448222608640957,249.63165947230718
13,2020-02-04,0,65.32208982245365,128.70671067866743,True,14,0.03035239498339258,249.63165947230718
14,2020-02-05,0,65.32208982245365,128.70671067866743,True,15,0.03620152623797186,249.63165947230718
15,2020-02-06,0,65.32208982245365,128.70671067866743,True,16,0.04317763930456229,249.63165947230718
16,2020-02-07,0,65.32208982245365,128.70671067866743,True,17,0.05149779559576565,249.63165947230718
17,2020-02-08,0,65.32208982245365,128.70671067866743,True,18,0.06142082970599886,249.63165947230718
18,2020-02-09,0,65.32208982245365,128.70671067866743,True,19,0.0732553743445295,249.63165947230718
19,2020-02-10,0,65.32208982245365,128.70671067866743,True,20,0.08736942089095555,249.63165947230718
20,2020-02-11,0,65.32208982245365,128.70671067866743,True,21,0.10420170687638042,249.63165947230718
21,2020-02-12,0,65.32208982245365,128.70671067866743,True,22,0.12427527587321438,249.63165947230718
22,2020-02-13,0,65.32208982245365,128.70671067866743,True,23,0.14821361907290062,249.63165947230718
23,2020-02-14,0,65.32208982245365,128.70671067866743,True,24,0.17675988275168106,249.63165947230718
24,2020-02-15,0,65.32208982245365,128.70671067866743,True,25,0.2107997135242809,249.63165947230718
25,2020-02-16,0,65.32208982245365,128.70671067866743,True,26,0.2513884155343375,249.63165947230718
26,2020-02-17,0,65.32208982245365,128.70671067866743,True,27,0.2997832123535987,249.63165947230718
27,2020-02-18,0,65.32208982245365,128.70671067866743,True,28,0.35748154313319247,249.63165947230718
28,2020-02-19,0,65.32208982245365,128.70671067866743,True,29,0.42626647901947784,249.63165947230718
29,2020-02-20,0,65.32208982245365,128.70671067866743,True,30,0.50826052307022,249.63165947230718
30,2020-02-21,0,65.32208982245365,128.70671067866743,True,31,0.6059892550374442,249.63165947230718
31,2020-02-22,0,65.32208982245365,128.70671067866743,True,32,0.7224565000658606,249.63165947230718
32,2020-02-23,0,65.32208982245365,128.70671067866743,True,33,0.8612329338445168,249.63165947230718
33,2020-02-24,0,65.32208982245365,128.70671067866743,True,34,1.026560278647511,249.63165947230718
34,2020-02-25,0,65.32208982245365,128.70671067866743,True,35,1.223473482183875,249.63165947230718
35,2020-02-26,0,65.32208982245365,128.70671067866743,True,36,1.4579434835373444,249.63165947230718
36,2020-02-27,0,65.32208982245365,128.70671067866743,True,37,1.7370433257674924,249.63165947230718
37,2020-02-28,0,65.32208982245365,128.70671067866743,True,38,2.0691404253114345,249.63165947230718
38,2020-02-29,0,65.32208982245365,128.70671067866743,True,39,2.4641176849878677,249.63165947230718
39,2020-03-01,0,65.32208982245365,128.70671067866743,True,40,2.933625742107592,249.63165947230718
40,2020-03-02,0,65.32208982245365,128.70671067866743,True,41,3.491367840143863,249.63165947230718
41,2020-03-03,0,65.32208982245365,128.70671067866743,True,42,4.153417418067193,249.63165947230718
42,2020-03-04,0,65.32208982245365,128.70671067866743,True,43,4.938566284420617,249.63165947230718
43,2020-03-05,0,65.32208982245365,128.70671067866743,True,44,5.8686978764273405,249.63165947230718
44,2020-03-06,0,65.32208982245365,128.70671067866743,True,45,6.969175223777226,249.63165947230718
45,2020-03-07,3,65.32208982245365,128.70671067866743,True,46,8.269226413581166,249.63165947230718
46,2020-03-08,3,65.32208982245365,128.70671067866743,True,47,9.802301141946844,249.63165947230718
47,2020-03-09,3,65.32208982245365,128.70671067866743,True,48,11.606359956599631,249.63165947230718
48,2020-03-10,5,65.32208982245365,128.70671067866743,True,49,13.72404286937176,249.63165947230718
49,2020-03-11,6,65.32208982245365,128.70671067866743,True,50,16.202646414037744,249.63165947230718
50,2020-03-12,6,65.32208982245365,128.70671067866743,True,51,19.09381899640038,249.63165947230718
51,2020-03-13,12,65.32208982245365,128.70671067866743,True,52,22.452865823049308,249.63165947230718
52,2020-03-14,18,65.32208982245365,128.70671067866743,True,53,26.337540854108706,249.63165947230718
53,2020-03-15,21,65.32208982245365,128.70671067866743,True,54,30.80620035243797,249.63165947230718
54,2020-03-16,30,65.32208982245365,128.70671067866743,True,55,35.915209228357845,249.63165947230718
55,2020-03-17,38,65.32208982245365,128.70671067866743,True,56,41.71553760965018,249.63165947230718
56,2020-03-18,38,65.32208982245365,128.70671067866743,True,57,48.248570530073174,249.63165947230718
