,Report_Date,Japan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,121.02523239297754,95425.92081723867,False,1,5.831246484438957,190851.84163447737
1,2020-01-23,2,121.02523239297754,95425.92081723867,False,2,6.358821536670082,190851.84163447737
2,2020-01-24,2,121.02523239297754,95425.92081723867,False,3,6.9341265765711215,190851.84163447737
3,2020-01-25,2,121.02523239297754,95425.92081723867,False,4,7.561479432792781,190851.84163447737
4,2020-01-26,4,121.02523239297754,95425.92081723867,False,5,8.245588478467502,190851.84163447737
5,2020-01-27,4,121.02523239297754,95425.92081723867,False,6,8.991587943942735,190851.84163447737
6,2020-01-28,7,121.02523239297754,95425.92081723867,False,7,9.80507642024537,190851.84163447737
7,2020-01-29,7,121.02523239297754,95425.92081723867,False,8,10.692158841160468,190851.84163447737
8,2020-01-30,11,121.02523239297754,95425.92081723867,False,9,11.659492257702128,190851.84163447737
9,2020-01-31,15,121.02523239297754,95425.92081723867,False,10,12.714335746963394,190851.84163447737
10,2020-02-01,20,121.02523239297754,95425.92081723867,False,11,13.864604828058917,190851.84163447737
11,2020-02-02,20,121.02523239297754,95425.92081723867,False,12,15.118930791340704,190851.84163447737
12,2020-02-03,20,121.02523239297754,95425.92081723867,False,13,16.48672538351338,190851.84163447737
13,2020-02-04,22,121.02523239297754,95425.92081723867,False,14,17.978251330961818,190851.84163447737
14,2020-02-05,22,121.02523239297754,95425.92081723867,False,15,19.604699226812567,190851.84163447737
15,2020-02-06,22,121.02523239297754,95425.92081723867,False,16,21.378271354287858,190851.84163447737
16,2020-02-07,25,121.02523239297754,95425.92081723867,False,17,23.3122730701073,190851.84163447737
17,2020-02-08,25,121.02523239297754,95425.92081723867,False,18,25.421212427406438,190851.84163447737
18,2020-02-09,26,121.02523239297754,95425.92081723867,False,19,27.72090877825985,190851.84163447737
19,2020-02-10,26,121.02523239297754,95425.92081723867,False,20,30.228611161838085,190851.84163447737
20,2020-02-11,26,121.02523239297754,95425.92081723867,False,21,32.96312735594253,190851.84163447737
21,2020-02-12,28,121.02523239297754,95425.92081723867,False,22,35.944964547637504,190851.84163447737
22,2020-02-13,28,121.02523239297754,95425.92081723867,False,23,39.196482663457125,190851.84163447737
23,2020-02-14,29,121.02523239297754,95425.92081723867,False,24,42.74206149176825,190851.84163447737
24,2020-02-15,43,121.02523239297754,95425.92081723867,False,25,46.60828282992426,190851.84163447737
25,2020-02-16,59,121.02523239297754,95425.92081723867,False,26,50.824128997495116,190851.84163447737
26,2020-02-17,66,121.02523239297754,95425.92081723867,False,27,55.42119917479642,190851.84163447737
27,2020-02-18,74,121.02523239297754,95425.92081723867,False,28,60.43394515390766,190851.84163447737
28,2020-02-19,84,121.02523239297754,95425.92081723867,False,29,65.8999282281476,190851.84163447737
29,2020-02-20,94,121.02523239297754,95425.92081723867,False,30,71.86009909640275,190851.84163447737
30,2020-02-21,105,121.02523239297754,95425.92081723867,False,31,78.35910282166353,190851.84163447737
31,2020-02-22,122,121.02523239297754,95425.92081723867,False,32,85.44561105954499,190851.84163447737
32,2020-02-23,147,121.02523239297754,95425.92081723867,False,33,93.17268396343124,190851.84163447737
33,2020-02-24,159,121.02523239297754,95425.92081723867,False,34,101.59816437920959,190851.84163447737
34,2020-02-25,170,121.02523239297754,95425.92081723867,False,35,110.78510716540944,190851.84163447737
35,2020-02-26,189,121.02523239297754,95425.92081723867,False,36,120.8022467150289,190851.84163447737
36,2020-02-27,214,121.02523239297754,95425.92081723867,False,37,131.72450601453815,190851.84163447737
37,2020-02-28,228,121.02523239297754,95425.92081723867,False,38,143.6335508546224,190851.84163447737
38,2020-02-29,241,121.02523239297754,95425.92081723867,False,39,156.61839310730076,190851.84163447737
39,2020-03-01,256,121.02523239297754,95425.92081723867,False,40,170.7760473062432,190851.84163447737
40,2020-03-02,274,121.02523239297754,95425.92081723867,False,41,186.21224511246166,190851.84163447737
41,2020-03-03,293,121.02523239297754,95425.92081723867,False,42,203.04221261707187,190851.84163447737
42,2020-03-04,331,121.02523239297754,95425.92081723867,False,43,221.39151582737915,190851.84163447737
43,2020-03-05,360,121.02523239297754,95425.92081723867,False,44,241.39698010284897,190851.84163447737
44,2020-03-06,420,121.02523239297754,95425.92081723867,False,45,263.207689754079,190851.84163447737
45,2020-03-07,461,121.02523239297754,95425.92081723867,False,46,286.98607449091037,190851.84163447737
46,2020-03-08,502,121.02523239297754,95425.92081723867,False,47,312.90908990512537,190851.84163447737
47,2020-03-09,511,121.02523239297754,95425.92081723867,False,48,341.16949969815465,190851.84163447737
48,2020-03-10,581,121.02523239297754,95425.92081723867,False,49,371.9772679136168,190851.84163447737
49,2020-03-11,639,121.02523239297754,95425.92081723867,False,50,405.56107000636473,190851.84163447737
50,2020-03-12,639,121.02523239297754,95425.92081723867,False,51,442.16993217110513,190851.84163447737
51,2020-03-13,701,121.02523239297754,95425.92081723867,False,52,482.0750089605807,190851.84163447737
52,2020-03-14,773,121.02523239297754,95425.92081723867,False,53,525.5715098403487,190851.84163447737
53,2020-03-15,839,121.02523239297754,95425.92081723867,False,54,572.9807859472668,190851.84163447737
54,2020-03-16,839,121.02523239297754,95425.92081723867,False,55,624.6525889328661,190851.84163447737
55,2020-03-17,878,121.02523239297754,95425.92081723867,False,56,680.9675143693379,190851.84163447737
56,2020-03-18,889,121.02523239297754,95425.92081723867,False,57,742.339642760508,190851.84163447737
57,2020-03-19,924,121.02523239297754,95425.92081723867,False,58,809.2193917151882,190851.84163447737
58,2020-03-20,963,121.02523239297754,95425.92081723867,False,59,882.0965932838178,190851.84163447737
59,2020-03-21,1007,121.02523239297754,95425.92081723867,False,60,961.5038108047473,190851.84163447737
60,2020-03-22,1101,121.02523239297754,95425.92081723867,False,61,1048.019909821773,190851.84163447737
61,2020-03-23,1128,121.02523239297754,95425.92081723867,False,62,1142.2738976809003,190851.84163447737
62,2020-03-24,1193,121.02523239297754,95425.92081723867,False,63,1244.9490462455676,190851.84163447737
63,2020-03-25,1307,121.02523239297754,95425.92081723867,False,64,1356.7873117308527,190851.84163447737
64,2020-03-26,1387,121.02523239297754,95425.92081723867,False,65,1478.5940648835697,190851.84163447737
65,2020-03-27,1468,121.02523239297754,95425.92081723867,False,66,1611.2431435502779,190851.84163447737
66,2020-03-28,1693,121.02523239297754,95425.92081723867,False,67,1755.6822379900314,190851.84163447737
67,2020-03-29,1866,121.02523239297754,95425.92081723867,False,68,1912.9386169994557,190851.84163447737
68,2020-03-30,1866,121.02523239297754,95425.92081723867,False,69,2084.125199904747,190851.84163447737
69,2020-03-31,1953,121.02523239297754,95425.92081723867,False,70,2270.4469756012586,190851.84163447737
70,2020-04-01,2178,121.02523239297754,95425.92081723867,False,71,2473.207764929941,190851.84163447737
71,2020-04-02,2495,121.02523239297754,95425.92081723867,False,72,2693.8173165943012,190851.84163447737
72,2020-04-03,2617,121.02523239297754,95425.92081723867,False,73,2933.7987193440085,190851.84163447737
73,2020-04-04,3139,121.02523239297754,95425.92081723867,False,74,3194.7961040623604,190851.84163447737
74,2020-04-05,3139,121.02523239297754,95425.92081723867,False,75,3478.5825984545722,190851.84163447737
75,2020-04-06,3654,121.02523239297754,95425.92081723867,False,76,3787.0684839835076,190851.84163447737
76,2020-04-07,3906,121.02523239297754,95425.92081723867,False,77,4122.3094892647605,190851.84163447737
77,2020-04-08,4257,121.02523239297754,95425.92081723867,False,78,4486.5151360300615,190851.84163447737
78,2020-04-09,4667,121.02523239297754,95425.92081723867,False,79,4882.057032712314,190851.84163447737
79,2020-04-10,5530,121.02523239297754,95425.92081723867,False,80,5311.476986423274,190851.84163447737
80,2020-04-11,6005,121.02523239297754,95425.92081723867,False,81,5777.49477633996,190851.84163447737
81,2020-04-12,6748,121.02523239297754,95425.92081723867,False,82,6283.015400092387,190851.84163447737
82,2020-04-13,7370,121.02523239297754,95425.92081723867,False,83,6831.135569534598,190851.84163447737
83,2020-04-14,7645,121.02523239297754,95425.92081723867,False,84,7425.149193279027,190851.84163447737
84,2020-04-15,8100,121.02523239297754,95425.92081723867,False,85,8068.551540734734,190851.84163447737
85,2020-04-16,8626,121.02523239297754,95425.92081723867,False,86,8765.041736477995,190851.84163447737
86,2020-04-17,9787,121.02523239297754,95425.92081723867,False,87,9518.523185237364,190851.84163447737
87,2020-04-18,10296,121.02523239297754,95425.92081723867,False,88,10333.101477579536,190851.84163447737
88,2020-04-19,10797,121.02523239297754,95425.92081723867,False,89,11213.079275944825,190851.84163447737
