,Report_Date,Trinidad and Tobago_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.42680645842654,61.18912916824659,True,1,0.001459218627971048,120.77842562979357
1,2020-01-23,0,65.42680645842654,61.18912916824659,True,2,0.0017399655283158691,120.77842562979357
2,2020-01-24,0,65.42680645842654,61.18912916824659,True,3,0.0020747259152490076,120.77842562979357
3,2020-01-25,0,65.42680645842654,61.18912916824659,True,4,0.0024738911707879257,120.77842562979357
4,2020-01-26,0,65.42680645842654,61.18912916824659,True,5,0.0029498516595540306,120.77842562979357
5,2020-01-27,0,65.42680645842654,61.18912916824659,True,6,0.0035173812028810873,120.77842562979357
6,2020-01-28,0,65.42680645842654,61.18912916824659,True,7,0.004194095471723455,120.77842562979357
7,2020-01-29,0,65.42680645842654,61.18912916824659,True,8,0.00500099849772776,120.77842562979357
8,2020-01-30,0,65.42680645842654,61.18912916824659,True,9,0.0059631342242860005,120.77842562979357
9,2020-01-31,0,65.42680645842654,61.18912916824659,True,10,0.007110363261642545,120.77842562979357
10,2020-02-01,0,65.42680645842654,61.18912916824659,True,11,0.008478288870507073,120.77842562979357
11,2020-02-02,0,65.42680645842654,61.18912916824659,True,12,0.010109360793663633,120.77842562979357
12,2020-02-03,0,65.42680645842654,61.18912916824659,True,13,0.012054191022709583,120.77842562979357
13,2020-02-04,0,65.42680645842654,61.18912916824659,True,14,0.014373122090363717,120.77842562979357
14,2020-02-05,0,65.42680645842654,61.18912916824659,True,15,0.01713809621014612,120.77842562979357
15,2020-02-06,0,65.42680645842654,61.18912916824659,True,16,0.02043488277117941,120.77842562979357
16,2020-02-07,0,65.42680645842654,61.18912916824659,True,17,0.024365732602403625,120.77842562979357
17,2020-02-08,0,65.42680645842654,61.18912916824659,True,18,0.029052540359012082,120.77842562979357
18,2020-02-09,0,65.42680645842654,61.18912916824659,True,19,0.034640611717436987,120.77842562979357
19,2020-02-10,0,65.42680645842654,61.18912916824659,True,20,0.04130315021492271,120.77842562979357
20,2020-02-11,0,65.42680645842654,61.18912916824659,True,21,0.049246600021252224,120.77842562979357
21,2020-02-12,0,65.42680645842654,61.18912916824659,True,22,0.0587170062391087,120.77842562979357
22,2020-02-13,0,65.42680645842654,61.18912916824659,True,23,0.07000758412506339,120.77842562979357
23,2020-02-14,0,65.42680645842654,61.18912916824659,True,24,0.0834677236085049,120.77842562979357
24,2020-02-15,0,65.42680645842654,61.18912916824659,True,25,0.09951369643302234,120.77842562979357
25,2020-02-16,0,65.42680645842654,61.18912916824659,True,26,0.1186413809806355,120.77842562979357
26,2020-02-17,0,65.42680645842654,61.18912916824659,True,27,0.14144137521755915,120.77842562979357
27,2020-02-18,0,65.42680645842654,61.18912916824659,True,28,0.16861693205299386,120.77842562979357
28,2020-02-19,0,65.42680645842654,61.18912916824659,True,29,0.20100522446103666,120.77842562979357
29,2020-02-20,0,65.42680645842654,61.18912916824659,True,30,0.2396025304869732,120.77842562979357
30,2020-02-21,0,65.42680645842654,61.18912916824659,True,31,0.2855940208375296,120.77842562979357
31,2020-02-22,0,65.42680645842654,61.18912916824659,True,32,0.34038893354446415,120.77842562979357
32,2020-02-23,0,65.42680645842654,61.18912916824659,True,33,0.40566202950167835,120.77842562979357
33,2020-02-24,0,65.42680645842654,61.18912916824659,True,34,0.48340233614374617,120.77842562979357
34,2020-02-25,0,65.42680645842654,61.18912916824659,True,35,0.5759702983056949,120.77842562979357
35,2020-02-26,0,65.42680645842654,61.18912916824659,True,36,0.6861645559089351,120.77842562979357
36,2020-02-27,0,65.42680645842654,61.18912916824659,True,37,0.8172996429279317,120.77842562979357
37,2020-02-28,0,65.42680645842654,61.18912916824659,True,38,0.9732959292653849,120.77842562979357
38,2020-02-29,0,65.42680645842654,61.18912916824659,True,39,1.1587830749671026,120.77842562979357
39,2020-03-01,0,65.42680645842654,61.18912916824659,True,40,1.3792180896309303,120.77842562979357
40,2020-03-02,0,65.42680645842654,61.18912916824659,True,41,1.6410187265220695,120.77842562979357
41,2020-03-03,0,65.42680645842654,61.18912916824659,True,42,1.9517123063907054,120.77842562979357
42,2020-03-04,0,65.42680645842654,61.18912916824659,True,43,2.3200990491381326,120.77842562979357
43,2020-03-05,0,65.42680645842654,61.18912916824659,True,44,2.7564274506095887,120.77842562979357
44,2020-03-06,0,65.42680645842654,61.18912916824659,True,45,3.272577003794354,120.77842562979357
45,2020-03-07,0,65.42680645842654,61.18912916824659,True,46,3.8822404293132053,120.77842562979357
46,2020-03-08,0,65.42680645842654,61.18912916824659,True,47,4.601093340477608,120.77842562979357
47,2020-03-09,0,65.42680645842654,61.18912916824659,True,48,5.446933740759898,120.77842562979357
48,2020-03-10,0,65.42680645842654,61.18912916824659,True,49,6.439766844538288,120.77842562979357
49,2020-03-11,0,65.42680645842654,61.18912916824659,True,50,7.60180253049803,120.77842562979357
50,2020-03-12,0,65.42680645842654,61.18912916824659,True,51,8.957323739482286,120.77842562979357
51,2020-03-13,0,65.42680645842654,61.18912916824659,True,52,10.53237533553337,120.77842562979357
52,2020-03-14,2,65.42680645842654,61.18912916824659,True,53,12.354216183938966,120.77842562979357
53,2020-03-15,2,65.42680645842654,61.18912916824659,True,54,14.450475301483914,120.77842562979357
54,2020-03-16,4,65.42680645842654,61.18912916824659,True,55,16.847959813846376,120.77842562979357
55,2020-03-17,5,65.42680645842654,61.18912916824659,True,56,19.571082807577962,120.77842562979357
56,2020-03-18,7,65.42680645842654,61.18912916824659,True,57,22.639917571261996,120.77842562979357
