,Report_Date,Cote d'Ivoire_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,100.94790988236547,1338.275747265253,True,1,1.0325690191487669,2477.3372577610244
1,2020-01-23,0,100.94790988236547,1338.275747265253,True,2,1.1170125762601268,2477.3372577610244
2,2020-01-24,0,100.94790988236547,1338.275747265253,True,3,1.2083588136989776,2477.3372577610244
3,2020-01-25,0,100.94790988236547,1338.275747265253,True,4,1.3071714471928475,2477.3372577610244
4,2020-01-26,0,100.94790988236547,1338.275747265253,True,5,1.4140601386185523,2477.3372577610244
5,2020-01-27,0,100.94790988236547,1338.275747265253,True,6,1.5296842254980745,2477.3372577610244
6,2020-01-28,0,100.94790988236547,1338.275747265253,True,7,1.6547567506004073,2477.3372577610244
7,2020-01-29,0,100.94790988236547,1338.275747265253,True,8,1.7900488153509089,2477.3372577610244
8,2020-01-30,0,100.94790988236547,1338.275747265253,True,9,1.9363942825447833,2477.3372577610244
9,2020-01-31,0,100.94790988236547,1338.275747265253,True,10,2.094694855778959,2477.3372577610244
10,2020-02-01,0,100.94790988236547,1338.275747265253,True,11,2.2659255650628105,2477.3372577610244
11,2020-02-02,0,100.94790988236547,1338.275747265253,True,12,2.45114069024868,2477.3372577610244
12,2020-02-03,0,100.94790988236547,1338.275747265253,True,13,2.651480156243417,2477.3372577610244
13,2020-02-04,0,100.94790988236547,1338.275747265253,True,14,2.8681764364271927,2477.3372577610244
14,2020-02-05,0,100.94790988236547,1338.275747265253,True,15,3.102562003319968,2477.3372577610244
15,2020-02-06,0,100.94790988236547,1338.275747265253,True,16,3.3560773683026963,2477.3372577610244
16,2020-02-07,0,100.94790988236547,1338.275747265253,True,17,3.630279755121899,2477.3372577610244
17,2020-02-08,0,100.94790988236547,1338.275747265253,True,18,3.926852454983536,2477.3372577610244
18,2020-02-09,0,100.94790988236547,1338.275747265253,True,19,4.247614914274059,2477.3372577610244
19,2020-02-10,0,100.94790988236547,1338.275747265253,True,20,4.5945336093299005,2477.3372577610244
