,Report_Date,Colombia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,132.92695293122785,28859.54958418778,False,1,15.541447230824886,57719.09916837553
1,2020-01-23,0,0,132.92695293122785,28859.54958418778,False,2,16.540254232468836,57719.09916837553
2,2020-01-24,0,0,132.92695293122785,28859.54958418778,False,3,17.60323229076927,57719.09916837553
3,2020-01-25,0,0,132.92695293122785,28859.54958418778,False,4,18.73450165103605,57719.09916837553
4,2020-01-26,0,0,132.92695293122785,28859.54958418778,False,5,19.938446763486567,57719.09916837553
5,2020-01-27,0,0,132.92695293122785,28859.54958418778,False,6,21.219733179295453,57719.09916837553
6,2020-01-28,0,0,132.92695293122785,28859.54958418778,False,7,22.583325521088017,57719.09916837553
7,2020-01-29,0,0,132.92695293122785,28859.54958418778,False,8,24.034506595396422,57719.09916837553
8,2020-01-30,0,0,132.92695293122785,28859.54958418778,False,9,25.57889771873265,57719.09916837553
9,2020-01-31,0,0,132.92695293122785,28859.54958418778,False,10,27.22248033330669,57719.09916837553
10,2020-02-01,0,0,132.92695293122785,28859.54958418778,False,11,28.971618993043073,57719.09916837553
11,2020-02-02,0,0,132.92695293122785,28859.54958418778,False,12,30.833085805436102,57719.09916837553
12,2020-02-03,0,0,132.92695293122785,28859.54958418778,False,13,32.81408641994697,57719.09916837553
13,2020-02-04,0,0,132.92695293122785,28859.54958418778,False,14,34.92228765909538,57719.09916837553
14,2020-02-05,0,0,132.92695293122785,28859.54958418778,False,15,37.165846894149446,57719.09916837553
15,2020-02-06,0,0,132.92695293122785,28859.54958418778,False,16,39.55344327338,57719.09916837553
16,2020-02-07,0,0,132.92695293122785,28859.54958418778,False,17,42.0943109172353,57719.09916837553
17,2020-02-08,0,0,132.92695293122785,28859.54958418778,False,18,44.79827420151903,57719.09916837553
18,2020-02-09,0,0,132.92695293122785,28859.54958418778,False,19,47.67578525673261,57719.09916837553
19,2020-02-10,0,0,132.92695293122785,28859.54958418778,False,20,50.737963819183214,57719.09916837553
20,2020-02-11,0,0,132.92695293122785,28859.54958418778,False,21,53.996639577273235,57719.09916837553
21,2020-02-12,0,0,132.92695293122785,28859.54958418778,False,22,57.464397164585115,57719.09916837553
22,2020-02-13,0,0,132.92695293122785,28859.54958418778,False,23,61.15462395996731,57719.09916837553
23,2020-02-14,0,0,132.92695293122785,28859.54958418778,False,24,65.08156086382073,57719.09916837553
24,2020-02-15,0,0,132.92695293122785,28859.54958418778,False,25,69.260356229186,57719.09916837553
25,2020-02-16,0,0,132.92695293122785,28859.54958418778,False,26,73.70712313604506,57719.09916837553
26,2020-02-17,0,0,132.92695293122785,28859.54958418778,False,27,78.43900020747749,57719.09916837553
27,2020-02-18,0,0,132.92695293122785,28859.54958418778,False,28,83.47421617695124,57719.09916837553
28,2020-02-19,0,0,132.92695293122785,28859.54958418778,False,29,88.8321584270734,57719.09916837553
29,2020-02-20,0,0,132.92695293122785,28859.54958418778,False,30,94.53344573157152,57719.09916837553
30,2020-02-21,0,0,132.92695293122785,28859.54958418778,False,31,100.60000544410427,57719.09916837553
31,2020-02-22,0,0,132.92695293122785,28859.54958418778,False,32,107.05515538969088,57719.09916837553
32,2020-02-23,0,0,132.92695293122785,28859.54958418778,False,33,113.9236907270776,57719.09916837553
33,2020-02-24,0,0,132.92695293122785,28859.54958418778,False,34,121.23197606318782,57719.09916837553
34,2020-02-25,0,0,132.92695293122785,28859.54958418778,False,35,129.00804311388762,57719.09916837553
35,2020-02-26,0,0,132.92695293122785,28859.54958418778,False,36,137.28169421858667,57719.09916837553
36,2020-02-27,0,0,132.92695293122785,28859.54958418778,False,37,146.08461202961357,57719.09916837553
37,2020-02-28,0,0,132.92695293122785,28859.54958418778,False,38,155.45047571078064,57719.09916837553
38,2020-02-29,0,0,132.92695293122785,28859.54958418778,False,39,165.41508399297936,57719.09916837553
39,2020-03-01,0,0,132.92695293122785,28859.54958418778,False,40,176.0164854479161,57719.09916837553
40,2020-03-02,0,0,132.92695293122785,28859.54958418778,False,41,187.29511635406695,57719.09916837553
41,2020-03-03,0,0,132.92695293122785,28859.54958418778,False,42,199.29394654143925,57719.09916837553
42,2020-03-04,0,0,132.92695293122785,28859.54958418778,False,43,212.05863361359388,57719.09916837553
43,2020-03-05,0,0,132.92695293122785,28859.54958418778,False,44,225.63768595637816,57719.09916837553
44,2020-03-06,1,1,132.92695293122785,28859.54958418778,False,45,240.08263495270575,57719.09916837553
