,Report_Date,UAE_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,113.20861740415029,21246.78431497957,True,1,12.321498474616968,36464.05925309348
1,2020-01-23,0,0,113.20861740415029,21246.78431497957,True,2,13.248919034011521,36464.05925309348
2,2020-01-24,0,0,113.20861740415029,21246.78431497957,True,3,14.24612172725307,36464.05925309348
3,2020-01-25,0,0,113.20861740415029,21246.78431497957,True,4,15.318353532274763,36464.05925309348
4,2020-01-26,0,0,113.20861740415029,21246.78431497957,True,5,16.471255380669405,36464.05925309348
5,2020-01-27,0,0,113.20861740415029,21246.78431497957,True,6,17.710891647322313,36464.05925309348
6,2020-01-28,0,0,113.20861740415029,21246.78431497957,True,7,19.043781833567802,36464.05925309348
7,2020-01-29,4,4,113.20861740415029,21246.78431497957,True,8,20.476934604847973,36464.05925309348
8,2020-01-30,4,4,113.20861740415029,21246.78431497957,True,9,22.017884355323428,36464.05925309348
9,2020-01-31,4,4,113.20861740415029,21246.78431497957,True,10,23.67473048411957,36464.05925309348
10,2020-02-01,4,4,113.20861740415029,21246.78431497957,True,11,25.4561795809308,36464.05925309348
11,2020-02-02,5,5,113.20861740415029,21246.78431497957,True,12,27.371590732591518,36464.05925309348
12,2020-02-03,5,5,113.20861740415029,21246.78431497957,True,13,29.431024176999575,36464.05925309348
13,2020-02-04,5,5,113.20861740415029,21246.78431497957,True,14,31.645293546488777,36464.05925309348
14,2020-02-05,5,5,113.20861740415029,21246.78431497957,True,15,34.026021959434544,36464.05925309348
15,2020-02-06,5,5,113.20861740415029,21246.78431497957,True,16,36.58570223658273,36464.05925309348
16,2020-02-07,5,5,113.20861740415029,21246.78431497957,True,17,39.337761537356656,36464.05925309348
17,2020-02-08,7,7,113.20861740415029,21246.78431497957,True,18,42.2966307312581,36464.05925309348
18,2020-02-09,7,7,113.20861740415029,21246.78431497957,True,19,45.47781884047,36464.05925309348
19,2020-02-10,8,8,113.20861740415029,21246.78431497957,True,20,48.89799291192026,36464.05925309348
20,2020-02-11,8,8,113.20861740415029,21246.78431497957,True,21,52.57506370040037,36464.05925309348
21,2020-02-12,8,7,113.20861740415029,21246.78431497957,True,22,56.528277568866315,36464.05925309348
22,2020-02-13,8,7,113.20861740415029,21246.78431497957,True,23,60.77831503778612,36464.05925309348
23,2020-02-14,8,7,113.20861740415029,21246.78431497957,True,24,65.34739644233277,36464.05925309348
24,2020-02-15,8,5,113.20861740415029,21246.78431497957,True,25,70.2593951843308,36464.05925309348
25,2020-02-16,9,5,113.20861740415029,21246.78431497957,True,26,75.53995909511019,36464.05925309348
26,2020-02-17,9,5,113.20861740415029,21246.78431497957,True,27,81.21664045573878,36464.05925309348
27,2020-02-18,9,5,113.20861740415029,21246.78431497957,True,28,87.31903525240826,36464.05925309348
28,2020-02-19,9,5,113.20861740415029,21246.78431497957,True,29,93.87893227691738,36464.05925309348
29,2020-02-20,9,5,113.20861740415029,21246.78431497957,True,30,100.93047271507294,36464.05925309348
30,2020-02-21,9,5,113.20861740415029,21246.78431497957,True,31,108.51032089921422,36464.05925309348
31,2020-02-22,13,9,113.20861740415029,21246.78431497957,True,32,116.65784693470782,36464.05925309348
32,2020-02-23,13,9,113.20861740415029,21246.78431497957,True,33,125.41532194384321,36464.05925309348
33,2020-02-24,13,9,113.20861740415029,21246.78431497957,True,34,134.82812670370453,36464.05925309348
34,2020-02-25,13,9,113.20861740415029,21246.78431497957,True,35,144.94497448683396,36464.05925309348
35,2020-02-26,13,9,113.20861740415029,21246.78431497957,True,36,155.81814894427868,36464.05925309348
36,2020-02-27,13,9,113.20861740415029,21246.78431497957,True,37,167.50375789925755,36464.05925309348
37,2020-02-28,19,14,113.20861740415029,21246.78431497957,True,38,180.06200394540016,36464.05925309348
38,2020-02-29,21,16,113.20861740415029,21246.78431497957,True,39,193.5574727653592,36464.05925309348
39,2020-03-01,21,16,113.20861740415029,21246.78431497957,True,40,208.05944010247484,36464.05925309348
40,2020-03-02,21,16,113.20861740415029,21246.78431497957,True,41,223.64219832877868,36464.05925309348
41,2020-03-03,27,22,113.20861740415029,21246.78431497957,True,42,240.38540355545987,36464.05925309348
42,2020-03-04,27,22,113.20861740415029,21246.78431497957,True,43,258.3744442252247,36464.05925309348
43,2020-03-05,29,24,113.20861740415029,21246.78431497957,True,44,277.70083210773635,36464.05925309348
44,2020-03-06,29,24,113.20861740415029,21246.78431497957,True,45,298.4626165871937,36464.05925309348
45,2020-03-07,45,38,113.20861740415029,21246.78431497957,True,46,320.7648230824152,36464.05925309348
46,2020-03-08,45,38,113.20861740415029,21246.78431497957,True,47,344.71991637148386,36464.05925309348
47,2020-03-09,45,38,113.20861740415029,21246.78431497957,True,48,370.44828950158364,36464.05925309348
48,2020-03-10,74,62,113.20861740415029,21246.78431497957,True,49,398.0787788461869,36464.05925309348
49,2020-03-11,74,57,113.20861740415029,21246.78431497957,True,50,427.74920572175597,36464.05925309348
50,2020-03-12,85,68,113.20861740415029,21246.78431497957,True,51,459.6069447896036,36464.05925309348
51,2020-03-13,85,68,113.20861740415029,21246.78431497957,True,52,493.8095192399027,36464.05925309348
52,2020-03-14,85,68,113.20861740415029,21246.78431497957,True,53,530.5252224778242,36464.05925309348
53,2020-03-15,98,75,113.20861740415029,21246.78431497957,True,54,569.9337656994986,36464.05925309348
54,2020-03-16,98,75,113.20861740415029,21246.78431497957,True,55,612.2269503503974,36464.05925309348
55,2020-03-17,98,75,113.20861740415029,21246.78431497957,True,56,657.6093639925269,36464.05925309348
56,2020-03-18,113,87,113.20861740415029,21246.78431497957,True,57,706.2990975606082,36464.05925309348
57,2020-03-19,140,109,113.20861740415029,21246.78431497957,True,58,758.5284813515999,36464.05925309348
58,2020-03-20,140,107,113.20861740415029,21246.78431497957,True,59,814.5448363563937,36464.05925309348
59,2020-03-21,153,113,113.20861740415029,21246.78431497957,True,60,874.6112366966678,36464.05925309348
60,2020-03-22,153,113,113.20861740415029,21246.78431497957,True,61,939.0072779628942,36464.05925309348
61,2020-03-23,198,158,113.20861740415029,21246.78431497957,True,62,1008.0298451504297,36464.05925309348
62,2020-03-24,248,201,113.20861740415029,21246.78431497957,True,63,1081.9938726488308,36464.05925309348
63,2020-03-25,333,279,113.20861740415029,21246.78431497957,True,64,1161.2330873450715,36464.05925309348
64,2020-03-26,333,279,113.20861740415029,21246.78431497957,True,65,1246.1007243453848,36464.05925309348
65,2020-03-27,405,351,113.20861740415029,21246.78431497957,True,66,1336.970203096122,36464.05925309348
66,2020-03-28,468,414,113.20861740415029,21246.78431497957,True,67,1434.2357497869816,36464.05925309348
67,2020-03-29,570,509,113.20861740415029,21246.78431497957,True,68,1538.3129498496241,36464.05925309348
68,2020-03-30,611,545,113.20861740415029,21246.78431497957,True,69,1649.639212125141,36464.05925309348
69,2020-03-31,664,597,113.20861740415029,21246.78431497957,True,70,1768.6741238754605,36464.05925309348
70,2020-04-01,814,745,113.20861740415029,21246.78431497957,True,71,1895.8996732745304,36464.05925309348
71,2020-04-02,1024,920,113.20861740415029,21246.78431497957,True,72,2031.8203133626846,36464.05925309348
72,2020-04-03,1264,1147,113.20861740415029,21246.78431497957,True,73,2176.962838720975,36464.05925309348
73,2020-04-04,1505,1370,113.20861740415029,21246.78431497957,True,74,2331.8760433742896,36464.05925309348
74,2020-04-05,1799,1645,113.20861740415029,21246.78431497957,True,75,2497.1301257313926,36464.05925309348
75,2020-04-06,2076,1898,113.20861740415029,21246.78431497957,True,76,2673.3158038035413,36464.05925309348
76,2020-04-07,2359,2161,113.20861740415029,21246.78431497957,True,77,2861.043101618378,36464.05925309348
77,2020-04-08,2659,2408,113.20861740415029,21246.78431497957,True,78,3060.939765791911,36464.05925309348
78,2020-04-09,2990,2708,113.20861740415029,21246.78431497957,True,79,3273.64926979215,36464.05925309348
79,2020-04-10,3360,2926,113.20861740415029,21246.78431497957,True,80,3499.8283627010974,36464.05925309348
80,2020-04-11,3736,3128,113.20861740415029,21246.78431497957,True,81,3740.144119459624,36464.05925309348
81,2020-04-12,4123,3421,113.20861740415029,21246.78431497957,True,82,3995.270450886535,36464.05925309348
82,2020-04-13,4521,3644,113.20861740415029,21246.78431497957,True,83,4265.884034442205,36464.05925309348
83,2020-04-14,4933,3972,113.20861740415029,21246.78431497957,True,84,4552.659631014356,36464.05925309348
84,2020-04-15,5365,4298,113.20861740415029,21246.78431497957,True,85,4856.264759198787,36464.05925309348
85,2020-04-16,5825,4695,113.20861740415029,21246.78431497957,True,86,5177.353706883237,36464.05925309348
86,2020-04-17,6302,5077,113.20861740415029,21246.78431497957,True,87,5516.560870646565,36464.05925309348
87,2020-04-18,6302,5077,113.20861740415029,21246.78431497957,True,88,5874.493426744837,36464.05925309348
88,2020-04-19,6781,5454,113.20861740415029,21246.78431497957,True,89,6251.723353391935,36464.05925309348
89,2020-04-20,7265,5862,113.20861740415029,21246.78431497957,True,90,6648.778842686756,36464.05925309348
90,2020-04-21,7755,6266,113.20861740415029,21246.78431497957,True,91,7066.13516180534,36464.05925309348
