,Report_Date,Qatar_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,122.33369512885072,41190.75527752199,True,1,6.5408427137517,63589.18264553718
1,2020-01-23,0,0,122.33369512885072,41190.75527752199,True,2,7.070064165142286,63589.18264553718
2,2020-01-24,0,0,122.33369512885072,41190.75527752199,True,3,7.642101102806207,63589.18264553718
3,2020-01-25,0,0,122.33369512885072,41190.75527752199,True,4,8.260416749761335,63589.18264553718
4,2020-01-26,0,0,122.33369512885072,41190.75527752199,True,5,8.928754346691058,63589.18264553718
5,2020-01-27,0,0,122.33369512885072,41190.75527752199,True,6,9.651159773714589,63589.18264553718
6,2020-01-28,0,0,122.33369512885072,41190.75527752199,True,7,10.432005996508467,63589.18264553718
7,2020-01-29,0,0,122.33369512885072,41190.75527752199,True,8,11.276019483367767,63589.18264553718
8,2020-01-30,0,0,122.33369512885072,41190.75527752199,True,9,12.188308751483392,63589.18264553718
9,2020-01-31,0,0,122.33369512885072,41190.75527752199,True,10,13.174395213316165,63589.18264553718
10,2020-02-01,0,0,122.33369512885072,41190.75527752199,True,11,14.240246507538734,63589.18264553718
11,2020-02-02,0,0,122.33369512885072,41190.75527752199,True,12,15.392312513666354,63589.18264553718
12,2020-02-03,0,0,122.33369512885072,41190.75527752199,True,13,16.637564265286805,63589.18264553718
13,2020-02-04,0,0,122.33369512885072,41190.75527752199,True,14,17.983535993811962,63589.18264553718
14,2020-02-05,0,0,122.33369512885072,41190.75527752199,True,15,19.438370552999338,63589.18264553718
15,2020-02-06,0,0,122.33369512885072,41190.75527752199,True,16,21.010868494226326,63589.18264553718
16,2020-02-07,0,0,122.33369512885072,41190.75527752199,True,17,22.710541083744967,63589.18264553718
17,2020-02-08,0,0,122.33369512885072,41190.75527752199,True,18,24.54766757600823,63589.18264553718
18,2020-02-09,0,0,122.33369512885072,41190.75527752199,True,19,26.53335708175435,63589.18264553718
19,2020-02-10,0,0,122.33369512885072,41190.75527752199,True,20,28.679615395984232,63589.18264553718
20,2020-02-11,0,0,122.33369512885072,41190.75527752199,True,21,30.999417179394918,63589.18264553718
21,2020-02-12,0,0,122.33369512885072,41190.75527752199,True,22,33.506783917373234,63589.18264553718
22,2020-02-13,0,0,122.33369512885072,41190.75527752199,True,23,36.21686811344832,63589.18264553718
23,2020-02-14,0,0,122.33369512885072,41190.75527752199,True,24,39.146044209293905,63589.18264553718
24,2020-02-15,0,0,122.33369512885072,41190.75527752199,True,25,42.31200676111502,63589.18264553718
25,2020-02-16,0,0,122.33369512885072,41190.75527752199,True,26,45.73387644270393,63589.18264553718
26,2020-02-17,0,0,122.33369512885072,41190.75527752199,True,27,49.43231448876867,63589.18264553718
27,2020-02-18,0,0,122.33369512885072,41190.75527752199,True,28,53.429646238490136,63589.18264553718
28,2020-02-19,0,0,122.33369512885072,41190.75527752199,True,29,57.74999448881603,63589.18264553718
29,2020-02-20,0,0,122.33369512885072,41190.75527752199,True,30,62.41942341991977,63589.18264553718
30,2020-02-21,0,0,122.33369512885072,41190.75527752199,True,31,67.46609391170819,63589.18264553718
31,2020-02-22,0,0,122.33369512885072,41190.75527752199,True,32,72.920431130412,63589.18264553718
32,2020-02-23,0,0,122.33369512885072,41190.75527752199,True,33,78.8153053282948,63589.18264553718
33,2020-02-24,0,0,122.33369512885072,41190.75527752199,True,34,85.18622686751557,63589.18264553718
34,2020-02-25,0,0,122.33369512885072,41190.75527752199,True,35,92.07155655129866,63589.18264553718
35,2020-02-26,0,0,122.33369512885072,41190.75527752199,True,36,99.51273242191832,63589.18264553718
36,2020-02-27,0,0,122.33369512885072,41190.75527752199,True,37,107.55451426566539,63589.18264553718
37,2020-02-28,0,0,122.33369512885072,41190.75527752199,True,38,116.24524714997676,63589.18264553718
38,2020-02-29,1,1,122.33369512885072,41190.75527752199,True,39,125.6371454072694,63589.18264553718
39,2020-03-01,3,3,122.33369512885072,41190.75527752199,True,40,135.786598573672,63589.18264553718
40,2020-03-02,3,3,122.33369512885072,41190.75527752199,True,41,146.7545008886531,63589.18264553718
41,2020-03-03,7,7,122.33369512885072,41190.75527752199,True,42,158.60660606329014,63589.18264553718
42,2020-03-04,8,8,122.33369512885072,41190.75527752199,True,43,171.4139091302864,63589.18264553718
43,2020-03-05,8,8,122.33369512885072,41190.75527752199,True,44,185.2530572973678,63589.18264553718
44,2020-03-06,8,8,122.33369512885072,41190.75527752199,True,45,200.20679183677765,63589.18264553718
45,2020-03-07,8,8,122.33369512885072,41190.75527752199,True,46,216.3644231564532,63589.18264553718
46,2020-03-08,15,15,122.33369512885072,41190.75527752199,True,47,233.82234131210024,63589.18264553718
47,2020-03-09,18,18,122.33369512885072,41190.75527752199,True,48,252.68456433252987,63589.18264553718
48,2020-03-10,24,24,122.33369512885072,41190.75527752199,True,49,273.06332684172475,63589.18264553718
49,2020-03-11,262,262,122.33369512885072,41190.75527752199,True,50,295.07971156823083,63589.18264553718
50,2020-03-12,262,262,122.33369512885072,41190.75527752199,True,51,318.86432643330687,63589.18264553718
51,2020-03-13,320,320,122.33369512885072,41190.75527752199,True,52,344.5580300009841,63589.18264553718
52,2020-03-14,337,333,122.33369512885072,41190.75527752199,True,53,372.3127081524057,63589.18264553718
53,2020-03-15,401,397,122.33369512885072,41190.75527752199,True,54,402.29210490952136,63589.18264553718
54,2020-03-16,439,435,122.33369512885072,41190.75527752199,True,55,434.6727103745901,63589.18264553718
55,2020-03-17,439,435,122.33369512885072,41190.75527752199,True,56,469.64470876640604,63589.18264553718
56,2020-03-18,452,448,122.33369512885072,41190.75527752199,True,57,507.41298951501057,63589.18264553718
57,2020-03-19,460,456,122.33369512885072,41190.75527752199,True,58,548.1982243162195,63589.18264553718
