,Report_Date,Qatar_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
58,2020-03-20,470,460,122.33369512885072,41190.75527752199,True,59,592.2380129365002,63589.18264553718
59,2020-03-21,481,454,122.33369512885072,41190.75527752199,True,60,639.7881003871499,63589.18264553718
60,2020-03-22,494,461,122.33369512885072,41190.75527752199,True,61,691.1236678423107,63589.18264553718
61,2020-03-23,501,468,122.33369512885072,41190.75527752199,True,62,746.5406993442575,63589.18264553718
62,2020-03-24,526,485,122.33369512885072,41190.75527752199,True,63,806.3574259057569,63589.18264553718
63,2020-03-25,537,496,122.33369512885072,41190.75527752199,True,64,870.915848065206,63589.18264553718
64,2020-03-26,549,506,122.33369512885072,41190.75527752199,True,65,940.5833372552819,63589.18264553718
65,2020-03-27,562,519,122.33369512885072,41190.75527752199,True,66,1015.7543154871408,63589.18264553718
66,2020-03-28,590,544,122.33369512885072,41190.75527752199,True,67,1096.8520118042152,63589.18264553718
67,2020-03-29,634,585,122.33369512885072,41190.75527752199,True,68,1184.3302926940335,63589.18264553718
68,2020-03-30,693,641,122.33369512885072,41190.75527752199,True,69,1278.6755621319433,63589.18264553718
69,2020-03-31,781,717,122.33369512885072,41190.75527752199,True,70,1380.4087251332421,63589.18264553718
70,2020-04-01,835,762,122.33369512885072,41190.75527752199,True,71,1490.0872065732312,63589.18264553718
71,2020-04-02,949,874,122.33369512885072,41190.75527752199,True,72,1608.307014558993,63589.18264553718
72,2020-04-03,1075,979,122.33369512885072,41190.75527752199,True,73,1735.7048347613877,63589.18264553718
73,2020-04-04,1325,1213,122.33369512885072,41190.75527752199,True,74,1872.960138798666,63589.18264553718
74,2020-04-05,1604,1477,122.33369512885072,41190.75527752199,True,75,2020.7972859619451,63589.18264553718
75,2020-04-06,1832,1697,122.33369512885072,41190.75527752199,True,76,2179.987593246872,63589.18264553718
76,2020-04-07,2057,1901,122.33369512885072,41190.75527752199,True,77,2351.351343767395,63589.18264553718
77,2020-04-08,2210,2026,122.33369512885072,41190.75527752199,True,78,2535.759698144788,63589.18264553718
78,2020-04-09,2376,2164,122.33369512885072,41190.75527752199,True,79,2734.1364673651033,63589.18264553718
79,2020-04-10,2512,2279,122.33369512885072,41190.75527752199,True,80,2947.459698870741,63589.18264553718
80,2020-04-11,2728,2475,122.33369512885072,41190.75527752199,True,81,3176.763020304104,63589.18264553718
81,2020-04-12,2979,2697,122.33369512885072,41190.75527752199,True,82,3423.1366773840123,63589.18264553718
82,2020-04-13,3231,2890,122.33369512885072,41190.75527752199,True,83,3687.7281939290115,63589.18264553718
83,2020-04-14,3428,3048,122.33369512885072,41190.75527752199,True,84,3971.742573143799,63589.18264553718
84,2020-04-15,3711,3298,122.33369512885072,41190.75527752199,True,85,4276.441950100099,63589.18264553718
85,2020-04-16,4103,3681,122.33369512885072,41190.75527752199,True,86,4603.14459607116,63589.18264553718
86,2020-04-17,4663,4192,122.33369512885072,41190.75527752199,True,87,4953.223166284998,63589.18264553718
87,2020-04-18,5008,4490,122.33369512885072,41190.75527752199,True,88,5328.102074087407,63589.18264553718
88,2020-04-19,5448,4922,122.33369512885072,41190.75527752199,True,89,5729.2538668779425,63589.18264553718
89,2020-04-20,6015,5451,122.33369512885072,41190.75527752199,True,90,6158.194473021656,63589.18264553718
90,2020-04-21,6533,5910,122.33369512885072,41190.75527752199,True,91,6616.477184866778,63589.18264553718
91,2020-04-22,7141,6442,122.33369512885072,41190.75527752199,True,92,7105.685241735986,63589.18264553718
92,2020-04-23,7764,7004,122.33369512885072,41190.75527752199,True,93,7627.422879126588,63589.18264553718
93,2020-04-24,8525,7706,122.33369512885072,41190.75527752199,True,94,8183.30471726026,63589.18264553718
94,2020-04-25,9358,8419,122.33369512885072,41190.75527752199,True,95,8774.943374538581,63589.18264553718
95,2020-04-26,10287,9265,122.33369512885072,41190.75527752199,True,96,9403.935210391306,63589.18264553718
96,2020-04-27,11244,10168,122.33369512885072,41190.75527752199,True,97,10071.844128440323,63589.18264553718
97,2020-04-28,11921,10777,122.33369512885072,41190.75527752199,True,98,10780.183405753742,63589.18264553718
98,2020-04-29,12564,11311,122.33369512885072,41190.75527752199,True,99,11530.395557981496,63589.18264553718
99,2020-04-30,13409,12027,122.33369512885072,41190.75527752199,True,100,12323.83030383974,63589.18264553718
100,2020-05-01,14096,12648,122.33369512885072,41190.75527752199,True,101,13161.720755867462,63589.18264553718
101,2020-05-02,14872,13326,122.33369512885072,41190.75527752199,True,102,14045.158037246096,63589.18264553718
102,2020-05-03,15551,13875,122.33369512885072,41190.75527752199,True,103,14975.064605763137,63589.18264553718
103,2020-05-04,16191,14369,122.33369512885072,41190.75527752199,True,104,15952.16665399268,63589.18264553718
104,2020-05-05,17142,15206,122.33369512885072,41190.75527752199,True,105,16976.96604690652,63589.18264553718
105,2020-05-06,17972,15890,122.33369512885072,41190.75527752199,True,106,18049.712350981023,63589.18264553718
106,2020-05-07,18890,16592,122.33369512885072,41190.75527752199,True,107,19170.375598100694,63589.18264553718
107,2020-05-08,20201,17819,122.33369512885072,41190.75527752199,True,108,20338.620508042397,63589.18264553718
108,2020-05-09,21331,18869,122.33369512885072,41190.75527752199,True,109,21553.78295927305,63589.18264553718
109,2020-05-10,22520,19753,122.33369512885072,41190.75527752199,True,110,22814.849543048094,63589.18264553718
110,2020-05-11,23623,20769,122.33369512885072,41190.75527752199,True,111,24120.4410541997,63589.18264553718
111,2020-05-12,25149,22116,122.33369512885072,41190.75527752199,True,112,25468.80075785685,63589.18264553718
112,2020-05-13,26539,23382,122.33369512885072,41190.75527752199,True,113,26857.788219949944,63589.18264553718
113,2020-05-14,28272,24902,122.33369512885072,41190.75527752199,True,114,28284.879397598816,63589.18264553718
114,2020-05-15,29425,25865,122.33369512885072,41190.75527752199,True,115,29747.173552356515,63589.18264553718
115,2020-05-16,30972,27169,122.33369512885072,41190.75527752199,True,116,31241.40737633662,63589.18264553718
116,2020-05-17,32604,28219,122.33369512885072,41190.75527752199,True,117,32763.97651291443,63589.18264553718
117,2020-05-18,33969,29055,122.33369512885072,41190.75527752199,True,118,34310.964417325944,63589.18264553718
118,2020-05-19,35606,29957,122.33369512885072,41190.75527752199,True,119,35878.17824820438,63589.18264553718
119,2020-05-20,37097,30481,122.33369512885072,41190.75527752199,True,120,37461.19122128064,63589.18264553718
120,2020-05-21,38651,31346,122.33369512885072,41190.75527752199,True,121,39055.39060502945,63589.18264553718
121,2020-05-22,40481,32569,122.33369512885072,41190.75527752199,True,122,40656.0303093931,63589.18264553718
122,2020-05-23,42213,33679,122.33369512885072,41190.75527752199,True,123,42258.28682669462,63589.18264553718
123,2020-05-24,43714,34521,122.33369512885072,41190.75527752199,True,124,43857.317140538944,63589.18264553718
124,2020-05-25,45465,35076,122.33369512885072,41190.75527752199,True,125,45448.31713315983,63589.18264553718
125,2020-05-26,47207,35335,122.33369512885072,41190.75527752199,True,126,47026.57899991626,63589.18264553718
126,2020-05-27,48947,35634,122.33369512885072,41190.75527752199,True,127,48587.54622291889,63589.18264553718
127,2020-05-28,50914,35482,122.33369512885072,41190.75527752199,True,128,50126.86476120609,63589.18264553718
