,Report_Date,Holy See_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,74.34686418408221,5.964601206137137,True,1,0.01632303117047479,11.89026328378053
1,2020-01-23,0,0,74.34686418408221,5.964601206137137,True,2,0.017855893028053627,11.89026328378053
2,2020-01-24,0,0,74.34686418408221,5.964601206137137,True,3,0.0195324667315986,11.89026328378053
3,2020-01-25,0,0,74.34686418408221,5.964601206137137,True,4,0.021366179441333923,11.89026328378053
4,2020-01-26,0,0,74.34686418408221,5.964601206137137,True,5,0.02337170371620207,11.89026328378053
5,2020-01-27,0,0,74.34686418408221,5.964601206137137,True,6,0.025565071235382462,11.89026328378053
6,2020-01-28,0,0,74.34686418408221,5.964601206137137,True,7,0.027963796550979973,11.89026328378053
7,2020-01-29,0,0,74.34686418408221,5.964601206137137,True,8,0.03058701168655826,11.89026328378053
8,2020-01-30,0,0,74.34686418408221,5.964601206137137,True,9,0.03345561244808986,11.89026328378053
9,2020-01-31,0,0,74.34686418408221,5.964601206137137,True,10,0.03659241736599681,11.89026328378053
10,2020-02-01,0,0,74.34686418408221,5.964601206137137,True,11,0.04002234023841979,11.89026328378053
11,2020-02-02,0,0,74.34686418408221,5.964601206137137,True,12,0.04377257729560629,11.89026328378053
12,2020-02-03,0,0,74.34686418408221,5.964601206137137,True,13,0.04787281005199618,11.89026328378053
13,2020-02-04,0,0,74.34686418408221,5.964601206137137,True,14,0.05235542495452331,11.89026328378053
14,2020-02-05,0,0,74.34686418408221,5.964601206137137,True,15,0.0572557509707649,11.89026328378053
15,2020-02-06,0,0,74.34686418408221,5.964601206137137,True,16,0.06261231628631077,11.89026328378053
16,2020-02-07,0,0,74.34686418408221,5.964601206137137,True,17,0.068467125293996,11.89026328378053
17,2020-02-08,0,0,74.34686418408221,5.964601206137137,True,18,0.0748659570547045,11.89026328378053
18,2020-02-09,0,0,74.34686418408221,5.964601206137137,True,19,0.08185868638581659,11.89026328378053
19,2020-02-10,0,0,74.34686418408221,5.964601206137137,True,20,0.08949962868368384,11.89026328378053
20,2020-02-11,0,0,74.34686418408221,5.964601206137137,True,21,0.09784790950441598,11.89026328378053
21,2020-02-12,0,0,74.34686418408221,5.964601206137137,True,22,0.1069678598052589,11.89026328378053
22,2020-02-13,0,0,74.34686418408221,5.964601206137137,True,23,0.11692943757815277,11.89026328378053
23,2020-02-14,0,0,74.34686418408221,5.964601206137137,True,24,0.12780867637745474,11.89026328378053
24,2020-02-15,0,0,74.34686418408221,5.964601206137137,True,25,0.1396881609434673,11.89026328378053
25,2020-02-16,0,0,74.34686418408221,5.964601206137137,True,26,0.1526575297387619,11.89026328378053
26,2020-02-17,0,0,74.34686418408221,5.964601206137137,True,27,0.16681400372987717,11.89026328378053
27,2020-02-18,0,0,74.34686418408221,5.964601206137137,True,28,0.1822629401453894,11.89026328378053
28,2020-02-19,0,0,74.34686418408221,5.964601206137137,True,29,0.19911840920317742,11.89026328378053
29,2020-02-20,0,0,74.34686418408221,5.964601206137137,True,30,0.2175037909035411,11.89026328378053
30,2020-02-21,0,0,74.34686418408221,5.964601206137137,True,31,0.237552387907493,11.89026328378053
31,2020-02-22,0,0,74.34686418408221,5.964601206137137,True,32,0.2594080492363462,11.89026328378053
32,2020-02-23,0,0,74.34686418408221,5.964601206137137,True,33,0.28322579801403475,11.89026328378053
33,2020-02-24,0,0,74.34686418408221,5.964601206137137,True,34,0.3091724547016666,11.89026328378053
34,2020-02-25,0,0,74.34686418408221,5.964601206137137,True,35,0.33742724521989614,11.89026328378053
35,2020-02-26,0,0,74.34686418408221,5.964601206137137,True,36,0.3681823809967547,11.89026328378053
36,2020-02-27,0,0,74.34686418408221,5.964601206137137,True,37,0.40164359529936655,11.89026328378053
37,2020-02-28,0,0,74.34686418408221,5.964601206137137,True,38,0.4380306171979261,11.89026328378053
38,2020-02-29,0,0,74.34686418408221,5.964601206137137,True,39,0.47757756117112166,11.89026328378053
39,2020-03-01,0,0,74.34686418408221,5.964601206137137,True,40,0.5205332067111902,11.89026328378053
40,2020-03-02,0,0,74.34686418408221,5.964601206137137,True,41,0.5671611383624234,11.89026328378053
41,2020-03-03,0,0,74.34686418408221,5.964601206137137,True,42,0.6177397124949664,11.89026328378053
42,2020-03-04,0,0,74.34686418408221,5.964601206137137,True,43,0.6725618128764815,11.89026328378053
43,2020-03-05,0,0,74.34686418408221,5.964601206137137,True,44,0.73193435290041,11.89026328378053
44,2020-03-06,1,1,74.34686418408221,5.964601206137137,True,45,0.7961774783545572,11.89026328378053
45,2020-03-07,1,1,74.34686418408221,5.964601206137137,True,46,0.8656234211195952,11.89026328378053
46,2020-03-08,1,1,74.34686418408221,5.964601206137137,True,47,0.9406149514914589,11.89026328378053
47,2020-03-09,1,1,74.34686418408221,5.964601206137137,True,48,1.0215033753125407,11.89026328378053
48,2020-03-10,1,1,74.34686418408221,5.964601206137137,True,49,1.108646022233158,11.89026328378053
49,2020-03-11,1,1,74.34686418408221,5.964601206137137,True,50,1.2024031737326186,11.89026328378053
50,2020-03-12,1,1,74.34686418408221,5.964601206137137,True,51,1.3031343845874461,11.89026328378053
51,2020-03-13,1,1,74.34686418408221,5.964601206137137,True,52,1.4111941598924638,11.89026328378053
52,2020-03-14,1,1,74.34686418408221,5.964601206137137,True,53,1.5269269621222232,11.89026328378053
53,2020-03-15,1,1,74.34686418408221,5.964601206137137,True,54,1.6506615396127395,11.89026328378053
54,2020-03-16,1,1,74.34686418408221,5.964601206137137,True,55,1.782704589670159,11.89026328378053
55,2020-03-17,1,1,74.34686418408221,5.964601206137137,True,56,1.9233337964915889,11.89026328378053
56,2020-03-18,1,1,74.34686418408221,5.964601206137137,True,57,2.0727903161311874,11.89026328378053
57,2020-03-19,1,1,74.34686418408221,5.964601206137137,True,58,2.2312708173778875,11.89026328378053
58,2020-03-20,1,1,74.34686418408221,5.964601206137137,True,59,2.3989192276474665,11.89026328378053
59,2020-03-21,1,1,74.34686418408221,5.964601206137137,True,60,2.575818375270421,11.89026328378053
60,2020-03-22,1,1,74.34686418408221,5.964601206137137,True,61,2.761981761695125,11.89026328378053
61,2020-03-23,1,1,74.34686418408221,5.964601206137137,True,62,2.9573457363267983,11.89026328378053
62,2020-03-24,4,4,74.34686418408221,5.964601206137137,True,63,3.1617623796629606,11.89026328378053
63,2020-03-25,4,4,74.34686418408221,5.964601206137137,True,64,3.3749934233870253,11.89026328378053
64,2020-03-26,4,4,74.34686418408221,5.964601206137137,True,65,3.5967055453830095,11.89026328378053
65,2020-03-27,4,4,74.34686418408221,5.964601206137137,True,66,3.8264673697550626,11.89026328378053
66,2020-03-28,6,6,74.34686418408221,5.964601206137137,True,67,4.0637484741052985,11.89026328378053
