,Report_Date,Iran_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,82.96179358353636,67131.0473713845,True,1,563.794788860555,130933.88017208106
1,2020-01-23,0,0,82.96179358353636,67131.0473713845,True,2,602.5210424433067,130933.88017208106
2,2020-01-24,0,0,82.96179358353636,67131.0473713845,True,3,643.8945358408282,130933.88017208106
3,2020-01-25,0,0,82.96179358353636,67131.0473713845,True,4,688.0944095200014,130933.88017208106
4,2020-01-26,0,0,82.96179358353636,67131.0473713845,True,5,735.3116684214586,130933.88017208106
5,2020-01-27,0,0,82.96179358353636,67131.0473713845,True,6,785.7499310665235,130933.88017208106
6,2020-01-28,0,0,82.96179358353636,67131.0473713845,True,7,839.6262207048024,130933.88017208106
7,2020-01-29,0,0,82.96179358353636,67131.0473713845,True,8,897.1718000865594,130933.88017208106
8,2020-01-30,0,0,82.96179358353636,67131.0473713845,True,9,958.6330513784118,130933.88017208106
9,2020-01-31,0,0,82.96179358353636,67131.0473713845,True,10,1024.2724026485917,130933.88017208106
10,2020-02-01,0,0,82.96179358353636,67131.0473713845,True,11,1094.369302224598,130933.88017208106
11,2020-02-02,0,0,82.96179358353636,67131.0473713845,True,12,1169.2212420665444,130933.88017208106
12,2020-02-03,0,0,82.96179358353636,67131.0473713845,True,13,1249.144831098329,130933.88017208106
13,2020-02-04,0,0,82.96179358353636,67131.0473713845,True,14,1334.4769191896564,130933.88017208106
14,2020-02-05,0,0,82.96179358353636,67131.0473713845,True,15,1425.575772178046,130933.88017208106
15,2020-02-06,0,0,82.96179358353636,67131.0473713845,True,16,1522.8222979535542,130933.88017208106
16,2020-02-07,0,0,82.96179358353636,67131.0473713845,True,17,1626.6213231915867,130933.88017208106
17,2020-02-08,0,0,82.96179358353636,67131.0473713845,True,18,1737.4029198015928,130933.88017208106
18,2020-02-09,0,0,82.96179358353636,67131.0473713845,True,19,1855.6237795514712,130933.88017208106
19,2020-02-10,0,0,82.96179358353636,67131.0473713845,True,20,1981.7686346182106,130933.88017208106
20,2020-02-11,0,0,82.96179358353636,67131.0473713845,True,21,2116.3517209927572,130933.88017208106
