,Report_Date,Australia_victoria_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
56,2020-03-18,121,113,68.50306348798495,735.2783980163467,True,57,185.8647058056858,1470.5443527234129
57,2020-03-19,121,113,68.50306348798495,735.2783980163467,True,58,214.9092324867892,1470.5443527234129
58,2020-03-20,121,113,68.50306348798495,735.2783980163467,True,59,247.61765028378895,1470.5443527234129
59,2020-03-21,229,221,68.50306348798495,735.2783980163467,True,60,284.1775303718185,1470.5443527234129
60,2020-03-22,355,285,68.50306348798495,735.2783980163467,True,61,324.70214415322704,1470.5443527234129
61,2020-03-23,355,285,68.50306348798495,735.2783980163467,True,62,369.2072610225143,1470.5443527234129
62,2020-03-24,411,314,68.50306348798495,735.2783980163467,True,63,417.5893690461125,1470.5443527234129
63,2020-03-25,466,369,68.50306348798495,735.2783980163467,True,64,469.60822702818444,1470.5443527234129
64,2020-03-26,520,368,68.50306348798495,735.2783980163467,True,65,524.8769520306128,1470.5443527234129
65,2020-03-27,574,400,68.50306348798495,735.2783980163467,True,66,582.8625981352375,1470.5443527234129
66,2020-03-28,685,491,68.50306348798495,735.2783980163467,True,67,642.8992524505071,1470.5443527234129
67,2020-03-29,769,574,68.50306348798495,735.2783980163467,True,68,704.2140878528612,1470.5443527234129
68,2020-03-30,821,626,68.50306348798495,735.2783980163467,True,69,765.9648078938117,1470.5443527234129
69,2020-03-31,917,622,68.50306348798495,735.2783980163467,True,70,827.2849273862413,1470.5443527234129
70,2020-04-01,968,621,68.50306348798495,735.2783980163467,True,71,887.3318581665462,1470.5443527234129
71,2020-04-02,1036,609,68.50306348798495,735.2783980163467,True,72,945.3322232780291,1470.5443527234129
72,2020-04-03,1085,602,68.50306348798495,735.2783980163467,True,73,1000.6193625857483,1470.5443527234129
73,2020-04-04,1115,580,68.50306348798495,735.2783980163467,True,74,1052.659462223652,1470.5443527234129
74,2020-04-05,1135,554,68.50306348798495,735.2783980163467,True,75,1101.064730554006,1470.5443527234129
75,2020-04-06,1158,528,68.50306348798495,735.2783980163467,True,76,1145.5940487656792,1470.5443527234129
76,2020-04-07,1191,560,68.50306348798495,735.2783980163467,True,77,1186.143114261757,1470.5443527234129
77,2020-04-08,1212,580,68.50306348798495,735.2783980163467,True,78,1222.7270290762604,1470.5443527234129
78,2020-04-09,1228,480,68.50306348798495,735.2783980163467,True,79,1255.4585377206495,1470.5443527234129
79,2020-04-10,1241,302,68.50306348798495,735.2783980163467,True,80,1284.5248259775635,1470.5443527234129
80,2020-04-11,1265,325,68.50306348798495,735.2783980163467,True,81,1310.165168023873,1470.5443527234129
81,2020-04-12,1268,328,68.50306348798495,735.2783980163467,True,82,1332.6509654584045,1470.5443527234129
82,2020-04-13,1281,341,68.50306348798495,735.2783980163467,True,83,1352.2690185964993,1470.5443527234129
83,2020-04-14,1291,159,68.50306348798495,735.2783980163467,True,84,1369.3083006791376,1470.5443527234129
84,2020-04-15,1299,167,68.50306348798495,735.2783980163467,True,85,1384.0501025453607,1470.5443527234129
85,2020-04-16,1299,148,68.50306348798495,735.2783980163467,True,86,1396.7611706579096,1470.5443527234129
86,2020-04-17,1302,129,68.50306348798495,735.2783980163467,True,87,1407.6893451545698,1470.5443527234129
87,2020-04-18,1319,133,68.50306348798495,735.2783980163467,True,88,1417.0611801170576,1470.5443527234129
88,2020-04-19,1328,142,68.50306348798495,735.2783980163467,True,89,1425.0810614226748,1470.5443527234129
89,2020-04-20,1329,119,68.50306348798495,735.2783980163467,True,90,1431.9314012527914,1470.5443527234129
90,2020-04-21,1336,120,68.50306348798495,735.2783980163467,True,91,1437.773563383405,1470.5443527234129
91,2020-04-22,1336,79,68.50306348798495,735.2783980163467,True,92,1442.7492476277598,1470.5443527234129
92,2020-04-23,1337,70,68.50306348798495,735.2783980163467,True,93,1446.9821285303572,1470.5443527234129
93,2020-04-24,1343,73,68.50306348798495,735.2783980163467,True,94,1450.5795996962427,1470.5443527234129
94,2020-04-25,1346,68,68.50306348798495,735.2783980163467,True,95,1453.634520428928,1470.5443527234129
95,2020-04-26,1349,67,68.50306348798495,735.2783980163467,True,96,1456.2268964291745,1470.5443527234129
96,2020-04-27,1349,52,68.50306348798495,735.2783980163467,True,97,1458.4254525848405,1470.5443527234129
97,2020-04-28,1354,49,68.50306348798495,735.2783980163467,True,98,1460.2890749524515,1470.5443527234129
98,2020-04-29,1361,52,68.50306348798495,735.2783980163467,True,99,1461.8681124223754,1470.5443527234129
99,2020-04-30,1364,53,68.50306348798495,735.2783980163467,True,100,1463.2055376141238,1470.5443527234129
100,2020-05-01,1371,53,68.50306348798495,735.2783980163467,True,101,1464.3379723812504,1470.5443527234129
101,2020-05-02,1384,66,68.50306348798495,735.2783980163467,True,102,1465.29658680588,1470.5443527234129
102,2020-05-03,1406,88,68.50306348798495,735.2783980163467,True,103,1466.1078824188023,1470.5443527234129
103,2020-05-04,1423,94,68.50306348798495,735.2783980163467,True,104,1466.7943711106834,1470.5443527234129
104,2020-05-05,1440,101,68.50306348798495,735.2783980163467,True,105,1467.3751611853284,1470.5443527234129
105,2020-05-06,1454,114,68.50306348798495,735.2783980163467,True,106,1467.8664615227758,1470.5443527234129
106,2020-05-07,1467,122,68.50306348798495,735.2783980163467,True,107,1468.2820140630515,1470.5443527234129
107,2020-05-08,1468,123,68.50306348798495,735.2783980163467,True,108,1468.6334639250442,1470.5443527234129
108,2020-05-09,1487,133,68.50306348798495,735.2783980163467,True,109,1468.9306755293876,1470.5443527234129
109,2020-05-10,1496,132,68.50306348798495,735.2783980163467,True,110,1469.182002157917,1470.5443527234129
110,2020-05-11,1511,133,68.50306348798495,735.2783980163467,True,111,1469.3945154911328,1470.5443527234129
111,2020-05-12,1514,111,68.50306348798495,735.2783980163467,True,112,1469.574200839631,1470.5443527234129
112,2020-05-13,1521,118,68.50306348798495,735.2783980163467,True,113,1469.7261230353995,1470.5443527234129
113,2020-05-14,1540,115,68.50306348798495,735.2783980163467,True,114,1469.854567277177,1470.5443527234129
114,2020-05-15,1551,116,68.50306348798495,735.2783980163467,True,115,1469.9631586290457,1470.5443527234129
115,2020-05-16,1558,123,68.50306348798495,735.2783980163467,True,116,1470.054963348928,1470.5443527234129
116,2020-05-17,1564,107,68.50306348798495,735.2783980163467,True,117,1470.1325747679045,1470.5443527234129
117,2020-05-18,1573,101,68.50306348798495,735.2783980163467,True,118,1470.198186045897,1470.5443527234129
118,2020-05-19,1573,101,68.50306348798495,735.2783980163467,True,119,1470.2536517878439,1470.5443527234129
119,2020-05-20,1581,90,68.50306348798495,735.2783980163467,True,120,1470.3005402106492,1470.5443527234129
120,2020-05-21,1593,96,68.50306348798495,735.2783980163467,True,121,1470.3401772991058,1470.5443527234129
121,2020-05-22,1593,96,68.50306348798495,735.2783980163467,True,122,1470.3736841732184,1470.5443527234129
122,2020-05-23,1603,86,68.50306348798495,735.2783980163467,True,123,1470.4020087050521,1470.5443527234129
123,2020-05-24,1605,66,68.50306348798495,735.2783980163467,True,124,1470.4259522660755,1470.5443527234129
124,2020-05-25,1610,58,68.50306348798495,735.2783980163467,True,125,1470.4461923521437,1470.5443527234129
125,2020-05-26,1618,66,68.50306348798495,735.2783980163467,True,126,1470.4633017194387,1470.5443527234129
126,2020-05-27,1628,65,68.50306348798495,735.2783980163467,True,127,1470.4777645679696,1470.5443527234129
127,2020-05-28,1634,71,68.50306348798495,735.2783980163467,True,128,1470.4899902271227,1470.5443527234129
