,Report_Date,Australia_victoria_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,68.50306348798495,735.2783980163467,True,1,0.01739666903576835,1470.5443527234129
1,2020-01-23,0,0,68.50306348798495,735.2783980163467,True,2,0.02058043724881771,1470.5443527234129
2,2020-01-24,0,0,68.50306348798495,735.2783980163467,True,3,0.02434685793352626,1470.5443527234129
3,2020-01-25,0,0,68.50306348798495,735.2783980163467,True,4,0.028802556827004232,1470.5443527234129
4,2020-01-26,1,1,68.50306348798495,735.2783980163467,True,5,0.034073670697820274,1470.5443527234129
5,2020-01-27,1,1,68.50306348798495,735.2783980163467,True,6,0.04030941697910437,1470.5443527234129
6,2020-01-28,1,1,68.50306348798495,735.2783980163467,True,7,0.047686316236724834,1470.5443527234129
7,2020-01-29,1,1,68.50306348798495,735.2783980163467,True,8,0.056413186768593214,1470.5443527234129
8,2020-01-30,2,2,68.50306348798495,735.2783980163467,True,9,0.06673705239151993,1470.5443527234129
9,2020-01-31,3,3,68.50306348798495,735.2783980163467,True,10,0.07895013018595677,1470.5443527234129
10,2020-02-01,4,4,68.50306348798495,735.2783980163467,True,11,0.09339809534843571,1470.5443527234129
11,2020-02-02,4,4,68.50306348798495,735.2783980163467,True,12,0.11048985618428034,1470.5443527234129
12,2020-02-03,4,4,68.50306348798495,735.2783980163467,True,13,0.13070911464383209,1470.5443527234129
13,2020-02-04,4,4,68.50306348798495,735.2783980163467,True,14,0.1546280378198155,1470.5443527234129
14,2020-02-05,4,4,68.50306348798495,735.2783980163467,True,15,0.18292342483632076,1470.5443527234129
15,2020-02-06,4,4,68.50306348798495,735.2783980163467,True,16,0.2163958231563305,1470.5443527234129
16,2020-02-07,4,4,68.50306348798495,735.2783980163467,True,17,0.2559921303653937,1470.5443527234129
17,2020-02-08,4,4,68.50306348798495,735.2783980163467,True,18,0.3028323141089435,1470.5443527234129
18,2020-02-09,4,4,68.50306348798495,735.2783980163467,True,19,0.35824099657126973,1470.5443527234129
19,2020-02-10,4,4,68.50306348798495,735.2783980163467,True,20,0.4237847835774928,1470.5443527234129
20,2020-02-11,4,4,68.50306348798495,735.2783980163467,True,21,0.5013163754040452,1470.5443527234129
21,2020-02-12,4,4,68.50306348798495,735.2783980163467,True,22,0.5930266805047367,1470.5443527234129
22,2020-02-13,4,0,68.50306348798495,735.2783980163467,True,23,0.7015063689197731,1470.5443527234129
23,2020-02-14,4,0,68.50306348798495,735.2783980163467,True,24,0.8298185539927526,1470.5443527234129
24,2020-02-15,4,0,68.50306348798495,735.2783980163467,True,25,0.9815845845704971,1470.5443527234129
25,2020-02-16,4,0,68.50306348798495,735.2783980163467,True,26,1.1610852709936814,1470.5443527234129
26,2020-02-17,4,0,68.50306348798495,735.2783980163467,True,27,1.3733802631895218,1470.5443527234129
27,2020-02-18,4,0,68.50306348798495,735.2783980163467,True,28,1.6244487545420325,1470.5443527234129
28,2020-02-19,4,0,68.50306348798495,735.2783980163467,True,29,1.921355207307593,1470.5443527234129
29,2020-02-20,4,0,68.50306348798495,735.2783980163467,True,30,2.2724443898825344,1470.5443527234129
30,2020-02-21,4,0,68.50306348798495,735.2783980163467,True,31,2.6875706874788565,1470.5443527234129
31,2020-02-22,4,0,68.50306348798495,735.2783980163467,True,32,3.178367397326503,1470.5443527234129
32,2020-02-23,4,0,68.50306348798495,735.2783980163467,True,33,3.758562544573503,1470.5443527234129
33,2020-02-24,4,0,68.50306348798495,735.2783980163467,True,34,4.444348645817196,1470.5443527234129
34,2020-02-25,4,0,68.50306348798495,735.2783980163467,True,35,5.254814783345645,1470.5443527234129
35,2020-02-26,4,0,68.50306348798495,735.2783980163467,True,36,6.2124502988320645,1470.5443527234129
36,2020-02-27,4,0,68.50306348798495,735.2783980163467,True,37,7.343730312130744,1470.5443527234129
37,2020-02-28,4,0,68.50306348798495,735.2783980163467,True,38,8.679794028987002,1470.5443527234129
38,2020-02-29,7,3,68.50306348798495,735.2783980163467,True,39,10.25722728682644,1470.5443527234129
39,2020-03-01,7,3,68.50306348798495,735.2783980163467,True,40,12.118960806020395,1470.5443527234129
40,2020-03-02,9,5,68.50306348798495,735.2783980163467,True,41,14.315294890010112,1470.5443527234129
41,2020-03-03,9,5,68.50306348798495,735.2783980163467,True,42,16.905059470094507,1470.5443527234129
42,2020-03-04,10,6,68.50306348798495,735.2783980163467,True,43,19.9569149020997,1470.5443527234129
43,2020-03-05,10,3,68.50306348798495,735.2783980163467,True,44,23.550793105981104,1470.5443527234129
44,2020-03-06,10,3,68.50306348798495,735.2783980163467,True,45,27.77946960766663,1470.5443527234129
45,2020-03-07,11,4,68.50306348798495,735.2783980163467,True,46,32.750243681654084,1470.5443527234129
46,2020-03-08,11,4,68.50306348798495,735.2783980163467,True,47,38.58668476172934,1470.5443527234129
47,2020-03-09,15,8,68.50306348798495,735.2783980163467,True,48,45.43037705823102,1470.5443527234129
48,2020-03-10,18,11,68.50306348798495,735.2783980163467,True,49,53.442559299999324,1470.5443527234129
49,2020-03-11,21,14,68.50306348798495,735.2783980163467,True,50,62.8055112955591,1470.5443527234129
50,2020-03-12,21,14,68.50306348798495,735.2783980163467,True,51,73.72348279105337,1470.5443527234129
51,2020-03-13,36,28,68.50306348798495,735.2783980163467,True,52,86.42289343122769,1470.5443527234129
52,2020-03-14,49,41,68.50306348798495,735.2783980163467,True,53,101.15145841533672,1470.5443527234129
53,2020-03-15,57,49,68.50306348798495,735.2783980163467,True,54,118.17581936303368,1470.5443527234129
54,2020-03-16,71,63,68.50306348798495,735.2783980163467,True,55,137.7771960764177,1470.5443527234129
55,2020-03-17,94,86,68.50306348798495,735.2783980163467,True,56,160.24454144949152,1470.5443527234129
