,Report_Date,Togo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.0816875841273,49.28755438791419,True,1,0.001151476965872526,94.89873672700116
1,2020-01-23,0,74.0816875841273,49.28755438791419,True,2,0.0013450779852787695,94.89873672700116
2,2020-01-24,0,74.0816875841273,49.28755438791419,True,3,0.0015712291627761417,94.89873672700116
3,2020-01-25,0,74.0816875841273,49.28755438791419,True,4,0.0018354029704528152,94.89873672700116
4,2020-01-26,0,74.0816875841273,49.28755438791419,True,5,0.002143991866913921,94.89873672700116
5,2020-01-27,0,74.0816875841273,49.28755438791419,True,6,0.002504462932634622,94.89873672700116
6,2020-01-28,0,74.0816875841273,49.28755438791419,True,7,0.0029255384879371647,94.89873672700116
7,2020-01-29,0,74.0816875841273,49.28755438791419,True,8,0.0034174070559854176,94.89873672700116
8,2020-01-30,0,74.0816875841273,49.28755438791419,True,9,0.003991969764403502,94.89873672700116
9,2020-01-31,0,74.0816875841273,49.28755438791419,True,10,0.0046631281324578154,94.89873672700116
10,2020-02-01,0,74.0816875841273,49.28755438791419,True,11,0.005447120186427171,94.89873672700116
11,2020-02-02,0,74.0816875841273,49.28755438791419,True,12,0.006362913007349336,94.89873672700116
12,2020-02-03,0,74.0816875841273,49.28755438791419,True,13,0.007432661170106381,94.89873672700116
13,2020-02-04,0,74.0816875841273,49.28755438791419,True,14,0.008682242112520796,94.89873672700116
14,2020-02-05,0,74.0816875841273,49.28755438791419,True,15,0.010141881314561512,94.89873672700116
15,2020-02-06,0,74.0816875841273,49.28755438791419,True,16,0.01184688231349332,94.89873672700116
16,2020-02-07,0,74.0816875841273,49.28755438791419,True,17,0.013838479080080545,94.89873672700116
17,2020-02-08,0,74.0816875841273,49.28755438791419,True,18,0.016164831190590093,94.89873672700116
18,2020-02-09,0,74.0816875841273,49.28755438791419,True,19,0.01888218561474068,94.89873672700116
19,2020-02-10,0,74.0816875841273,49.28755438791419,True,20,0.022056232876023003,94.89873672700116
20,2020-02-11,0,74.0816875841273,49.28755438791419,True,21,0.025763689913934424,94.89873672700116
21,2020-02-12,0,74.0816875841273,49.28755438791419,True,22,0.03009414728563843,94.89873672700116
22,2020-02-13,0,74.0816875841273,49.28755438791419,True,23,0.03515222449857779,94.89873672700116
23,2020-02-14,0,74.0816875841273,49.28755438791419,True,24,0.04106008439107668,94.89873672700116
24,2020-02-15,0,74.0816875841273,49.28755438791419,True,25,0.047960365715418014,94.89873672700116
25,2020-02-16,0,74.0816875841273,49.28755438791419,True,26,0.056019602583104185,94.89873672700116
26,2020-02-17,0,74.0816875841273,49.28755438791419,True,27,0.06543221037583183,94.89873672700116
27,2020-02-18,0,74.0816875841273,49.28755438791419,True,28,0.07642513029249573,94.89873672700116
28,2020-02-19,0,74.0816875841273,49.28755438791419,True,29,0.08926323908706728,94.89873672700116
29,2020-02-20,0,74.0816875841273,49.28755438791419,True,30,0.10425564695413438,94.89873672700116
30,2020-02-21,0,74.0816875841273,49.28755438791419,True,31,0.12176302513383078,94.89873672700116
31,2020-02-22,0,74.0816875841273,49.28755438791419,True,32,0.1422061258134935,94.89873672700116
32,2020-02-23,0,74.0816875841273,49.28755438791419,True,33,0.16607568043876028,94.89873672700116
33,2020-02-24,0,74.0816875841273,49.28755438791419,True,34,0.1939438886825317,94.89873672700116
34,2020-02-25,0,74.0816875841273,49.28755438791419,True,35,0.2264777390154949,94.89873672700116
35,2020-02-26,0,74.0816875841273,49.28755438791419,True,36,0.2644544328646141,94.89873672700116
36,2020-02-27,0,74.0816875841273,49.28755438791419,True,37,0.30877921726952084,94.89873672700116
37,2020-02-28,0,74.0816875841273,49.28755438791419,True,38,0.3605059649162601,94.89873672700116
38,2020-02-29,0,74.0816875841273,49.28755438791419,True,39,0.4208608740869096,94.89873672700116
39,2020-03-01,0,74.0816875841273,49.28755438791419,True,40,0.4912696923291234,94.89873672700116
40,2020-03-02,0,74.0816875841273,49.28755438791419,True,41,0.5733888934424789,94.89873672700116
41,2020-03-03,0,74.0816875841273,49.28755438791419,True,42,0.6691412532736566,94.89873672700116
42,2020-03-04,0,74.0816875841273,49.28755438791419,True,43,0.7807562695935931,94.89873672700116
43,2020-03-05,0,74.0816875841273,49.28755438791419,True,44,0.9108158464339688,94.89873672700116
44,2020-03-06,1,74.0816875841273,49.28755438791419,True,45,1.0623056021047863,94.89873672700116
45,2020-03-07,1,74.0816875841273,49.28755438791419,True,46,1.2386720473111041,94.89873672700116
46,2020-03-08,1,74.0816875841273,49.28755438791419,True,47,1.443885695274952,94.89873672700116
47,2020-03-09,1,74.0816875841273,49.28755438791419,True,48,1.682509883943849,94.89873672700116
48,2020-03-10,1,74.0816875841273,49.28755438791419,True,49,1.9597746793539224,94.89873672700116
49,2020-03-11,1,74.0816875841273,49.28755438791419,True,50,2.2816546505388153,94.89873672700116
50,2020-03-12,1,74.0816875841273,49.28755438791419,True,51,2.6549485154649544,94.89873672700116
51,2020-03-13,1,74.0816875841273,49.28755438791419,True,52,3.087357605639269,94.89873672700116
52,2020-03-14,1,74.0816875841273,49.28755438791419,True,53,3.5875587358607506,94.89873672700116
53,2020-03-15,1,74.0816875841273,49.28755438791419,True,54,4.165265355006091,94.89873672700116
54,2020-03-16,1,74.0816875841273,49.28755438791419,True,55,4.831268775380114,94.89873672700116
55,2020-03-17,1,74.0816875841273,49.28755438791419,True,56,5.5974488556798345,94.89873672700116
56,2020-03-18,1,74.0816875841273,49.28755438791419,True,57,6.476740840476842,94.89873672700116
57,2020-03-19,1,74.0816875841273,49.28755438791419,True,58,7.483042340116502,94.89873672700116
58,2020-03-20,9,74.0816875841273,49.28755438791419,True,59,8.63104202428853,94.89873672700116
59,2020-03-21,16,74.0816875841273,49.28755438791419,True,60,9.935950051662369,94.89873672700116
60,2020-03-22,16,74.0816875841273,49.28755438791419,True,61,11.41311034393812,94.89873672700116
61,2020-03-23,18,74.0816875841273,49.28755438791419,True,62,13.077477529680252,94.89873672700116
62,2020-03-24,20,74.0816875841273,49.28755438791419,True,63,14.942947863425381,94.89873672700116
63,2020-03-25,23,74.0816875841273,49.28755438791419,True,64,17.021544750029566,94.89873672700116
64,2020-03-26,23,74.0816875841273,49.28755438791419,True,65,19.322476375440736,94.89873672700116
65,2020-03-27,25,74.0816875841273,49.28755438791419,True,66,21.85110522083367,94.89873672700116
66,2020-03-28,25,74.0816875841273,49.28755438791419,True,67,24.607895393464016,94.89873672700116
67,2020-03-29,25,74.0816875841273,49.28755438791419,True,68,27.58743039155499,94.89873672700116
68,2020-03-30,30,74.0816875841273,49.28755438791419,True,69,30.777615848615962,94.89873672700116
69,2020-03-31,34,74.0816875841273,49.28755438791419,True,70,34.15919230276573,94.89873672700116
70,2020-04-01,36,74.0816875841273,49.28755438791419,True,71,37.705675430633896,94.89873672700116
71,2020-04-02,39,74.0816875841273,49.28755438791419,True,72,41.383810920431316,94.89873672700116
72,2020-04-03,40,74.0816875841273,49.28755438791419,True,73,45.154578155367275,94.89873672700116
73,2020-04-04,41,74.0816875841273,49.28755438791419,True,74,48.97470715413398,94.89873672700116
74,2020-04-05,44,74.0816875841273,49.28755438791419,True,75,52.79859876004347,94.89873672700116
75,2020-04-06,58,74.0816875841273,49.28755438791419,True,76,56.58047442850484,94.89873672700116
76,2020-04-07,65,74.0816875841273,49.28755438791419,True,77,60.276543942955904,94.89873672700116
77,2020-04-08,70,74.0816875841273,49.28755438791419,True,78,63.84697636941845,94.89873672700116
78,2020-04-09,73,74.0816875841273,49.28755438791419,True,79,67.25749229956385,94.89873672700116
79,2020-04-10,76,74.0816875841273,49.28755438791419,True,80,70.48045581010695,94.89873672700116
80,2020-04-11,76,74.0816875841273,49.28755438791419,True,81,73.49541835664331,94.89873672700116
81,2020-04-12,76,74.0816875841273,49.28755438791419,True,82,76.28913827263152,94.89873672700116
82,2020-04-13,77,74.0816875841273,49.28755438791419,True,83,78.85515586209478,94.89873672700116
83,2020-04-14,77,74.0816875841273,49.28755438791419,True,84,81.19303819774606,94.89873672700116
84,2020-04-15,81,74.0816875841273,49.28755438791419,True,85,83.30741882411716,94.89873672700116
