,Report_Date,China_guangdong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,26,13.257901990662905,703.1565090450288,True,1,64.60443250437255,1406.313011882934
1,2020-01-23,32,13.257901990662905,703.1565090450288,True,2,81.69012631063852,1406.313011882934
2,2020-01-24,53,13.257901990662905,703.1565090450288,True,3,102.94770394016777,1406.313011882934
3,2020-01-25,78,13.257901990662905,703.1565090450288,True,4,129.19743842387734,1406.313011882934
4,2020-01-26,111,13.257901990662905,703.1565090450288,True,5,161.31197543232136,1406.313011882934
5,2020-01-27,151,13.257901990662905,703.1565090450288,True,6,200.1581043467212,1406.313011882934
6,2020-01-28,207,13.257901990662905,703.1565090450288,True,7,246.50671198928003,1406.313011882934
7,2020-01-29,277,13.257901990662905,703.1565090450288,True,8,300.9102738497097,1406.313011882934
8,2020-01-30,354,13.257901990662905,703.1565090450288,True,9,363.5569166895736,1406.313011882934
9,2020-01-31,436,13.257901990662905,703.1565090450288,True,10,434.123848815872,1406.313011882934
10,2020-02-01,535,13.257901990662905,703.1565090450288,True,11,511.66691442828994,1406.313011882934
11,2020-02-02,632,13.257901990662905,703.1565090450288,True,12,594.5896171463314,1406.313011882934
12,2020-02-03,725,13.257901990662905,703.1565090450288,True,13,680.7256882780421,1406.313011882934
13,2020-02-04,813,13.257901990662905,703.1565090450288,True,14,767.5409544256864,1406.313011882934
14,2020-02-05,895,13.257901990662905,703.1565090450288,True,15,852.4208487510851,1406.313011882934
15,2020-02-06,970,13.257901990662905,703.1565090450288,True,16,932.9774683411509,1406.313011882934
16,2020-02-07,1034,13.257901990662905,703.1565090450288,True,17,1007.3022754817791,1406.313011882934
17,2020-02-08,1095,13.257901990662905,703.1565090450288,True,18,1074.111889870462,1406.313011882934
18,2020-02-09,1131,13.257901990662905,703.1565090450288,True,19,1132.7727958931175,1406.313011882934
19,2020-02-10,1159,13.257901990662905,703.1565090450288,True,20,1183.2266067715225,1406.313011882934
20,2020-02-11,1177,13.257901990662905,703.1565090450288,True,21,1225.856841620505,1406.313011882934
21,2020-02-12,1219,13.257901990662905,703.1565090450288,True,22,1261.3388653218353,1406.313011882934
22,2020-02-13,1241,13.257901990662905,703.1565090450288,True,23,1290.503367950845,1406.313011882934
23,2020-02-14,1261,13.257901990662905,703.1565090450288,True,24,1314.229158984051,1406.313011882934
24,2020-02-15,1294,13.257901990662905,703.1565090450288,True,25,1333.3690175351117,1406.313011882934
25,2020-02-16,1316,13.257901990662905,703.1565090450288,True,26,1348.7049926807817,1406.313011882934
26,2020-02-17,1322,13.257901990662905,703.1565090450288,True,27,1360.9264358449361,1406.313011882934
27,2020-02-18,1328,13.257901990662905,703.1565090450288,True,28,1370.6237302229652,1406.313011882934
28,2020-02-19,1331,13.257901990662905,703.1565090450288,True,29,1378.291761846789,1406.313011882934
29,2020-02-20,1332,13.257901990662905,703.1565090450288,True,30,1384.3386900363125,1406.313011882934
30,2020-02-21,1333,13.257901990662905,703.1565090450288,True,31,1389.0970033048754,1406.313011882934
31,2020-02-22,1339,13.257901990662905,703.1565090450288,True,32,1392.8349847938027,1406.313011882934
32,2020-02-23,1342,13.257901990662905,703.1565090450288,True,33,1395.7675283285785,1406.313011882934
33,2020-02-24,1345,13.257901990662905,703.1565090450288,True,34,1398.0657886303497,1406.313011882934
34,2020-02-25,1347,13.257901990662905,703.1565090450288,True,35,1399.8654849823868,1406.313011882934
35,2020-02-26,1347,13.257901990662905,703.1565090450288,True,36,1401.2738701974251,1406.313011882934
36,2020-02-27,1347,13.257901990662905,703.1565090450288,True,37,1402.3754761289665,1406.313011882934
37,2020-02-28,1348,13.257901990662905,703.1565090450288,True,38,1403.2367891441882,1406.313011882934
38,2020-02-29,1349,13.257901990662905,703.1565090450288,True,39,1403.9100180895664,1406.313011882934
39,2020-03-01,1349,13.257901990662905,703.1565090450288,True,40,1404.4361087724121,1406.313011882934
40,2020-03-02,1350,13.257901990662905,703.1565090450288,True,41,1404.8471422688356,1406.313011882934
41,2020-03-03,1350,13.257901990662905,703.1565090450288,True,42,1405.1682349139032,1406.313011882934
42,2020-03-04,1350,13.257901990662905,703.1565090450288,True,43,1405.4190386048433,1406.313011882934
43,2020-03-05,1351,13.257901990662905,703.1565090450288,True,44,1405.6149225150048,1406.313011882934
44,2020-03-06,1352,13.257901990662905,703.1565090450288,True,45,1405.7679020585322,1406.313011882934
45,2020-03-07,1352,13.257901990662905,703.1565090450288,True,46,1405.8873680621844,1406.313011882934
46,2020-03-08,1352,13.257901990662905,703.1565090450288,True,47,1405.9806584428384,1406.313011882934
47,2020-03-09,1352,13.257901990662905,703.1565090450288,True,48,1406.053505999453,1406.313011882934
