,Report_Date,Papua New Guinea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,60.233253024479694,0.6009015438219613,True,1,1.4549185568508467e-05,1.1913287045977847
1,2020-01-23,0,60.233253024479694,0.6009015438219613,True,2,1.76136029071533e-05,1.1913287045977847
2,2020-01-24,0,60.233253024479694,0.6009015438219613,True,3,2.1323450669507483e-05,1.1913287045977847
3,2020-01-25,0,60.233253024479694,0.6009015438219613,True,4,2.581466467817742e-05,1.1913287045977847
4,2020-01-26,0,60.233253024479694,0.6009015438219613,True,5,3.125180807914863e-05,1.1913287045977847
5,2020-01-27,0,60.233253024479694,0.6009015438219613,True,6,3.7834098939905555e-05,1.1913287045977847
6,2020-01-28,0,60.233253024479694,0.6009015438219613,True,7,4.580270644436624e-05,1.1913287045977847
7,2020-01-29,0,60.233253024479694,0.6009015438219613,True,8,5.544958242890007e-05,1.1913287045977847
8,2020-01-30,0,60.233253024479694,0.6009015438219613,True,9,6.712815097453464e-05,1.1913287045977847
9,2020-01-31,0,60.233253024479694,0.6009015438219613,True,10,8.126624643123691e-05,1.1913287045977847
10,2020-02-01,0,60.233253024479694,0.6009015438219613,True,11,9.838177201701513e-05,1.1913287045977847
11,2020-02-02,0,60.233253024479694,0.6009015438219613,True,12,0.0001191016499111662,1.1913287045977847
12,2020-02-03,0,60.233253024479694,0.6009015438219613,True,13,0.00014418475303113737,1.1913287045977847
13,2020-02-04,0,60.233253024479694,0.6009015438219613,True,14,0.00017454965261791536,1.1913287045977847
14,2020-02-05,0,60.233253024479694,0.6009015438219613,True,15,0.00021130818933880373,1.1913287045977847
15,2020-02-06,0,60.233253024479694,0.6009015438219613,True,16,0.00025580608478337376,1.1913287045977847
16,2020-02-07,0,60.233253024479694,0.6009015438219613,True,17,0.00030967206201885494,1.1913287045977847
17,2020-02-08,0,60.233253024479694,0.6009015438219613,True,18,0.0003748772465984886,1.1913287045977847
18,2020-02-09,0,60.233253024479694,0.6009015438219613,True,19,0.00045380698283723733,1.1913287045977847
19,2020-02-10,0,60.233253024479694,0.6009015438219613,True,20,0.0005493476356467444,1.1913287045977847
20,2020-02-11,0,60.233253024479694,0.6009015438219613,True,21,0.0006649914688568472,1.1913287045977847
21,2020-02-12,0,60.233253024479694,0.6009015438219613,True,22,0.0008049633116498205,1.1913287045977847
22,2020-02-13,0,60.233253024479694,0.6009015438219613,True,23,0.0009743734621497812,1.1913287045977847
23,2020-02-14,0,60.233253024479694,0.6009015438219613,True,24,0.001179402149481473,1.1913287045977847
24,2020-02-15,0,60.233253024479694,0.6009015438219613,True,25,0.0014275219017603098,1.1913287045977847
25,2020-02-16,0,60.233253024479694,0.6009015438219613,True,26,0.0017277653662674637,1.1913287045977847
26,2020-02-17,0,60.233253024479694,0.6009015438219613,True,27,0.002091047516065926,1.1913287045977847
27,2020-02-18,0,60.233253024479694,0.6009015438219613,True,28,0.0025305527657097197,1.1913287045977847
28,2020-02-19,0,60.233253024479694,0.6009015438219613,True,29,0.003062199308290053,1.1913287045977847
29,2020-02-20,0,60.233253024479694,0.6009015438219613,True,30,0.003705194959614188,1.1913287045977847
30,2020-02-21,0,60.233253024479694,0.6009015438219613,True,31,0.004482700906090449,1.1913287045977847
31,2020-02-22,0,60.233253024479694,0.6009015438219613,True,32,0.005422621907823759,1.1913287045977847
32,2020-02-23,0,60.233253024479694,0.6009015438219613,True,33,0.006558543543820413,1.1913287045977847
33,2020-02-24,0,60.233253024479694,0.6009015438219613,True,34,0.007930838733413102,1.1913287045977847
34,2020-02-25,0,60.233253024479694,0.6009015438219613,True,35,0.009587966605927948,1.1913287045977847
35,2020-02-26,0,60.233253024479694,0.6009015438219613,True,36,0.011587986181561774,1.1913287045977847
36,2020-02-27,0,60.233253024479694,0.6009015438219613,True,37,0.014000304332690764,1.1913287045977847
37,2020-02-28,0,60.233253024479694,0.6009015438219613,True,38,0.016907670774654784,1.1913287045977847
38,2020-02-29,0,60.233253024479694,0.6009015438219613,True,39,0.020408420522189396,1.1913287045977847
39,2020-03-01,0,60.233253024479694,0.6009015438219613,True,40,0.024618943827868674,1.1913287045977847
40,2020-03-02,0,60.233253024479694,0.6009015438219613,True,41,0.02967633183532078,1.1913287045977847
41,2020-03-03,0,60.233253024479694,0.6009015438219613,True,42,0.03574109902960217,1.1913287045977847
42,2020-03-04,0,60.233253024479694,0.6009015438219613,True,43,0.042999816498646,1.1913287045977847
43,2020-03-05,0,60.233253024479694,0.6009015438219613,True,44,0.05166739851044459,1.1913287045977847
44,2020-03-06,0,60.233253024479694,0.6009015438219613,True,45,0.06198866568363616,1.1913287045977847
45,2020-03-07,0,60.233253024479694,0.6009015438219613,True,46,0.0742386612469849,1.1913287045977847
46,2020-03-08,0,60.233253024479694,0.6009015438219613,True,47,0.08872102966424715,1.1913287045977847
47,2020-03-09,0,60.233253024479694,0.6009015438219613,True,48,0.10576359833051716,1.1913287045977847
48,2020-03-10,0,60.233253024479694,0.6009015438219613,True,49,0.12571017030727322,1.1913287045977847
49,2020-03-11,0,60.233253024479694,0.6009015438219613,True,50,0.14890750015071536,1.1913287045977847
50,2020-03-12,0,60.233253024479694,0.6009015438219613,True,51,0.17568657244764632,1.1913287045977847
51,2020-03-13,0,60.233253024479694,0.6009015438219613,True,52,0.2063377380862533,1.1913287045977847
52,2020-03-14,0,60.233253024479694,0.6009015438219613,True,53,0.24108008341081893,1.1913287045977847
53,2020-03-15,0,60.233253024479694,0.6009015438219613,True,54,0.28002665304306956,1.1913287045977847
