,Report_Date,Jordan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,81.10590576300861,332.34051507028977,True,1,2.6579299081559675,651.7357312233264
1,2020-01-23,0,0,81.10590576300861,332.34051507028977,True,2,2.846650975211419,651.7357312233264
2,2020-01-24,0,0,81.10590576300861,332.34051507028977,True,3,3.0487101013225453,651.7357312233264
3,2020-01-25,0,0,81.10590576300861,332.34051507028977,True,4,3.2650409009695487,651.7357312233264
4,2020-01-26,0,0,81.10590576300861,332.34051507028977,True,5,3.49664100684914,651.7357312233264
5,2020-01-27,0,0,81.10590576300861,332.34051507028977,True,6,3.744576263845685,651.7357312233264
6,2020-01-28,0,0,81.10590576300861,332.34051507028977,True,7,4.009985168735938,651.7357312233264
7,2020-01-29,0,0,81.10590576300861,332.34051507028977,True,8,4.294083565605595,651.7357312233264
8,2020-01-30,0,0,81.10590576300861,332.34051507028977,True,9,4.5981696066275415,651.7357312233264
9,2020-01-31,0,0,81.10590576300861,332.34051507028977,True,10,4.923628987362703,651.7357312233264
10,2020-02-01,0,0,81.10590576300861,332.34051507028977,True,11,5.271940465066998,651.7357312233264
11,2020-02-02,0,0,81.10590576300861,332.34051507028977,True,12,5.644681667589895,651.7357312233264
12,2020-02-03,0,0,81.10590576300861,332.34051507028977,True,13,6.043535199295998,651.7357312233264
13,2020-02-04,0,0,81.10590576300861,332.34051507028977,True,14,6.470295048990527,651.7357312233264
14,2020-02-05,0,0,81.10590576300861,332.34051507028977,True,15,6.926873303037488,651.7357312233264
15,2020-02-06,0,0,81.10590576300861,332.34051507028977,True,16,7.415307164675886,651.7357312233264
16,2020-02-07,0,0,81.10590576300861,332.34051507028977,True,17,7.937766277908621,651.7357312233264
17,2020-02-08,0,0,81.10590576300861,332.34051507028977,True,18,8.496560351199975,651.7357312233264
18,2020-02-09,0,0,81.10590576300861,332.34051507028977,True,19,9.094147072503143,651.7357312233264
19,2020-02-10,0,0,81.10590576300861,332.34051507028977,True,20,9.73314030277666,651.7357312233264
20,2020-02-11,0,0,81.10590576300861,332.34051507028977,True,21,10.416318530057726,651.7357312233264
21,2020-02-12,0,0,81.10590576300861,332.34051507028977,True,22,11.146633560257412,651.7357312233264
22,2020-02-13,0,0,81.10590576300861,332.34051507028977,True,23,11.927219414036175,651.7357312233264
23,2020-02-14,0,0,81.10590576300861,332.34051507028977,True,24,12.761401391313708,651.7357312233264
24,2020-02-15,0,0,81.10590576300861,332.34051507028977,True,25,13.652705256065605,651.7357312233264
25,2020-02-16,0,0,81.10590576300861,332.34051507028977,True,26,14.604866483960254,651.7357312233264
26,2020-02-17,0,0,81.10590576300861,332.34051507028977,True,27,15.621839503991348,651.7357312233264
27,2020-02-18,0,0,81.10590576300861,332.34051507028977,True,28,16.707806852466575,651.7357312233264
28,2020-02-19,0,0,81.10590576300861,332.34051507028977,True,29,17.867188143428496,651.7357312233264
29,2020-02-20,0,0,81.10590576300861,332.34051507028977,True,30,19.104648743728152,651.7357312233264
30,2020-02-21,0,0,81.10590576300861,332.34051507028977,True,31,20.425108023478714,651.7357312233264
31,2020-02-22,0,0,81.10590576300861,332.34051507028977,True,32,21.83374703344249,651.7357312233264
32,2020-02-23,0,0,81.10590576300861,332.34051507028977,True,33,23.336015440036398,651.7357312233264
33,2020-02-24,0,0,81.10590576300861,332.34051507028977,True,34,24.937637526104414,651.7357312233264
34,2020-02-25,0,0,81.10590576300861,332.34051507028977,True,35,26.644617041478877,651.7357312233264
35,2020-02-26,0,0,81.10590576300861,332.34051507028977,True,36,28.46324066177574,651.7357312233264
36,2020-02-27,0,0,81.10590576300861,332.34051507028977,True,37,30.400079787059802,651.7357312233264
37,2020-02-28,0,0,81.10590576300861,332.34051507028977,True,38,32.46199038428839,651.7357312233264
38,2020-02-29,0,0,81.10590576300861,332.34051507028977,True,39,34.65611054921638,651.7357312233264
39,2020-03-01,0,0,81.10590576300861,332.34051507028977,True,40,36.98985543527706,651.7357312233264
40,2020-03-02,0,0,81.10590576300861,332.34051507028977,True,41,39.47090916954134,651.7357312233264
41,2020-03-03,1,1,81.10590576300861,332.34051507028977,True,42,42.10721335007167,651.7357312233264
42,2020-03-04,1,1,81.10590576300861,332.34051507028977,True,43,44.90695169588105,651.7357312233264
43,2020-03-05,1,1,81.10590576300861,332.34051507028977,True,44,47.87853040153503,651.7357312233264
44,2020-03-06,1,1,81.10590576300861,332.34051507028977,True,45,51.03055373466285,651.7357312233264
45,2020-03-07,1,1,81.10590576300861,332.34051507028977,True,46,54.37179440795288,651.7357312233264
46,2020-03-08,1,1,81.10590576300861,332.34051507028977,True,47,57.91115825949204,651.7357312233264
47,2020-03-09,1,1,81.10590576300861,332.34051507028977,True,48,61.65764278865672,651.7357312233264
48,2020-03-10,1,1,81.10590576300861,332.34051507028977,True,49,65.6202891214265,651.7357312233264
49,2020-03-11,1,1,81.10590576300861,332.34051507028977,True,50,69.80812702134048,651.7357312233264
50,2020-03-12,1,1,81.10590576300861,332.34051507028977,True,51,74.2301126227577,651.7357312233264
51,2020-03-13,1,0,81.10590576300861,332.34051507028977,True,52,78.89505864397746,651.7357312233264
52,2020-03-14,1,0,81.10590576300861,332.34051507028977,True,53,83.81155694130364,651.7357312233264
53,2020-03-15,8,7,81.10590576300861,332.34051507028977,True,54,88.98789339314766,651.7357312233264
54,2020-03-16,17,16,81.10590576300861,332.34051507028977,True,55,94.43195525710858,651.7357312233264
55,2020-03-17,34,33,81.10590576300861,332.34051507028977,True,56,100.15113132326407,651.7357312233264
56,2020-03-18,52,51,81.10590576300861,332.34051507028977,True,57,106.15220539335314,651.7357312233264
