,Report_Date,Zimbabwe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.40631655373898,7.302142732153749,True,1,0.0001719853895105829,14.03448286373097
1,2020-01-23,0,70.40631655373898,7.302142732153749,True,2,0.0002025382257300604,14.03448286373097
2,2020-01-24,0,70.40631655373898,7.302142732153749,True,3,0.00023851861924328768,14.03448286373097
3,2020-01-25,0,70.40631655373898,7.302142732153749,True,4,0.000280890713942574,14.03448286373097
4,2020-01-26,0,70.40631655373898,7.302142732153749,True,5,0.0003307899096631725,14.03448286373097
5,2020-01-27,0,70.40631655373898,7.302142732153749,True,6,0.00038955327636755444,14.03448286373097
6,2020-01-28,0,70.40631655373898,7.302142732153749,True,7,0.000458755367748749,14.03448286373097
7,2020-01-29,0,70.40631655373898,7.302142732153749,True,8,0.000540250392041559,14.03448286373097
8,2020-01-30,0,70.40631655373898,7.302142732153749,True,9,0.0006362218674328847,14.03448286373097
9,2020-01-31,0,70.40631655373898,7.302142732153749,True,10,0.0007492410889824421,14.03448286373097
10,2020-02-01,0,70.40631655373898,7.302142732153749,True,11,0.0008823359686356444,14.03448286373097
11,2020-02-02,0,70.40631655373898,7.302142732153749,True,12,0.0010390720858620642,14.03448286373097
12,2020-02-03,0,70.40631655373898,7.302142732153749,True,13,0.0012236481108615998,14.03448286373097
13,2020-02-04,0,70.40631655373898,7.302142732153749,True,14,0.001441008143536063,14.03448286373097
14,2020-02-05,0,70.40631655373898,7.302142732153749,True,15,0.0016969739593222675,14.03448286373097
15,2020-02-06,0,70.40631655373898,7.302142732153749,True,16,0.0019984006789430806,14.03448286373097
16,2020-02-07,0,70.40631655373898,7.302142732153749,True,17,0.0023533599964412283,14.03448286373097
17,2020-02-08,0,70.40631655373898,7.302142732153749,True,18,0.002771355823938917,14.03448286373097
18,2020-02-09,0,70.40631655373898,7.302142732153749,True,19,0.003263578060265692,14.03448286373097
19,2020-02-10,0,70.40631655373898,7.302142732153749,True,20,0.0038432011845102023,14.03448286373097
20,2020-02-11,0,70.40631655373898,7.302142732153749,True,21,0.004525735538335149,14.03448286373097
21,2020-02-12,0,70.40631655373898,7.302142732153749,True,22,0.0053294405195853664,14.03448286373097
22,2020-02-13,0,70.40631655373898,7.302142732153749,True,23,0.006275810495019964,14.03448286373097
23,2020-02-14,0,70.40631655373898,7.302142732153749,True,24,0.007390146086497755,14.03448286373097
24,2020-02-15,0,70.40631655373898,7.302142732153749,True,25,0.008702225631204374,14.03448286373097
25,2020-02-16,0,70.40631655373898,7.302142732153749,True,26,0.010247094104953112,14.03448286373097
26,2020-02-17,0,70.40631655373898,7.302142732153749,True,27,0.01206598967405801,14.03448286373097
27,2020-02-18,0,70.40631655373898,7.302142732153749,True,28,0.014207431354075997,14.03448286373097
28,2020-02-19,0,70.40631655373898,7.302142732153749,True,29,0.016728495051936066,14.03448286373097
29,2020-02-20,0,70.40631655373898,7.302142732153749,True,30,0.01969630959872794,14.03448286373097
30,2020-02-21,0,70.40631655373898,7.302142732153749,True,31,0.023189809284529236,14.03448286373097
31,2020-02-22,0,70.40631655373898,7.302142732153749,True,32,0.02730178491214454,14.03448286373097
32,2020-02-23,0,70.40631655373898,7.302142732153749,True,33,0.032141281499226675,14.03448286373097
33,2020-02-24,0,70.40631655373898,7.302142732153749,True,34,0.03783639744759526,14.03448286373097
34,2020-02-25,0,70.40631655373898,7.302142732153749,True,35,0.04453754717874739,14.03448286373097
35,2020-02-26,0,70.40631655373898,7.302142732153749,True,36,0.05242125673685559,14.03448286373097
36,2020-02-27,0,70.40631655373898,7.302142732153749,True,37,0.061694569395896806,14.03448286373097
37,2020-02-28,0,70.40631655373898,7.302142732153749,True,38,0.07260014541544425,14.03448286373097
38,2020-02-29,0,70.40631655373898,7.302142732153749,True,39,0.08542214606965322,14.03448286373097
39,2020-03-01,0,70.40631655373898,7.302142732153749,True,40,0.10049299589539873,14.03448286373097
40,2020-03-02,0,70.40631655373898,7.302142732153749,True,41,0.11820111729049367,14.03448286373097
41,2020-03-03,0,70.40631655373898,7.302142732153749,True,42,0.13899972606847352,14.03448286373097
42,2020-03-04,0,70.40631655373898,7.302142732153749,True,43,0.16341676249311451,14.03448286373097
43,2020-03-05,0,70.40631655373898,7.302142732153749,True,44,0.1920660058342489,14.03448286373097
44,2020-03-06,0,70.40631655373898,7.302142732153749,True,45,0.22565937654138013,14.03448286373097
45,2020-03-07,0,70.40631655373898,7.302142732153749,True,46,0.26502036219798525,14.03448286373097
46,2020-03-08,0,70.40631655373898,7.302142732153749,True,47,0.3110984033277487,14.03448286373097
47,2020-03-09,0,70.40631655373898,7.302142732153749,True,48,0.3649839330110978,14.03448286373097
48,2020-03-10,0,70.40631655373898,7.302142732153749,True,49,0.42792356880601345,14.03448286373097
49,2020-03-11,0,70.40631655373898,7.302142732153749,True,50,0.501334694573253,14.03448286373097
50,2020-03-12,0,70.40631655373898,7.302142732153749,True,51,0.586818332182942,14.03448286373097
51,2020-03-13,0,70.40631655373898,7.302142732153749,True,52,0.6861687809544139,14.03448286373097
52,2020-03-14,0,70.40631655373898,7.302142732153749,True,53,0.8013779962822984,14.03448286373097
