,Report_Date,West Bank and Gaza_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,110.17131307436111,4596.732252545463,False,1,0.10206063059207085,9193.464505090926
1,2020-01-23,0,110.17131307436111,4596.732252545463,False,2,0.11330304490613695,9193.464505090926
2,2020-01-24,0,110.17131307436111,4596.732252545463,False,3,0.12578384222429262,9193.464505090926
3,2020-01-25,0,110.17131307436111,4596.732252545463,False,4,0.13963942991814726,9193.464505090926
4,2020-01-26,0,110.17131307436111,4596.732252545463,False,5,0.1550212396589667,9193.464505090926
5,2020-01-27,0,110.17131307436111,4596.732252545463,False,6,0.17209738202439534,9193.464505090926
6,2020-01-28,0,110.17131307436111,4596.732252545463,False,7,0.19105448327541813,9193.464505090926
7,2020-01-29,0,110.17131307436111,4596.732252545463,False,8,0.21209972434879182,9193.464505090926
8,2020-01-30,0,110.17131307436111,4596.732252545463,False,9,0.23546310431319262,9193.464505090926
9,2020-01-31,0,110.17131307436111,4596.732252545463,False,10,0.26139995298184043,9193.464505090926
10,2020-02-01,0,110.17131307436111,4596.732252545463,False,11,0.290193720086694,9193.464505090926
11,2020-02-02,0,110.17131307436111,4596.732252545463,False,12,0.3221590714286364,9193.464505090926
12,2020-02-03,0,110.17131307436111,4596.732252545463,False,13,0.35764532575667696,9193.464505090926
13,2020-02-04,0,110.17131307436111,4596.732252545463,False,14,0.39704026983285146,9193.464505090926
14,2020-02-05,0,110.17131307436111,4596.732252545463,False,15,0.44077439324778617,9193.464505090926
15,2020-02-06,0,110.17131307436111,4596.732252545463,False,16,0.4893255891085853,9193.464505090926
16,2020-02-07,0,110.17131307436111,4596.732252545463,False,17,0.5432243717742636,9193.464505090926
17,2020-02-08,0,110.17131307436111,4596.732252545463,False,18,0.6030596684179036,9193.464505090926
18,2020-02-09,0,110.17131307436111,4596.732252545463,False,19,0.6694852474082614,9193.464505090926
19,2020-02-10,0,110.17131307436111,4596.732252545463,False,20,0.7432268533920153,9193.464505090926
20,2020-02-11,0,110.17131307436111,4596.732252545463,False,21,0.8250901265934043,9193.464505090926
21,2020-02-12,0,110.17131307436111,4596.732252545463,False,22,0.9159693923101917,9193.464505090926
22,2020-02-13,0,110.17131307436111,4596.732252545463,False,23,1.016857415961437,9193.464505090926
23,2020-02-14,0,110.17131307436111,4596.732252545463,False,24,1.1288562294300242,9193.464505090926
24,2020-02-15,0,110.17131307436111,4596.732252545463,False,25,1.2531891459476163,9193.464505090926
25,2020-02-16,0,110.17131307436111,4596.732252545463,False,26,1.3912140935083879,9193.464505090926
26,2020-02-17,0,110.17131307436111,4596.732252545463,False,27,1.5444384108988476,9193.464505090926
27,2020-02-18,0,110.17131307436111,4596.732252545463,False,28,1.7145352660347886,9193.464505090926
28,2020-02-19,0,110.17131307436111,4596.732252545463,False,29,1.9033618735567541,9193.464505090926
29,2020-02-20,0,110.17131307436111,4596.732252545463,False,30,2.1129797077204966,9193.464505090926
30,2020-02-21,0,110.17131307436111,4596.732252545463,False,31,2.34567692771196,9193.464505090926
31,2020-02-22,0,110.17131307436111,4596.732252545463,False,32,2.60399325581672,9193.464505090926
32,2020-02-23,0,110.17131307436111,4596.732252545463,False,33,2.8907475745979125,9193.464505090926
33,2020-02-24,0,110.17131307436111,4596.732252545463,False,34,3.2090685376183137,9193.464505090926
34,2020-02-25,0,110.17131307436111,4596.732252545463,False,35,3.5624285195335785,9193.464505090926
35,2020-02-26,0,110.17131307436111,4596.732252545463,False,36,3.9546812658552213,9193.464505090926
36,2020-02-27,0,110.17131307436111,4596.732252545463,False,37,4.390103640622445,9193.464505090926
37,2020-02-28,0,110.17131307436111,4596.732252545463,False,38,4.873441911938144,9193.464505090926
38,2020-02-29,0,110.17131307436111,4596.732252545463,False,39,5.409963061139137,9193.464505090926
39,2020-03-01,0,110.17131307436111,4596.732252545463,False,40,6.005511651621255,9193.464505090926
40,2020-03-02,0,110.17131307436111,4596.732252545463,False,41,6.666572848375116,9193.464505090926
41,2020-03-03,0,110.17131307436111,4596.732252545463,False,42,7.400342239462398,9193.464505090926
42,2020-03-04,0,110.17131307436111,4596.732252545463,False,43,8.214803176330971,9193.464505090926
43,2020-03-05,4,110.17131307436111,4596.732252545463,False,44,9.118812421375726,9193.464505090926
44,2020-03-06,7,110.17131307436111,4596.732252545463,False,45,10.122194968826056,9193.464505090926
45,2020-03-07,16,110.17131307436111,4596.732252545463,False,46,11.235848989171009,9193.464505090926
46,2020-03-08,16,110.17131307436111,4596.732252545463,False,47,12.471861938153209,9193.464505090926
47,2020-03-09,19,110.17131307436111,4596.732252545463,False,48,13.843638969026,9193.464505090926
48,2020-03-10,26,110.17131307436111,4596.732252545463,False,49,15.366044891317125,9193.464505090926
49,2020-03-11,30,110.17131307436111,4596.732252545463,False,50,17.055561030661572,9193.464505090926
50,2020-03-12,30,110.17131307436111,4596.732252545463,False,51,18.93045846204166,9193.464505090926
51,2020-03-13,31,110.17131307436111,4596.732252545463,False,52,21.010989212417766,9193.464505090926
52,2020-03-14,35,110.17131307436111,4596.732252545463,False,53,23.319597157318512,9193.464505090926
53,2020-03-15,38,110.17131307436111,4596.732252545463,False,54,25.88115046811393,9193.464505090926
54,2020-03-16,38,110.17131307436111,4596.732252545463,False,55,28.723197600483907,9193.464505090926
55,2020-03-17,39,110.17131307436111,4596.732252545463,False,56,31.876248947383555,9193.464505090926
56,2020-03-18,41,110.17131307436111,4596.732252545463,False,57,35.3740864080808,9193.464505090926
