,Report_Date,Bangladesh_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.34409376694376,37.489419493437985,True,1,0.0008966866982527699,72.81698159904217
1,2020-01-23,0,64.34409376694376,37.489419493437985,True,2,0.0010723755895503545,72.81698159904217
2,2020-01-24,0,64.34409376694376,37.489419493437985,True,3,0.001282486825482954,72.81698159904217
3,2020-01-25,0,64.34409376694376,37.489419493437985,True,4,0.0015337644482845032,72.81698159904217
4,2020-01-26,0,64.34409376694376,37.489419493437985,True,5,0.0018342736871769644,72.81698159904217
5,2020-01-27,0,64.34409376694376,37.489419493437985,True,6,0.0021936597377109923,72.81698159904217
6,2020-01-28,0,64.34409376694376,37.489419493437985,True,7,0.002623457207735417,72.81698159904217
7,2020-01-29,0,64.34409376694376,37.489419493437985,True,8,0.003137460141376789,72.81698159904217
8,2020-01-30,0,64.34409376694376,37.489419493437985,True,9,0.003752164467533555,72.81698159904217
9,2020-01-31,0,64.34409376694376,37.489419493437985,True,10,0.0044872970307222705,72.81698159904217
10,2020-02-01,0,64.34409376694376,37.489419493437985,True,11,0.005366448122100994,72.81698159904217
11,2020-02-02,0,64.34409376694376,37.489419493437985,True,12,0.006417827723233644,72.81698159904217
12,2020-02-03,0,64.34409376694376,37.489419493437985,True,13,0.007675169606835744,72.81698159904217
13,2020-02-04,0,64.34409376694376,37.489419493437985,True,14,0.009178812128454469,72.81698159904217
14,2020-02-05,0,64.34409376694376,37.489419493437985,True,15,0.01097699013402202,72.81698159904217
15,2020-02-06,0,64.34409376694376,37.489419493437985,True,16,0.013127379069515183,72.81698159904217
16,2020-02-07,0,64.34409376694376,37.489419493437985,True,17,0.01569894030947256,72.81698159904217
17,2020-02-08,0,64.34409376694376,37.489419493437985,True,18,0.018774126154131158,72.81698159904217
18,2020-02-09,0,64.34409376694376,37.489419493437985,True,19,0.022451514152822972,72.81698159904217
19,2020-02-10,0,64.34409376694376,37.489419493437985,True,20,0.026848953710354388,72.81698159904217
20,2020-02-11,0,64.34409376694376,37.489419493437985,True,21,0.032107323688278684,72.81698159904217
21,2020-02-12,0,64.34409376694376,37.489419493437985,True,22,0.038395018341555176,72.81698159904217
22,2020-02-13,0,64.34409376694376,37.489419493437985,True,23,0.045913300904913704,72.81698159904217
23,2020-02-14,0,64.34409376694376,37.489419493437985,True,24,0.05490268998792261,72.81698159904217
24,2020-02-15,0,64.34409376694376,37.489419493437985,True,25,0.06565057422692475,72.81698159904217
25,2020-02-16,0,64.34409376694376,37.489419493437985,True,26,0.0785002859837165,72.81698159904217
26,2020-02-17,0,64.34409376694376,37.489419493437985,True,27,0.09386190589186588,72.81698159904217
27,2020-02-18,0,64.34409376694376,37.489419493437985,True,28,0.11222511731339324,72.81698159904217
28,2020-02-19,0,64.34409376694376,37.489419493437985,True,29,0.13417448375648683,72.81698159904217
29,2020-02-20,0,64.34409376694376,37.489419493437985,True,30,0.1604075832779236,72.81698159904217
30,2020-02-21,0,64.34409376694376,37.489419493437985,True,31,0.19175650172792338,72.81698159904217
31,2020-02-22,0,64.34409376694376,37.489419493437985,True,32,0.22921326063710126,72.81698159904217
32,2020-02-23,0,64.34409376694376,37.489419493437985,True,33,0.27395983385489286,72.81698159904217
33,2020-02-24,0,64.34409376694376,37.489419493437985,True,34,0.3274034864884032,72.81698159904217
34,2020-02-25,0,64.34409376694376,37.489419493437985,True,35,0.39121824480628503,72.81698159904217
35,2020-02-26,0,64.34409376694376,37.489419493437985,True,36,0.46739336790238645,72.81698159904217
36,2020-02-27,0,64.34409376694376,37.489419493437985,True,37,0.5582897278443988,72.81698159904217
37,2020-02-28,0,64.34409376694376,37.489419493437985,True,38,0.6667049952151545,72.81698159904217
38,2020-02-29,0,64.34409376694376,37.489419493437985,True,39,0.795948443211368,72.81698159904217
39,2020-03-01,0,64.34409376694376,37.489419493437985,True,40,0.9499259861469688,72.81698159904217
40,2020-03-02,0,64.34409376694376,37.489419493437985,True,41,1.1332357028612243,72.81698159904217
41,2020-03-03,0,64.34409376694376,37.489419493437985,True,42,1.3512734893264007,72.81698159904217
42,2020-03-04,0,64.34409376694376,37.489419493437985,True,43,1.6103475432802627,72.81698159904217
43,2020-03-05,0,64.34409376694376,37.489419493437985,True,44,1.9177989893552378,72.81698159904217
44,2020-03-06,0,64.34409376694376,37.489419493437985,True,45,2.2821239671561453,72.81698159904217
45,2020-03-07,0,64.34409376694376,37.489419493437985,True,46,2.7130897763320325,72.81698159904217
46,2020-03-08,3,64.34409376694376,37.489419493437985,True,47,3.221834060903331,72.81698159904217
47,2020-03-09,3,64.34409376694376,37.489419493437985,True,48,3.8209314300702273,72.81698159904217
48,2020-03-10,3,64.34409376694376,37.489419493437985,True,49,4.52440638563812,72.81698159904217
49,2020-03-11,3,64.34409376694376,37.489419493437985,True,50,5.347665216275291,72.81698159904217
50,2020-03-12,3,64.34409376694376,37.489419493437985,True,51,6.307313260594902,72.81698159904217
51,2020-03-13,3,64.34409376694376,37.489419493437985,True,52,7.420818821187111,72.81698159904217
52,2020-03-14,3,64.34409376694376,37.489419493437985,True,53,8.705982936463757,72.81698159904217
53,2020-03-15,5,64.34409376694376,37.489419493437985,True,54,10.180177886091688,72.81698159904217
54,2020-03-16,8,64.34409376694376,37.489419493437985,True,55,11.859330049483459,72.81698159904217
55,2020-03-17,10,64.34409376694376,37.489419493437985,True,56,13.756647928378595,72.81698159904217
56,2020-03-18,14,64.34409376694376,37.489419493437985,True,57,15.881136007897052,72.81698159904217
57,2020-03-19,17,64.34409376694376,37.489419493437985,True,58,18.235988921214034,72.81698159904217
58,2020-03-20,20,64.34409376694376,37.489419493437985,True,59,20.817022281110816,72.81698159904217
59,2020-03-21,25,64.34409376694376,37.489419493437985,True,60,23.61135414795829,72.81698159904217
60,2020-03-22,27,64.34409376694376,37.489419493437985,True,61,26.596585944910355,72.81698159904217
61,2020-03-23,33,64.34409376694376,37.489419493437985,True,62,29.740723054664944,72.81698159904217
62,2020-03-24,39,64.34409376694376,37.489419493437985,True,63,33.00300805914073,72.81698159904217
63,2020-03-25,39,64.34409376694376,37.489419493437985,True,64,36.33571290125439,72.81698159904217
64,2020-03-26,44,64.34409376694376,37.489419493437985,True,65,39.68677036708364,72.81698159904217
65,2020-03-27,48,64.34409376694376,37.489419493437985,True,66,43.00295977677018,72.81698159904217
66,2020-03-28,48,64.34409376694376,37.489419493437985,True,67,46.23324392589765,72.81698159904217
67,2020-03-29,48,64.34409376694376,37.489419493437985,True,68,49.33182109330647,72.81698159904217
68,2020-03-30,49,64.34409376694376,37.489419493437985,True,69,52.260518153849844,72.81698159904217
69,2020-03-31,51,64.34409376694376,37.489419493437985,True,70,54.990288368436154,72.81698159904217
70,2020-04-01,54,64.34409376694376,37.489419493437985,True,71,57.50174808870835,72.81698159904217
71,2020-04-02,56,64.34409376694376,37.489419493437985,True,72,59.784843749779775,72.81698159904217
72,2020-04-03,61,64.34409376694376,37.489419493437985,True,73,61.83784980931738,72.81698159904217
73,2020-04-04,70,64.34409376694376,37.489419493437985,True,74,63.66594632786208,72.81698159904217
