,Report_Date,Panama_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,98.06946684556412,6095.35329206529,True,1,7.345956186996558,11639.311919956002
1,2020-01-23,0,0,98.06946684556412,6095.35329206529,True,2,7.928605083882907,11639.311919956002
2,2020-01-24,0,0,98.06946684556412,6095.35329206529,True,3,8.557434666065767,11639.311919956002
3,2020-01-25,0,0,98.06946684556412,6095.35329206529,True,4,9.236099856833981,11639.311919956002
4,2020-01-26,0,0,98.06946684556412,6095.35329206529,True,5,9.968543962118469,11639.311919956002
5,2020-01-27,0,0,98.06946684556412,6095.35329206529,True,6,10.759021279067086,11639.311919956002
6,2020-01-28,0,0,98.06946684556412,6095.35329206529,True,7,11.61212145305573,11639.311919956002
7,2020-01-29,0,0,98.06946684556412,6095.35329206529,True,8,12.532795714371233,11639.311919956002
8,2020-01-30,0,0,98.06946684556412,6095.35329206529,True,9,13.526385134987054,11639.311919956002
9,2020-01-31,0,0,98.06946684556412,6095.35329206529,True,10,14.598651055567066,11639.311919956002
10,2020-02-01,0,0,98.06946684556412,6095.35329206529,True,11,15.755807843086306,11639.311919956002
11,2020-02-02,0,0,98.06946684556412,6095.35329206529,True,12,17.004558150255576,11639.311919956002
12,2020-02-03,0,0,98.06946684556412,6095.35329206529,True,13,18.352130859279402,11639.311919956002
13,2020-02-04,0,0,98.06946684556412,6095.35329206529,True,14,19.80632190435751,11639.311919956002
14,2020-02-05,0,0,98.06946684556412,6095.35329206529,True,15,21.375538179743558,11639.311919956002
15,2020-02-06,0,0,98.06946684556412,6095.35329206529,True,16,23.068844753076036,11639.311919956002
16,2020-02-07,0,0,98.06946684556412,6095.35329206529,True,17,24.89601561705739,11639.311919956002
17,2020-02-08,0,0,98.06946684556412,6095.35329206529,True,18,26.867588226326607,11639.311919956002
18,2020-02-09,0,0,98.06946684556412,6095.35329206529,True,19,28.99492208047597,11639.311919956002
19,2020-02-10,0,0,98.06946684556412,6095.35329206529,True,20,31.290261628514937,11639.311919956002
20,2020-02-11,0,0,98.06946684556412,6095.35329206529,True,21,33.76680378456415,11639.311919956002
21,2020-02-12,0,0,98.06946684556412,6095.35329206529,True,22,36.43877035902544,11639.311919956002
22,2020-02-13,0,0,98.06946684556412,6095.35329206529,True,23,39.321485723737105,11639.311919956002
23,2020-02-14,0,0,98.06946684556412,6095.35329206529,True,24,42.43146004346535,11639.311919956002
24,2020-02-15,0,0,98.06946684556412,6095.35329206529,True,25,45.786478419231464,11639.311919956002
25,2020-02-16,0,0,98.06946684556412,6095.35329206529,True,26,49.40569630110521,11639.311919956002
26,2020-02-17,0,0,98.06946684556412,6095.35329206529,True,27,53.30974153881536,11639.311919956002
27,2020-02-18,0,0,98.06946684556412,6095.35329206529,True,28,57.52082344737431,11639.311919956002
28,2020-02-19,0,0,98.06946684556412,6095.35329206529,True,29,62.06284927133295,11639.311919956002
