,Report_Date,Panama_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
29,2020-02-20,0,0,98.06946684556412,6095.35329206529,True,30,66.96154843462502,11639.311919956002
30,2020-02-21,0,0,98.06946684556412,6095.35329206529,True,31,72.24460496246323,11639.311919956002
31,2020-02-22,0,0,98.06946684556412,6095.35329206529,True,32,77.94179845652455,11639.311919956002
32,2020-02-23,0,0,98.06946684556412,6095.35329206529,True,33,84.08515399366802,11639.311919956002
33,2020-02-24,0,0,98.06946684556412,6095.35329206529,True,34,90.70910130047356,11639.311919956002
34,2020-02-25,0,0,98.06946684556412,6095.35329206529,True,35,97.850643529583,11639.311919956002
35,2020-02-26,0,0,98.06946684556412,6095.35329206529,True,36,105.54953592758264,11639.311919956002
36,2020-02-27,0,0,98.06946684556412,6095.35329206529,True,37,113.8484746361758,11639.311919956002
37,2020-02-28,0,0,98.06946684556412,6095.35329206529,True,38,122.79329580658364,11639.311919956002
38,2020-02-29,0,0,98.06946684556412,6095.35329206529,True,39,132.43318512915687,11639.311919956002
39,2020-03-01,0,0,98.06946684556412,6095.35329206529,True,40,142.82089778344,11639.311919956002
40,2020-03-02,0,0,98.06946684556412,6095.35329206529,True,41,154.01298869546585,11639.311919956002
41,2020-03-03,0,0,98.06946684556412,6095.35329206529,True,42,166.07005284559966,11639.311919956002
42,2020-03-04,0,0,98.06946684556412,6095.35329206529,True,43,179.05697519817582,11639.311919956002
43,2020-03-05,0,0,98.06946684556412,6095.35329206529,True,44,193.04318961953277,11639.311919956002
44,2020-03-06,0,0,98.06946684556412,6095.35329206529,True,45,208.10294590954692,11639.311919956002
45,2020-03-07,0,0,98.06946684556412,6095.35329206529,True,46,224.31558378879203,11639.311919956002
46,2020-03-08,0,0,98.06946684556412,6095.35329206529,True,47,241.76581235413437,11639.311919956002
47,2020-03-09,0,0,98.06946684556412,6095.35329206529,True,48,260.5439931348125,11639.311919956002
48,2020-03-10,1,1,98.06946684556412,6095.35329206529,True,49,280.74642444367663,11639.311919956002
49,2020-03-11,8,7,98.06946684556412,6095.35329206529,True,50,302.47562421907696,11639.311919956002
50,2020-03-12,11,10,98.06946684556412,6095.35329206529,True,51,325.8406079869715,11639.311919956002
51,2020-03-13,27,26,98.06946684556412,6095.35329206529,True,52,350.9571579356359,11639.311919956002
52,2020-03-14,36,35,98.06946684556412,6095.35329206529,True,53,377.9480783831701,11639.311919956002
53,2020-03-15,43,42,98.06946684556412,6095.35329206529,True,54,406.94343212821275,11639.311919956002
54,2020-03-16,55,54,98.06946684556412,6095.35329206529,True,55,438.0807513058952,11639.311919956002
55,2020-03-17,69,68,98.06946684556412,6095.35329206529,True,56,471.50521542533977,11639.311919956002
56,2020-03-18,86,85,98.06946684556412,6095.35329206529,True,57,507.3697882460218,11639.311919956002
57,2020-03-19,109,108,98.06946684556412,6095.35329206529,True,58,545.8353040659005,11639.311919956002
58,2020-03-20,137,136,98.06946684556412,6095.35329206529,True,59,587.0704928567536,11639.311919956002
59,2020-03-21,200,199,98.06946684556412,6095.35329206529,True,60,631.251932509744,11639.311919956002
60,2020-03-22,313,310,98.06946684556412,6095.35329206529,True,61,678.5639152716873,11639.311919956002
61,2020-03-23,345,339,98.06946684556412,6095.35329206529,True,62,729.1982142925717,11639.311919956002
62,2020-03-24,345,338,98.06946684556412,6095.35329206529,True,63,783.3537351095956,11639.311919956002
63,2020-03-25,443,434,98.06946684556412,6095.35329206529,True,64,841.2360359145238,11639.311919956002
64,2020-03-26,558,548,98.06946684556412,6095.35329206529,True,65,903.0566996531546,11639.311919956002
65,2020-03-27,674,663,98.06946684556412,6095.35329206529,True,66,969.0325404636283,11639.311919956002
66,2020-03-28,786,770,98.06946684556412,6095.35329206529,True,67,1039.3846267621238,11639.311919956002
67,2020-03-29,901,880,98.06946684556412,6095.35329206529,True,68,1114.3371035298903,11639.311919956002
68,2020-03-30,989,961,98.06946684556412,6095.35329206529,True,69,1194.1157971549708,11639.311919956002
69,2020-03-31,1181,1142,98.06946684556412,6095.35329206529,True,70,1278.9465876541897,11639.311919956002
70,2020-04-01,1181,1142,98.06946684556412,6095.35329206529,True,71,1369.0535353692007,11639.311919956002
71,2020-04-02,1317,1276,98.06946684556412,6095.35329206529,True,72,1464.6567524172249,11639.311919956002
72,2020-04-03,1475,1428,98.06946684556412,6095.35329206529,True,73,1565.9700133968233,11639.311919956002
73,2020-04-04,1673,1619,98.06946684556412,6095.35329206529,True,74,1673.1981051990012,11639.311919956002
74,2020-04-05,1801,1742,98.06946684556412,6095.35329206529,True,75,1786.5339223227322,11639.311919956002
75,2020-04-06,1988,1921,98.06946684556412,6095.35329206529,True,76,1906.1553218689849,11639.311919956002
76,2020-04-07,2100,2031,98.06946684556412,6095.35329206529,True,77,2032.2217613602847,11639.311919956002
77,2020-04-08,2249,2174,98.06946684556412,6095.35329206529,True,78,2164.870752604842,11639.311919956002
78,2020-04-09,2528,2449,98.06946684556412,6095.35329206529,True,79,2304.21417581163,11639.311919956002
79,2020-04-10,2752,2670,98.06946684556412,6095.35329206529,True,80,2450.334509784939,11639.311919956002
80,2020-04-11,2974,2883,98.06946684556412,6095.35329206529,True,81,2603.2810458975105,11639.311919956002
81,2020-04-12,3234,3132,98.06946684556412,6095.35329206529,True,82,2763.0661651662995,11639.311919956002
82,2020-04-13,3400,3284,98.06946684556412,6095.35329206529,True,83,2929.661768537492,11639.311919956002
83,2020-04-14,3472,3317,98.06946684556412,6095.35329206529,True,84,3102.9959597441893,11639.311919956002
84,2020-04-15,3574,3407,98.06946684556412,6095.35329206529,True,85,3282.950087087816,11639.311919956002
85,2020-04-16,3751,3573,98.06946684556412,6095.35329206529,True,86,3469.3562544488213,11639.311919956002
86,2020-04-17,4016,3809,98.06946684556412,6095.35329206529,True,87,3661.9954120204484,11639.311919956002
87,2020-04-18,4210,3972,98.06946684556412,6095.35329206529,True,88,3860.5961330385658,11639.311919956002
88,2020-04-19,4273,4013,98.06946684556412,6095.35329206529,True,89,4064.8341736655184,11639.311919956002
89,2020-04-20,4467,4176,98.06946684556412,6095.35329206529,True,90,4274.332898915683,11639.311919956002
90,2020-04-21,4658,4318,98.06946684556412,6095.35329206529,True,91,4488.66463810732,11639.311919956002
91,2020-04-22,4821,4449,98.06946684556412,6095.35329206529,True,92,4707.353009142587,11639.311919956002
92,2020-04-23,5166,4749,98.06946684556412,6095.35329206529,True,93,4929.8762226613235,11639.311919956002
93,2020-04-24,5338,4865,98.06946684556412,6095.35329206529,True,94,5155.671345840862,11639.311919956002
94,2020-04-25,5538,5041,98.06946684556412,6095.35329206529,True,95,5384.1394726913795,11639.311919956002
95,2020-04-26,5779,5276,98.06946684556412,6095.35329206529,True,96,5614.651714733308,11639.311919956002
96,2020-04-27,6021,5399,98.06946684556412,6095.35329206529,True,97,5846.555894689863,11639.311919956002
97,2020-04-28,6021,5399,98.06946684556412,6095.35329206529,True,98,6079.183798047941,11639.311919956002
98,2020-04-29,6378,5673,98.06946684556412,6095.35329206529,True,99,6311.858814679054,11639.311919956002
99,2020-04-30,6532,5768,98.06946684556412,6095.35329206529,True,100,6543.90378655591,11639.311919956002
100,2020-05-01,6720,5906,98.06946684556412,6095.35329206529,True,101,6774.648868963889,11639.311919956002
101,2020-05-02,7090,6252,98.06946684556412,6095.35329206529,True,102,7003.439212038641,11639.311919956002
102,2020-05-03,7090,6252,98.06946684556412,6095.35329206529,True,103,7229.642276998128,11639.311919956002
103,2020-05-04,7197,6356,98.06946684556412,6095.35329206529,True,104,7452.654616599527,11639.311919956002
104,2020-05-05,7523,6490,98.06946684556412,6095.35329206529,True,105,7671.907971184892,11639.311919956002
105,2020-05-06,7731,6654,98.06946684556412,6095.35329206529,True,106,7886.874558841966,11639.311919956002
106,2020-05-07,7868,6757,98.06946684556412,6095.35329206529,True,107,8097.071469081831,11639.311919956002
107,2020-05-08,8070,6953,98.06946684556412,6095.35329206529,True,108,8302.06410226687,11639.311919956002
108,2020-05-09,8282,3544,98.06946684556412,6095.35329206529,True,109,8501.468630051366,11639.311919956002
109,2020-05-10,8448,3517,98.06946684556412,6095.35329206529,True,110,8694.953483688061,11639.311919956002
110,2020-05-11,8616,3680,98.06946684556412,6095.35329206529,True,111,8882.239905799946,11639.311919956002
111,2020-05-12,8783,2510,98.06946684556412,6095.35329206529,True,112,9063.10162601573,11639.311919956002
112,2020-05-13,8944,2621,98.06946684556412,6095.35329206529,True,113,9237.363740963618,11639.311919956002
113,2020-05-14,9118,2778,98.06946684556412,6095.35329206529,True,114,9404.900894109835,11639.311919956002
114,2020-05-15,9268,2922,98.06946684556412,6095.35329206529,True,115,9565.634860749808,11639.311919956002
115,2020-05-16,9449,3100,98.06946684556412,6095.35329206529,True,116,9719.531648336098,11639.311919956002
116,2020-05-17,9606,3250,98.06946684556412,6095.35329206529,True,117,9866.598222715978,11639.311919956002
117,2020-05-18,9726,3366,98.06946684556412,6095.35329206529,True,118,10006.878967377697,11639.311919956002
118,2020-05-19,9867,3392,98.06946684556412,6095.35329206529,True,119,10140.4519761928,11639.311919956002
119,2020-05-20,9977,3496,98.06946684556412,6095.35329206529,True,120,10267.425271154862,11639.311919956002
120,2020-05-21,10116,3580,98.06946684556412,6095.35329206529,True,121,10387.933026001794,11639.311919956002
121,2020-05-22,10267,3697,98.06946684556412,6095.35329206529,True,122,10502.131865063204,11639.311919956002
122,2020-05-23,10577,3999,98.06946684556412,6095.35329206529,True,123,10610.197294805681,11639.311919956002
123,2020-05-24,10926,4341,98.06946684556412,6095.35329206529,True,124,10712.320313866874,11639.311919956002
124,2020-05-25,11183,4594,98.06946684556412,6095.35329206529,True,125,10808.704236274374,11639.311919956002
125,2020-05-26,11447,4755,98.06946684556412,6095.35329206529,True,126,10899.561752333238,11639.311919956002
126,2020-05-27,11728,4034,98.06946684556412,6095.35329206529,True,127,10985.112242532756,11639.311919956002
127,2020-05-28,12131,4432,98.06946684556412,6095.35329206529,True,128,11065.57935187828,11639.311919956002
