,Report_Date,Turkey_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,87.05220936925275,74876.45726584172,True,1,3.919294692012267,149219.36881423971
1,2020-01-23,0,87.05220936925275,74876.45726584172,True,2,4.4305229848734555,149219.36881423971
2,2020-01-24,0,87.05220936925275,74876.45726584172,True,3,5.008433078116117,149219.36881423971
3,2020-01-25,0,87.05220936925275,74876.45726584172,True,4,5.661721958428274,149219.36881423971
4,2020-01-26,0,87.05220936925275,74876.45726584172,True,5,6.400220746439653,149219.36881423971
5,2020-01-27,0,87.05220936925275,74876.45726584172,True,6,7.235042546041323,149219.36881423971
6,2020-01-28,0,87.05220936925275,74876.45726584172,True,7,8.178749554514324,149219.36881423971
7,2020-01-29,0,87.05220936925275,74876.45726584172,True,8,9.245541938938528,149219.36881423971
8,2020-01-30,0,87.05220936925275,74876.45726584172,True,9,10.451471309240063,149219.36881423971
9,2020-01-31,0,87.05220936925275,74876.45726584172,True,10,11.814681984965144,149219.36881423971
10,2020-02-01,0,87.05220936925275,74876.45726584172,True,11,13.355683666748998,149219.36881423971
11,2020-02-02,0,87.05220936925275,74876.45726584172,True,12,15.097659590441234,149219.36881423971
12,2020-02-03,0,87.05220936925275,74876.45726584172,True,13,17.066814768638345,149219.36881423971
13,2020-02-04,0,87.05220936925275,74876.45726584172,True,14,19.292769518449987,149219.36881423971
14,2020-02-05,0,87.05220936925275,74876.45726584172,True,15,21.809004144068645,149219.36881423971
15,2020-02-06,0,87.05220936925275,74876.45726584172,True,16,24.653361397486936,149219.36881423971
16,2020-02-07,0,87.05220936925275,74876.45726584172,True,17,27.868614190958567,149219.36881423971
17,2020-02-08,0,87.05220936925275,74876.45726584172,True,18,31.5031069921575,149219.36881423971
18,2020-02-09,0,87.05220936925275,74876.45726584172,True,19,35.61148041037368,149219.36881423971
19,2020-02-10,0,87.05220936925275,74876.45726584172,True,20,40.2554896938068,149219.36881423971
20,2020-02-11,0,87.05220936925275,74876.45726584172,True,21,45.50492921988959,149219.36881423971
21,2020-02-12,0,87.05220936925275,74876.45726584172,True,22,51.438676589990365,149219.36881423971
22,2020-02-13,0,87.05220936925275,74876.45726584172,True,23,58.14587165587527,149219.36881423971
23,2020-02-14,0,87.05220936925275,74876.45726584172,True,24,65.72724772874193,149219.36881423971
24,2020-02-15,0,87.05220936925275,74876.45726584172,True,25,74.29663437498687,149219.36881423971
25,2020-02-16,0,87.05220936925275,74876.45726584172,True,26,83.98265361035568,149219.36881423971
26,2020-02-17,0,87.05220936925275,74876.45726584172,True,27,94.93063399153775,149219.36881423971
27,2020-02-18,0,87.05220936925275,74876.45726584172,True,28,107.30477009875082,149219.36881423971
28,2020-02-19,0,87.05220936925275,74876.45726584172,True,29,121.29055823254787,149219.36881423971
29,2020-02-20,0,87.05220936925275,74876.45726584172,True,30,137.09754284152038,149219.36881423971
30,2020-02-21,0,87.05220936925275,74876.45726584172,True,31,154.96241228294312,149219.36881423971
31,2020-02-22,0,87.05220936925275,74876.45726584172,True,32,175.15248702232452,149219.36881423971
32,2020-02-23,0,87.05220936925275,74876.45726584172,True,33,197.96964832380726,149219.36881423971
