,Report_Date,Canada_new brunswick_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.69683467296373,102.37042259560671,True,1,0.0023885628087358035,170.00378019556322
1,2020-01-23,0,74.69683467296373,102.37042259560671,True,2,0.0027865899224910665,170.00378019556322
2,2020-01-24,0,74.69683467296373,102.37042259560671,True,3,0.0032509427226138318,170.00378019556322
3,2020-01-25,0,74.69683467296373,102.37042259560671,True,4,0.003792673082642533,170.00378019556322
4,2020-01-26,0,74.69683467296373,102.37042259560671,True,5,0.004424674316589593,170.00378019556322
5,2020-01-27,0,74.69683467296373,102.37042259560671,True,6,0.00516198794640708,170.00378019556322
6,2020-01-28,0,74.69683467296373,102.37042259560671,True,7,0.006022161556265282,170.00378019556322
7,2020-01-29,0,74.69683467296373,102.37042259560671,True,8,0.007025666234807371,170.00378019556322
8,2020-01-30,0,74.69683467296373,102.37042259560671,True,9,0.008196383518856239,170.00378019556322
9,2020-01-31,0,74.69683467296373,102.37042259560671,True,10,0.009562173398149184,170.00378019556322
10,2020-02-01,0,74.69683467296373,102.37042259560671,True,11,0.011155536858957432,170.00378019556322
11,2020-02-02,0,74.69683467296373,102.37042259560671,True,12,0.013014388679500019,170.00378019556322
12,2020-02-03,0,74.69683467296373,102.37042259560671,True,13,0.015182958793628866,170.00378019556322
13,2020-02-04,0,74.69683467296373,102.37042259560671,True,14,0.01771284357133453,170.00378019556322
14,2020-02-05,0,74.69683467296373,102.37042259560671,True,15,0.020664231894675145,170.00378019556322
15,2020-02-06,0,74.69683467296373,102.37042259560671,True,16,0.024107335016122555,170.00378019556322
16,2020-02-07,0,74.69683467296373,102.37042259560671,True,17,0.02812405396585135,170.00378019556322
17,2020-02-08,0,74.69683467296373,102.37042259560671,True,18,0.032809923832151415,170.00378019556322
18,2020-02-09,0,74.69683467296373,102.37042259560671,True,19,0.03827638069798367,170.00378019556322
19,2020-02-10,0,74.69683467296373,102.37042259560671,True,20,0.04465340451791716,170.00378019556322
20,2020-02-11,0,74.69683467296373,102.37042259560671,True,21,0.052092599924782663,170.00378019556322
21,2020-02-12,0,74.69683467296373,102.37042259560671,True,22,0.06077078704838211,170.00378019556322
22,2020-02-13,0,74.69683467296373,102.37042259560671,True,23,0.07089418611825847,170.00378019556322
23,2020-02-14,0,74.69683467296373,102.37042259560671,True,24,0.08270329314432394,170.00378019556322
24,2020-02-15,0,74.69683467296373,102.37042259560671,True,25,0.09647855958683214,170.00378019556322
25,2020-02-16,0,74.69683467296373,102.37042259560671,True,26,0.11254700693365097,170.00378019556322
26,2020-02-17,0,74.69683467296373,102.37042259560671,True,27,0.1312899278196504,170.00378019556322
27,2020-02-18,0,74.69683467296373,102.37042259560671,True,28,0.15315184909827495,170.00378019556322
28,2020-02-19,0,74.69683467296373,102.37042259560671,True,29,0.1786509594782687,170.00378019556322
29,2020-02-20,0,74.69683467296373,102.37042259560671,True,30,0.2083912353501918,170.00378019556322
30,2020-02-21,0,74.69683467296373,102.37042259560671,True,31,0.24307653362549964,170.00378019556322
31,2020-02-22,0,74.69683467296373,102.37042259560671,True,32,0.2835269601460313,170.00378019556322
32,2020-02-23,0,74.69683467296373,102.37042259560671,True,33,0.33069786678144525,170.00378019556322
33,2020-02-24,0,74.69683467296373,102.37042259560671,True,34,0.38570187988960497,170.00378019556322
34,2020-02-25,0,74.69683467296373,102.37042259560671,True,35,0.4498344173547106,170.00378019556322
35,2020-02-26,0,74.69683467296373,102.37042259560671,True,36,0.524603210632275,170.00378019556322
36,2020-02-27,0,74.69683467296373,102.37042259560671,True,37,0.611762411374612,170.00378019556322
37,2020-02-28,0,74.69683467296373,102.37042259560671,True,38,0.71335192790769,170.00378019556322
38,2020-02-29,0,74.69683467296373,102.37042259560671,True,39,0.8317427028028225,170.00378019556322
39,2020-03-01,0,74.69683467296373,102.37042259560671,True,40,0.9696887055021438,170.00378019556322
40,2020-03-02,0,74.69683467296373,102.37042259560671,True,41,1.1303864681584592,170.00378019556322
41,2020-03-03,0,74.69683467296373,102.37042259560671,True,42,1.3175430309473333,170.00378019556322
42,2020-03-04,0,74.69683467296373,102.37042259560671,True,43,1.5354531743980748,170.00378019556322
43,2020-03-05,0,74.69683467296373,102.37042259560671,True,44,1.7890867859757953,170.00378019556322
44,2020-03-06,0,74.69683467296373,102.37042259560671,True,45,2.0841871161488092,170.00378019556322
