,Report_Date,Azerbaijan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,124.3371476509239,4121.811649281989,True,1,13.097820837301564,5533.361681878122
1,2020-01-23,0,0,124.3371476509239,4121.811649281989,True,2,13.79906560749046,5533.361681878122
2,2020-01-24,0,0,124.3371476509239,4121.811649281989,True,3,14.537788035481048,5533.361681878122
3,2020-01-25,0,0,124.3371476509239,4121.811649281989,True,4,15.315983805699062,5533.361681878122
4,2020-01-26,0,0,124.3371476509239,4121.811649281989,True,5,16.135754071642392,5533.361681878122
5,2020-01-27,0,0,124.3371476509239,4121.811649281989,True,6,16.99931094167837,5533.361681878122
6,2020-01-28,0,0,124.3371476509239,4121.811649281989,True,7,17.90898324045968,5533.361681878122
7,2020-01-29,0,0,124.3371476509239,4121.811649281989,True,8,18.867222558725484,5533.361681878122
8,2020-01-30,0,0,124.3371476509239,4121.811649281989,True,9,19.876609604722365,5533.361681878122
9,2020-01-31,0,0,124.3371476509239,4121.811649281989,True,10,20.939860870949808,5533.361681878122
10,2020-02-01,0,0,124.3371476509239,4121.811649281989,True,11,22.059835630405267,5533.361681878122
11,2020-02-02,0,0,124.3371476509239,4121.811649281989,True,12,23.239543276970913,5533.361681878122
12,2020-02-03,0,0,124.3371476509239,4121.811649281989,True,13,24.482151025045944,5533.361681878122
13,2020-02-04,0,0,124.3371476509239,4121.811649281989,True,14,25.790991983980422,5533.361681878122
14,2020-02-05,0,0,124.3371476509239,4121.811649281989,True,15,27.16957362330593,5533.361681878122
15,2020-02-06,0,0,124.3371476509239,4121.811649281989,True,16,28.62158664517939,5533.361681878122
16,2020-02-07,0,0,124.3371476509239,4121.811649281989,True,17,30.150914280855062,5533.361681878122
17,2020-02-08,0,0,124.3371476509239,4121.811649281989,True,18,31.761642028369444,5533.361681878122
18,2020-02-09,0,0,124.3371476509239,4121.811649281989,True,19,33.45806784895836,5533.361681878122
19,2020-02-10,0,0,124.3371476509239,4121.811649281989,True,20,35.24471284001754,5533.361681878122
20,2020-02-11,0,0,124.3371476509239,4121.811649281989,True,21,37.126332402659145,5533.361681878122
21,2020-02-12,0,0,124.3371476509239,4121.811649281989,True,22,39.10792792209755,5533.361681878122
22,2020-02-13,0,0,124.3371476509239,4121.811649281989,True,23,41.19475897920854,5533.361681878122
23,2020-02-14,0,0,124.3371476509239,4121.811649281989,True,24,43.392356111634214,5533.361681878122
24,2020-02-15,0,0,124.3371476509239,4121.811649281989,True,25,45.70653414273988,5533.361681878122
25,2020-02-16,0,0,124.3371476509239,4121.811649281989,True,26,48.14340609655354,5533.361681878122
26,2020-02-17,0,0,124.3371476509239,4121.811649281989,True,27,50.709397716518424,5533.361681878122
27,2020-02-18,0,0,124.3371476509239,4121.811649281989,True,28,53.41126260544593,5533.361681878122
28,2020-02-19,0,0,124.3371476509239,4121.811649281989,True,29,56.25609800345219,5533.361681878122
29,2020-02-20,0,0,124.3371476509239,4121.811649281989,True,30,59.25136121987372,5533.361681878122
30,2020-02-21,0,0,124.3371476509239,4121.811649281989,True,31,62.40488673416397,5533.361681878122
31,2020-02-22,0,0,124.3371476509239,4121.811649281989,True,32,65.72490397954702,5533.361681878122
32,2020-02-23,0,0,124.3371476509239,4121.811649281989,True,33,69.22005582171838,5533.361681878122
33,2020-02-24,0,0,124.3371476509239,4121.811649281989,True,34,72.89941774310684,5533.361681878122
34,2020-02-25,0,0,124.3371476509239,4121.811649281989,True,35,76.77251774111096,5533.361681878122
35,2020-02-26,0,0,124.3371476509239,4121.811649281989,True,36,80.84935694626158,5533.361681878122
36,2020-02-27,0,0,124.3371476509239,4121.811649281989,True,37,85.14043096340278,5533.361681878122
37,2020-02-28,0,0,124.3371476509239,4121.811649281989,True,38,89.65675193567893,5533.361681878122
38,2020-02-29,0,0,124.3371476509239,4121.811649281989,True,39,94.40987132732458,5533.361681878122
39,2020-03-01,3,3,124.3371476509239,4121.811649281989,True,40,99.41190341692496,5533.361681878122
40,2020-03-02,3,3,124.3371476509239,4121.811649281989,True,41,104.67554948789446,5533.361681878122
41,2020-03-03,3,3,124.3371476509239,4121.811649281989,True,42,110.21412269735345,5533.361681878122
42,2020-03-04,3,3,124.3371476509239,4121.811649281989,True,43,116.0415735983098,5533.361681878122
43,2020-03-05,6,6,124.3371476509239,4121.811649281989,True,44,122.1725162830066,5533.361681878122
