,Report_Date,Antigua and Barbuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.07116786807542,13.386837780927474,True,1,0.0003127559434471017,26.30616365183914
1,2020-01-23,0,74.07116786807542,13.386837780927474,True,2,0.00036534853213603466,26.30616365183914
2,2020-01-24,0,74.07116786807542,13.386837780927474,True,3,0.00042678487376211625,26.30616365183914
3,2020-01-25,0,74.07116786807542,13.386837780927474,True,4,0.0004985520459676989,26.30616365183914
4,2020-01-26,0,74.07116786807542,13.386837780927474,True,5,0.0005823871598595664,26.30616365183914
5,2020-01-27,0,74.07116786807542,13.386837780927474,True,6,0.0006803193931694179,26.30616365183914
6,2020-01-28,0,74.07116786807542,13.386837780927474,True,7,0.0007947190871237838,26.30616365183914
7,2020-01-29,0,74.07116786807542,13.386837780927474,True,8,0.0009283550931776472,26.30616365183914
8,2020-01-30,0,74.07116786807542,13.386837780927474,True,9,0.001084461754616551,26.30616365183914
9,2020-01-31,0,74.07116786807542,13.386837780927474,True,10,0.001266817140097503,26.30616365183914
10,2020-02-01,0,74.07116786807542,13.386837780927474,True,11,0.0014798344169834898,26.30616365183914
11,2020-02-02,0,74.07116786807542,13.386837780927474,True,12,0.0017286685682296429,26.30616365183914
12,2020-02-03,0,74.07116786807542,13.386837780927474,True,13,0.002019341025036537,26.30616365183914
13,2020-02-04,0,74.07116786807542,13.386837780927474,True,14,0.0023588852171283537,26.30616365183914
14,2020-02-05,0,74.07116786807542,13.386837780927474,True,15,0.002755516543347315,26.30616365183914
15,2020-02-06,0,74.07116786807542,13.386837780927474,True,16,0.0032188308488676023,26.30616365183914
16,2020-02-07,0,74.07116786807542,13.386837780927474,True,17,0.003760036175117095,26.30616365183914
17,2020-02-08,0,74.07116786807542,13.386837780927474,True,18,0.004392223339910576,26.30616365183914
18,2020-02-09,0,74.07116786807542,13.386837780927474,True,19,0.005130681826140031,26.30616365183914
19,2020-02-10,0,74.07116786807542,13.386837780927474,True,20,0.005993268528071039,26.30616365183914
20,2020-02-11,0,74.07116786807542,13.386837780927474,True,21,0.007000838148248035,26.30616365183914
