,Report_Date,"Lao People""s Democratic Republic_cases",active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,71.54851045787059,9.713340371405154,True,1,0.0002281792554747876,19.42623959705565
1,2020-01-23,0,0,71.54851045787059,9.713340371405154,True,2,0.00026801427432469237,19.42623959705565
2,2020-01-24,0,0,71.54851045787059,9.713340371405154,True,3,0.00031480348806443804,19.42623959705565
3,2020-01-25,0,0,71.54851045787059,9.713340371405154,True,4,0.0003697608818694066,19.42623959705565
4,2020-01-26,0,0,71.54851045787059,9.713340371405154,True,5,0.0004343123485598824,19.42623959705565
5,2020-01-27,0,0,71.54851045787059,9.713340371405154,True,6,0.0005101326720551372,19.42623959705565
6,2020-01-28,0,0,71.54851045787059,9.713340371405154,True,7,0.0005991889630716934,19.42623959705565
7,2020-01-29,0,0,71.54851045787059,9.713340371405154,True,8,0.0007037916718549493,19.42623959705565
8,2020-01-30,0,0,71.54851045787059,9.713340371405154,True,9,0.0008266544984750627,19.42623959705565
9,2020-01-31,0,0,71.54851045787059,9.713340371405154,True,10,0.0009709647508954944,19.42623959705565
10,2020-02-01,0,0,71.54851045787059,9.713340371405154,True,11,0.001140465970470579,19.42623959705565
11,2020-02-02,0,0,71.54851045787059,9.713340371405154,True,12,0.00133955496056616,19.42623959705565
12,2020-02-03,0,0,71.54851045787059,9.713340371405154,True,13,0.00157339572458749,19.42623959705565
13,2020-02-04,0,0,71.54851045787059,9.713340371405154,True,14,0.00184805325412941,19.42623959705565
14,2020-02-05,0,0,71.54851045787059,9.713340371405154,True,15,0.002170650617055805,19.42623959705565
15,2020-02-06,0,0,71.54851045787059,9.713340371405154,True,16,0.0025495533916549133,19.42623959705565
16,2020-02-07,0,0,71.54851045787059,9.713340371405154,True,17,0.0029945861912186694,19.42623959705565
17,2020-02-08,0,0,71.54851045787059,9.713340371405154,True,18,0.0035172868403899995,19.42623959705565
18,2020-02-09,0,0,71.54851045787059,9.713340371405154,True,19,0.0041312047199784305,19.42623959705565
19,2020-02-10,0,0,71.54851045787059,9.713340371405154,True,20,0.00485225091320094,19.42623959705565
20,2020-02-11,0,0,71.54851045787059,9.713340371405154,True,21,0.005699109089326309,19.42623959705565
21,2020-02-12,0,0,71.54851045787059,9.713340371405154,True,22,0.006693717580028284,19.42623959705565
