,Report_Date,Australia_new south wales_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.03515677005191,1529.6915049204738,True,1,0.03632590319528392,3058.9759703900895
1,2020-01-23,0,67.03515677005191,1529.6915049204738,True,2,0.043132356136369676,3058.9759703900895
2,2020-01-24,0,67.03515677005191,1529.6915049204738,True,3,0.051214125642958006,3058.9759703900895
3,2020-01-25,0,67.03515677005191,1529.6915049204738,True,4,0.06081015743311336,3058.9759703900895
4,2020-01-26,3,67.03515677005191,1529.6915049204738,True,5,0.07220416295932269,3058.9759703900895
5,2020-01-27,4,67.03515677005191,1529.6915049204738,True,6,0.08573300465932952,3058.9759703900895
6,2020-01-28,4,67.03515677005191,1529.6915049204738,True,7,0.101796651279837,3058.9759703900895
7,2020-01-29,4,67.03515677005191,1529.6915049204738,True,8,0.12086999701008082,3058.9759703900895
8,2020-01-30,4,67.03515677005191,1529.6915049204738,True,9,0.14351689301481824,3058.9759703900895
9,2020-01-31,4,67.03515677005191,1529.6915049204738,True,10,0.17040680501048927,3058.9759703900895
10,2020-02-01,4,67.03515677005191,1529.6915049204738,True,11,0.20233458766445825,3058.9759703900895
11,2020-02-02,4,67.03515677005191,1529.6915049204738,True,12,0.24024395803515652,3058.9759703900895
12,2020-02-03,4,67.03515677005191,1529.6915049204738,True,13,0.285255358628347,3058.9759703900895
13,2020-02-04,4,67.03515677005191,1529.6915049204738,True,14,0.338699029004475,3058.9759703900895
14,2020-02-05,4,67.03515677005191,1529.6915049204738,True,15,0.4021542568588936,3058.9759703900895
15,2020-02-06,4,67.03515677005191,1529.6915049204738,True,16,0.4774959593642742,3058.9759703900895
16,2020-02-07,4,67.03515677005191,1529.6915049204738,True,17,0.5669499582924464,3058.9759703900895
17,2020-02-08,4,67.03515677005191,1529.6915049204738,True,18,0.6731585638343643,3058.9759703900895
18,2020-02-09,4,67.03515677005191,1529.6915049204738,True,19,0.7992583788737695,3058.9759703900895
19,2020-02-10,4,67.03515677005191,1529.6915049204738,True,20,0.9489725855739807,3058.9759703900895
20,2020-02-11,4,67.03515677005191,1529.6915049204738,True,21,1.1267203885295143,3058.9759703900895
21,2020-02-12,4,67.03515677005191,1529.6915049204738,True,22,1.3377467737367188,3058.9759703900895
22,2020-02-13,4,67.03515677005191,1529.6915049204738,True,23,1.5882763119585606,3058.9759703900895
23,2020-02-14,4,67.03515677005191,1529.6915049204738,True,24,1.8856954018315943,3058.9759703900895
24,2020-02-15,4,67.03515677005191,1529.6915049204738,True,25,2.2387681268051782,3058.9759703900895
25,2020-02-16,4,67.03515677005191,1529.6915049204738,True,26,2.6578918064424415,3058.9759703900895
26,2020-02-17,4,67.03515677005191,1529.6915049204738,True,27,3.1553993733147934,3058.9759703900895
27,2020-02-18,4,67.03515677005191,1529.6915049204738,True,28,3.745916918408956,3058.9759703900895
28,2020-02-19,4,67.03515677005191,1529.6915049204738,True,29,4.446786136385658,3058.9759703900895
29,2020-02-20,4,67.03515677005191,1529.6915049204738,True,30,5.278562980167441,3058.9759703900895
30,2020-02-21,4,67.03515677005191,1529.6915049204738,True,31,6.265605609683861,3058.9759703900895
31,2020-02-22,4,67.03515677005191,1529.6915049204738,True,32,7.436766690107183,3058.9759703900895
32,2020-02-23,4,67.03515677005191,1529.6915049204738,True,33,8.826207243038265,3058.9759703900895
33,2020-02-24,4,67.03515677005191,1529.6915049204738,True,34,10.474351538351382,3058.9759703900895
34,2020-02-25,4,67.03515677005191,1529.6915049204738,True,35,12.429004857326666,3058.9759703900895
35,2020-02-26,4,67.03515677005191,1529.6915049204738,True,36,14.746658229208395,3058.9759703900895
36,2020-02-27,4,67.03515677005191,1529.6915049204738,True,37,17.494006237879216,3058.9759703900895
37,2020-02-28,4,67.03515677005191,1529.6915049204738,True,38,20.74970540116682,3058.9759703900895
38,2020-02-29,4,67.03515677005191,1529.6915049204738,True,39,24.606400983795385,3058.9759703900895
39,2020-03-01,6,67.03515677005191,1529.6915049204738,True,40,29.173048758370324,3058.9759703900895
40,2020-03-02,6,67.03515677005191,1529.6915049204738,True,41,34.57755425464389,3058.9759703900895
41,2020-03-03,13,67.03515677005191,1529.6915049204738,True,42,40.96974417036299,3058.9759703900895
42,2020-03-04,22,67.03515677005191,1529.6915049204738,True,43,48.524671161244086,3058.9759703900895
43,2020-03-05,22,67.03515677005191,1529.6915049204738,True,44,57.446231968195804,3058.9759703900895
44,2020-03-06,26,67.03515677005191,1529.6915049204738,True,45,67.97104697386351,3058.9759703900895
45,2020-03-07,28,67.03515677005191,1529.6915049204738,True,46,80.37250340180627,3058.9759703900895
46,2020-03-08,38,67.03515677005191,1529.6915049204738,True,47,94.96480056953493,3058.9759703900895
47,2020-03-09,48,67.03515677005191,1529.6915049204738,True,48,112.10674977151085,3058.9759703900895
48,2020-03-10,55,67.03515677005191,1529.6915049204738,True,49,132.20496983881523,3058.9759703900895
