,Report_Date,Uganda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.03436105411552,52.586638683602004,True,1,0.09103281935037871,101.11928478618789
1,2020-01-23,0,82.03436105411552,52.586638683602004,True,2,0.09930116609405133,101.11928478618789
2,2020-01-24,0,82.03436105411552,52.586638683602004,True,3,0.10831973771836939,101.11928478618789
3,2020-01-25,0,82.03436105411552,52.586638683602004,True,4,0.11815645857441015,101.11928478618789
4,2020-01-26,0,82.03436105411552,52.586638683602004,True,5,0.12888537489181148,101.11928478618789
5,2020-01-27,0,82.03436105411552,52.586638683602004,True,6,0.1405872012332061,101.11928478618789
6,2020-01-28,0,82.03436105411552,52.586638683602004,True,7,0.15334991471915835,101.11928478618789
7,2020-01-29,0,82.03436105411552,52.586638683602004,True,8,0.1672694010071267,101.11928478618789
8,2020-01-30,0,82.03436105411552,52.586638683602004,True,9,0.18245015630285588,101.11928478618789
9,2020-01-31,0,82.03436105411552,52.586638683602004,True,10,0.19900604999181581,101.11928478618789
10,2020-02-01,0,82.03436105411552,52.586638683602004,True,11,0.2170611528008743,101.11928478618789
11,2020-02-02,0,82.03436105411552,52.586638683602004,True,12,0.2367506357348453,101.11928478618789
12,2020-02-03,0,82.03436105411552,52.586638683602004,True,13,0.2582217453768153,101.11928478618789
13,2020-02-04,0,82.03436105411552,52.586638683602004,True,14,0.2816348614923876,101.11928478618789
14,2020-02-05,0,82.03436105411552,52.586638683602004,True,15,0.30716464323247444,101.11928478618789
15,2020-02-06,0,82.03436105411552,52.586638683602004,True,16,0.335001270582177,101.11928478618789
16,2020-02-07,0,82.03436105411552,52.586638683602004,True,17,0.3653517880484924,101.11928478618789
17,2020-02-08,0,82.03436105411552,52.586638683602004,True,18,0.39844155790935304,101.11928478618789
18,2020-02-09,0,82.03436105411552,52.586638683602004,True,19,0.4345158306512603,101.11928478618789
19,2020-02-10,0,82.03436105411552,52.586638683602004,True,20,0.4738414404907038,101.11928478618789
20,2020-02-11,0,82.03436105411552,52.586638683602004,True,21,0.5167086340912393,101.11928478618789
21,2020-02-12,0,82.03436105411552,52.586638683602004,True,22,0.5634330407360162,101.11928478618789
22,2020-02-13,0,82.03436105411552,52.586638683602004,True,23,0.6143577922736041,101.11928478618789
23,2020-02-14,0,82.03436105411552,52.586638683602004,True,24,0.6698558010978652,101.11928478618789
24,2020-02-15,0,82.03436105411552,52.586638683602004,True,25,0.730332204220227,101.11928478618789
25,2020-02-16,0,82.03436105411552,52.586638683602004,True,26,0.7962269811093334,101.11928478618789
26,2020-02-17,0,82.03436105411552,52.586638683602004,True,27,0.8680177523666076,101.11928478618789
27,2020-02-18,0,82.03436105411552,52.586638683602004,True,28,0.9462227654275003,101.11928478618789
28,2020-02-19,0,82.03436105411552,52.586638683602004,True,29,1.0314040722696842,101.11928478618789
29,2020-02-20,0,82.03436105411552,52.586638683602004,True,30,1.1241709025047506,101.11928478618789
30,2020-02-21,0,82.03436105411552,52.586638683602004,True,31,1.2251832331526582,101.11928478618789
31,2020-02-22,0,82.03436105411552,52.586638683602004,True,32,1.33515555376094,101.11928478618789
32,2020-02-23,0,82.03436105411552,52.586638683602004,True,33,1.4548608222346373,101.11928478618789
33,2020-02-24,0,82.03436105411552,52.586638683602004,True,34,1.5851346026770308,101.11928478618789
34,2020-02-25,0,82.03436105411552,52.586638683602004,True,35,1.7268793715819875,101.11928478618789
