,Report_Date,Guinea-Bissau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.44240511425785,37.47864865737859,True,1,0.0008619008832492568,65.14767125851918
1,2020-01-23,0,82.44240511425785,37.47864865737859,True,2,0.00099107147807781,65.14767125851918
2,2020-01-24,0,82.44240511425785,37.47864865737859,True,3,0.0011396002023868787,65.14767125851918
3,2020-01-25,0,82.44240511425785,37.47864865737859,True,4,0.001310388064170583,65.14767125851918
4,2020-01-26,0,82.44240511425785,37.47864865737859,True,5,0.0015067707857355321,65.14767125851918
5,2020-01-27,0,82.44240511425785,37.47864865737859,True,6,0.0017325839355368407,65.14767125851918
6,2020-01-28,0,82.44240511425785,37.47864865737859,True,7,0.0019922378153343777,65.14767125851918
7,2020-01-29,0,82.44240511425785,37.47864865737859,True,8,0.0022908035627802544,65.14767125851918
8,2020-01-30,0,82.44240511425785,37.47864865737859,True,9,0.0026341121477588773,65.14767125851918
9,2020-01-31,0,82.44240511425785,37.47864865737859,True,10,0.0030288681915159933,65.14767125851918
10,2020-02-01,0,82.44240511425785,37.47864865737859,True,11,0.0034827808256408213,65.14767125851918
11,2020-02-02,0,82.44240511425785,37.47864865737859,True,12,0.004004714138813191,65.14767125851918
12,2020-02-03,0,82.44240511425785,37.47864865737859,True,13,0.00460486013920158,65.14767125851918
13,2020-02-04,0,82.44240511425785,37.47864865737859,True,14,0.005294937596713232,65.14767125851918
14,2020-02-05,0,82.44240511425785,37.47864865737859,True,15,0.006088420630203305,65.14767125851918
15,2020-02-06,0,82.44240511425785,37.47864865737859,True,16,0.00700080147966888,65.14767125851918
16,2020-02-07,0,82.44240511425785,37.47864865737859,True,17,0.008049892563138266,65.14767125851918
17,2020-02-08,0,82.44240511425785,37.47864865737859,True,18,0.009256173674670316,65.14767125851918
18,2020-02-09,0,82.44240511425785,37.47864865737859,True,19,0.010643191047549608,65.14767125851918
19,2020-02-10,0,82.44240511425785,37.47864865737859,True,20,0.012238016001247222,65.14767125851918
20,2020-02-11,0,82.44240511425785,37.47864865737859,True,21,0.014071772029983004,65.14767125851918
21,2020-02-12,0,82.44240511425785,37.47864865737859,True,22,0.01618024049510422,65.14767125851918
22,2020-02-13,0,82.44240511425785,37.47864865737859,True,23,0.018604556575925486,65.14767125851918
23,2020-02-14,0,82.44240511425785,37.47864865737859,True,24,0.021392008839954554,65.14767125851918
24,2020-02-15,0,82.44240511425785,37.47864865737859,True,25,0.02459695774245864,65.14767125851918
25,2020-02-16,0,82.44240511425785,37.47864865737859,True,26,0.028281890589333194,65.14767125851918
26,2020-02-17,0,82.44240511425785,37.47864865737859,True,27,0.032518633031949414,65.14767125851918
27,2020-02-18,0,82.44240511425785,37.47864865737859,True,28,0.037389740047417165,65.14767125851918
28,2020-02-19,0,82.44240511425785,37.47864865737859,True,29,0.04299009263543874,65.14767125851918
29,2020-02-20,0,82.44240511425785,37.47864865737859,True,30,0.04942873017998952,65.14767125851918
30,2020-02-21,0,82.44240511425785,37.47864865737859,True,31,0.05683095262975242,65.14767125851918
31,2020-02-22,0,82.44240511425785,37.47864865737859,True,32,0.0653407313970253,65.14767125851918
32,2020-02-23,0,82.44240511425785,37.47864865737859,True,33,0.07512347321304233,65.14767125851918
33,2020-02-24,0,82.44240511425785,37.47864865737859,True,34,0.08636918715948254,65.14767125851918
34,2020-02-25,0,82.44240511425785,37.47864865737859,True,35,0.09929611176846048,65.14767125851918
35,2020-02-26,0,82.44240511425785,37.47864865737859,True,36,0.1141548664852635,65.14767125851918
36,2020-02-27,0,82.44240511425785,37.47864865737859,True,37,0.13123319994402188,65.14767125851918
37,2020-02-28,0,82.44240511425785,37.47864865737859,True,38,0.1508614164184193,65.14767125851918
38,2020-02-29,0,82.44240511425785,37.47864865737859,True,39,0.17341857144591938,65.14767125851918
39,2020-03-01,0,82.44240511425785,37.47864865737859,True,40,0.19933953790460385,65.14767125851918
40,2020-03-02,0,82.44240511425785,37.47864865737859,True,41,0.22912305459770121,65.14767125851918
41,2020-03-03,0,82.44240511425785,37.47864865737859,True,42,0.26334088042824716,65.14767125851918
42,2020-03-04,0,82.44240511425785,37.47864865737859,True,43,0.302648188151376,65.14767125851918
43,2020-03-05,0,82.44240511425785,37.47864865737859,True,44,0.3477953419264811,65.14767125851918
44,2020-03-06,0,82.44240511425785,37.47864865737859,True,45,0.3996412116762755,65.14767125851918
45,2020-03-07,0,82.44240511425785,37.47864865737859,True,46,0.4591681835111601,65.14767125851918
46,2020-03-08,0,82.44240511425785,37.47864865737859,True,47,0.5274990277177312,65.14767125851918
47,2020-03-09,0,82.44240511425785,37.47864865737859,True,48,0.6059157820575134,65.14767125851918
48,2020-03-10,0,82.44240511425785,37.47864865737859,True,49,0.6958807957564719,65.14767125851918
49,2020-03-11,0,82.44240511425785,37.47864865737859,True,50,0.7990600551750678,65.14767125851918
50,2020-03-12,0,82.44240511425785,37.47864865737859,True,51,0.9173488713521166,65.14767125851918
51,2020-03-13,0,82.44240511425785,37.47864865737859,True,52,1.0528999468778297,65.14767125851918
