,Report_Date,Libyan Arab Jamahiriya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.73333640970759,33.949383718930086,True,1,0.0007803546632943024,67.83659589256642
1,2020-01-23,0,82.73333640970759,33.949383718930086,True,2,0.0008968636358108845,67.83659589256642
2,2020-01-24,0,82.73333640970759,33.949383718930086,True,3,0.0010307674356305827,67.83659589256642
3,2020-01-25,0,82.73333640970759,33.949383718930086,True,4,0.001184663031358421,67.83659589256642
4,2020-01-26,0,82.73333640970759,33.949383718930086,True,5,0.0013615350800084125,67.83659589256642
5,2020-01-27,0,82.73333640970759,33.949383718930086,True,6,0.0015648137943343676,67.83659589256642
6,2020-01-28,0,82.73333640970759,33.949383718930086,True,7,0.0017984414447814688,67.83659589256642
7,2020-01-29,0,82.73333640970759,33.949383718930086,True,8,0.002066948783567009,67.83659589256642
8,2020-01-30,0,82.73333640970759,33.949383718930086,True,9,0.0023755428700906428,67.83659589256642
9,2020-01-31,0,82.73333640970759,33.949383718930086,True,10,0.0027302079970140756,67.83659589256642
10,2020-02-01,0,82.73333640970759,33.949383718930086,True,11,0.003137821669129206,67.83659589256642
11,2020-02-02,0,82.73333640970759,33.949383718930086,True,12,0.0036062878773524174,67.83659589256642
12,2020-02-03,0,82.73333640970759,33.949383718930086,True,13,0.004144690243334194,67.83659589256642
13,2020-02-04,0,82.73333640970759,33.949383718930086,True,14,0.004763467992539947,67.83659589256642
14,2020-02-05,0,82.73333640970759,33.949383718930086,True,15,0.005474618152419399,67.83659589256642
15,2020-02-06,0,82.73333640970759,33.949383718930086,True,16,0.0062919278756355945,67.83659589256642
16,2020-02-07,0,82.73333640970759,33.949383718930086,True,17,0.007231241365620853,67.83659589256642
17,2020-02-08,0,82.73333640970759,33.949383718930086,True,18,0.008310766543617678,67.83659589256642
18,2020-02-09,0,82.73333640970759,33.949383718930086,True,19,0.009551427354966783,67.83659589256642
19,2020-02-10,0,82.73333640970759,33.949383718930086,True,20,0.010977268481485792,67.83659589256642
20,2020-02-11,0,82.73333640970759,33.949383718930086,True,21,0.012615920221944549,67.83659589256642
21,2020-02-12,0,82.73333640970759,33.949383718930086,True,22,0.0144991324415345,67.83659589256642
22,2020-02-13,0,82.73333640970759,33.949383718930086,True,23,0.01666338779375819,67.83659589256642
23,2020-02-14,0,82.73333640970759,33.949383718930086,True,24,0.019150605906716068,67.83659589256642
24,2020-02-15,0,82.73333640970759,33.949383718930086,True,25,0.022008951925416565,67.83659589256642
25,2020-02-16,0,82.73333640970759,33.949383718930086,True,26,0.025293764740442367,67.83659589256642
26,2020-02-17,0,82.73333640970759,33.949383718930086,True,27,0.02906862244207455,67.83659589256642
27,2020-02-18,0,82.73333640970759,33.949383718930086,True,28,0.03340656505195062,67.83659589256642
