,Report_Date,Israel_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.04201434105498,7374.76902018989,True,1,0.17230686143674034,14493.531239384232
1,2020-01-23,0,74.04201434105498,7374.76902018989,True,2,0.20129405348663798,14493.531239384232
2,2020-01-24,0,74.04201434105498,7374.76902018989,True,3,0.23515768457803632,14493.531239384232
3,2020-01-25,0,74.04201434105498,7374.76902018989,True,4,0.2747180768592887,14493.531239384232
4,2020-01-26,0,74.04201434105498,7374.76902018989,True,5,0.32093353800004665,14493.531239384232
5,2020-01-27,0,74.04201434105498,7374.76902018989,True,6,0.37492356781672237,14493.531239384232
6,2020-01-28,0,74.04201434105498,7374.76902018989,True,7,0.4379959664489838,14493.531239384232
7,2020-01-29,0,74.04201434105498,7374.76902018989,True,8,0.5116784995229126,14493.531239384232
8,2020-01-30,0,74.04201434105498,7374.76902018989,True,9,0.5977558856622706,14493.531239384232
9,2020-01-31,0,74.04201434105498,7374.76902018989,True,10,0.6983130000043684,14493.531239384232
10,2020-02-01,0,74.04201434105498,7374.76902018989,True,11,0.815785337086491,14493.531239384232
11,2020-02-02,0,74.04201434105498,7374.76902018989,True,12,0.9530179511337092,14493.531239384232
12,2020-02-03,0,74.04201434105498,7374.76902018989,True,13,1.113334295513512,14493.531239384232
13,2020-02-04,0,74.04201434105498,7374.76902018989,True,14,1.3006166207028862,14493.531239384232
14,2020-02-05,0,74.04201434105498,7374.76902018989,True,15,1.5193998670768827,14493.531239384232
15,2020-02-06,0,74.04201434105498,7374.76902018989,True,16,1.7749813115866717,14493.531239384232
16,2020-02-07,0,74.04201434105498,7374.76902018989,True,17,2.07354860336314,14493.531239384232
17,2020-02-08,0,74.04201434105498,7374.76902018989,True,18,2.4223292610143354,14493.531239384232
18,2020-02-09,0,74.04201434105498,7374.76902018989,True,19,2.829765213731686,14493.531239384232
19,2020-02-10,0,74.04201434105498,7374.76902018989,True,20,3.3057165605920997,14493.531239384232
20,2020-02-11,0,74.04201434105498,7374.76902018989,True,21,3.8616994105873577,14493.531239384232
21,2020-02-12,0,74.04201434105498,7374.76902018989,True,22,4.51116346468947,14493.531239384232
22,2020-02-13,0,74.04201434105498,7374.76902018989,True,23,5.269815927419233,14493.531239384232
23,2020-02-14,0,74.04201434105498,7374.76902018989,True,24,6.155999407817287,14493.531239384232
24,2020-02-15,0,74.04201434105498,7374.76902018989,True,25,7.191132709576127,14493.531239384232
25,2020-02-16,0,74.04201434105498,7374.76902018989,True,26,8.40022484084498,14493.531239384232
26,2020-02-17,0,74.04201434105498,7374.76902018989,True,27,9.812474221590675,14493.531239384232
27,2020-02-18,0,74.04201434105498,7374.76902018989,True,28,11.461966958143112,14493.531239384232
28,2020-02-19,0,74.04201434105498,7374.76902018989,True,29,13.388490219990342,14493.531239384232
29,2020-02-20,0,74.04201434105498,7374.76902018989,True,30,15.63847922305294,14493.531239384232
30,2020-02-21,1,74.04201434105498,7374.76902018989,True,31,18.2661191259609,14493.531239384232
31,2020-02-22,1,74.04201434105498,7374.76902018989,True,32,21.33462630794514,14493.531239384232
32,2020-02-23,1,74.04201434105498,7374.76902018989,True,33,24.917737039644834,14493.531239384232
33,2020-02-24,1,74.04201434105498,7374.76902018989,True,34,29.10143549182994,14493.531239384232
34,2020-02-25,1,74.04201434105498,7374.76902018989,True,35,33.985957345271814,14493.531239384232
35,2020-02-26,2,74.04201434105498,7374.76902018989,True,36,39.68810993532569,14493.531239384232
36,2020-02-27,3,74.04201434105498,7374.76902018989,True,37,46.34395481622486,14493.531239384232
37,2020-02-28,4,74.04201434105498,7374.76902018989,True,38,54.11190373586717,14493.531239384232
38,2020-02-29,7,74.04201434105498,7374.76902018989,True,39,63.1762840662436,14493.531239384232
39,2020-03-01,10,74.04201434105498,7374.76902018989,True,40,73.75143442183625,14493.531239384232
40,2020-03-02,10,74.04201434105498,7374.76902018989,True,41,86.08639505170869,14493.531239384232
41,2020-03-03,12,74.04201434105498,7374.76902018989,True,42,100.47025994029849,14493.531239384232
42,2020-03-04,15,74.04201434105498,7374.76902018989,True,43,117.23825745563805,14493.531239384232
43,2020-03-05,20,74.04201434105498,7374.76902018989,True,44,136.77862254531092,14493.531239384232
44,2020-03-06,37,74.04201434105498,7374.76902018989,True,45,159.54031414643953,14493.531239384232
45,2020-03-07,43,74.04201434105498,7374.76902018989,True,46,186.0416143174537,14493.531239384232
46,2020-03-08,61,74.04201434105498,7374.76902018989,True,47,216.87961758120625,14493.531239384232
47,2020-03-09,61,74.04201434105498,7374.76902018989,True,48,252.74057621881357,14493.531239384232
48,2020-03-10,75,74.04201434105498,7374.76902018989,True,49,294.41100495302413,14493.531239384232
49,2020-03-11,79,74.04201434105498,7374.76902018989,True,50,342.78936079754936,14493.531239384232
50,2020-03-12,100,74.04201434105498,7374.76902018989,True,51,398.89799409996874,14493.531239384232
51,2020-03-13,126,74.04201434105498,7374.76902018989,True,52,463.89490763737876,14493.531239384232
52,2020-03-14,155,74.04201434105498,7374.76902018989,True,53,539.0846547673281,14493.531239384232
53,2020-03-15,213,74.04201434105498,7374.76902018989,True,54,625.9274491214657,14493.531239384232
54,2020-03-16,218,74.04201434105498,7374.76902018989,True,55,726.0452445175779,14493.531239384232
55,2020-03-17,250,74.04201434105498,7374.76902018989,True,56,841.2231784453415,14493.531239384232
56,2020-03-18,304,74.04201434105498,7374.76902018989,True,57,973.4043702361689,14493.531239384232
57,2020-03-19,427,74.04201434105498,7374.76902018989,True,58,1124.6756569251584,14493.531239384232
58,2020-03-20,529,74.04201434105498,7374.76902018989,True,59,1297.24149005878,14493.531239384232
59,2020-03-21,712,74.04201434105498,7374.76902018989,True,60,1493.3829892032231,14493.531239384232
60,2020-03-22,883,74.04201434105498,7374.76902018989,True,61,1715.399170593622,14493.531239384232
61,2020-03-23,1071,74.04201434105498,7374.76902018989,True,62,1965.5277926724507,14493.531239384232
62,2020-03-24,1238,74.04201434105498,7374.76902018989,True,63,2245.84425476776,14493.531239384232
63,2020-03-25,2369,74.04201434105498,7374.76902018989,True,64,2558.1387125599836,14493.531239384232
64,2020-03-26,2693,74.04201434105498,7374.76902018989,True,65,2903.7741370121116,14493.531239384232
65,2020-03-27,3035,74.04201434105498,7374.76902018989,True,66,3283.531415153906,14493.531239384232
66,2020-03-28,3619,74.04201434105498,7374.76902018989,True,67,3697.45153401885,14493.531239384232
67,2020-03-29,4247,74.04201434105498,7374.76902018989,True,68,4144.688888733443,14493.531239384232
68,2020-03-30,4695,74.04201434105498,7374.76902018989,True,69,4623.393008316328,14493.531239384232
69,2020-03-31,5358,74.04201434105498,7374.76902018989,True,70,5130.637490284167,14493.531239384232
70,2020-04-01,6092,74.04201434105498,7374.76902018989,True,71,5662.41367854158,14493.531239384232
71,2020-04-02,6857,74.04201434105498,7374.76902018989,True,72,6213.701941759809,14493.531239384232
72,2020-04-03,7428,74.04201434105498,7374.76902018989,True,73,6778.625329982698,14493.531239384232
73,2020-04-04,7851,74.04201434105498,7374.76902018989,True,74,7350.6798463029745,14493.531239384232
74,2020-04-05,8430,74.04201434105498,7374.76902018989,True,75,7923.02440046467,14493.531239384232
75,2020-04-06,8904,74.04201434105498,7374.76902018989,True,76,8488.804058991347,14493.531239384232
76,2020-04-07,9248,74.04201434105498,7374.76902018989,True,77,9041.474680362906,14493.531239384232
77,2020-04-08,9404,74.04201434105498,7374.76902018989,True,78,9575.096790204561,14493.531239384232
78,2020-04-09,9968,74.04201434105498,7374.76902018989,True,79,10084.571669253835,14493.531239384232
79,2020-04-10,10408,74.04201434105498,7374.76902018989,True,80,10565.80182690736,14493.531239384232
80,2020-04-11,10743,74.04201434105498,7374.76902018989,True,81,11015.769152058267,14493.531239384232
81,2020-04-12,11145,74.04201434105498,7374.76902018989,True,82,11432.534707837605,14493.531239384232
82,2020-04-13,11586,74.04201434105498,7374.76902018989,True,83,11815.172472905439,14493.531239384232
83,2020-04-14,12046,74.04201434105498,7374.76902018989,True,84,12163.654307601782,14493.531239384232
84,2020-04-15,12501,74.04201434105498,7374.76902018989,True,85,12478.70494894797,14493.531239384232
85,2020-04-16,12758,74.04201434105498,7374.76902018989,True,86,12761.644536161599,14493.531239384232
86,2020-04-17,12982,74.04201434105498,7374.76902018989,True,87,13014.233022814176,14493.531239384232
87,2020-04-18,13265,74.04201434105498,7374.76902018989,True,88,13238.526860164899,14493.531239384232
88,2020-04-19,13491,74.04201434105498,7374.76902018989,True,89,13436.754364571165,14493.531239384232
89,2020-04-20,13713,74.04201434105498,7374.76902018989,True,90,13611.212749526776,14493.531239384232
