,Report_Date,China_hainan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
28,2020-02-19,168,80,13.500958013900261,84.24041249733128,True,29,164.19287372866881,168.48082499463018
29,2020-02-20,168,78,13.500958013900261,84.24041249733128,True,30,165.0733673787366,168.48082499463018
30,2020-02-21,168,69,13.500958013900261,84.24041249733128,True,31,165.77603767373284,168.48082499463018
31,2020-02-22,168,60,13.500958013900261,84.24041249733128,True,32,166.33568952097957,168.48082499463018
32,2020-02-23,168,57,13.500958013900261,84.24041249733128,True,33,166.78073047017543,168.48082499463018
33,2020-02-24,168,47,13.500958013900261,84.24041249733128,True,34,167.13418841035786,168.48082499463018
34,2020-02-25,168,39,13.500958013900261,84.24041249733128,True,35,167.41463049987843,168.48082499463018
35,2020-02-26,168,34,13.500958013900261,84.24041249733128,True,36,167.63696435599644,168.48082499463018
36,2020-02-27,168,32,13.500958013900261,84.24041249733128,True,37,167.8131197791985,168.48082499463018
37,2020-02-28,168,30,13.500958013900261,84.24041249733128,True,38,167.95261872482374,168.48082499463018
38,2020-02-29,168,15,13.500958013900261,84.24041249733128,True,39,168.06304569552512,168.48082499463018
39,2020-03-01,168,14,13.500958013900261,84.24041249733128,True,40,168.15043218271012,168.48082499463018
40,2020-03-02,168,12,13.500958013900261,84.24041249733128,True,41,168.21956853814865,168.48082499463018
41,2020-03-03,168,8,13.500958013900261,84.24041249733128,True,42,168.27425553652586,168.48082499463018
42,2020-03-04,168,5,13.500958013900261,84.24041249733128,True,43,168.31750639933404,168.48082499463018
43,2020-03-05,168,4,13.500958013900261,84.24041249733128,True,44,168.3517084810967,168.48082499463018
44,2020-03-06,168,4,13.500958013900261,84.24041249733128,True,45,168.37875232711636,168.48082499463018
45,2020-03-07,168,4,13.500958013900261,84.24041249733128,True,46,168.40013447236782,168.48082499463018
46,2020-03-08,168,3,13.500958013900261,84.24041249733128,True,47,168.41703919041015,168.48082499463018
47,2020-03-09,168,3,13.500958013900261,84.24041249733128,True,48,168.43040341918297,168.48082499463018
48,2020-03-10,168,3,13.500958013900261,84.24041249733128,True,49,168.44096827361855,168.48082499463018
49,2020-03-11,168,3,13.500958013900261,84.24041249733128,True,50,168.4493198836196,168.48082499463018
50,2020-03-12,168,2,13.500958013900261,84.24041249733128,True,51,168.45592174914478,168.48082499463018
51,2020-03-13,168,2,13.500958013900261,84.24041249733128,True,52,168.46114036180205,168.48082499463018
52,2020-03-14,168,2,13.500958013900261,84.24041249733128,True,53,168.46526548636058,168.48082499463018
53,2020-03-15,168,2,13.500958013900261,84.24041249733128,True,54,168.4685262102257,168.48082499463018
54,2020-03-16,168,1,13.500958013900261,84.24041249733128,True,55,168.47110364086737,168.48082499463018
55,2020-03-17,168,1,13.500958013900261,84.24041249733128,True,56,168.47314094937383,168.48082499463018
56,2020-03-18,168,1,13.500958013900261,84.24041249733128,True,57,168.47475131360886,168.48082499463018
57,2020-03-19,168,1,13.500958013900261,84.24041249733128,True,58,168.47602419947484,168.48082499463018
58,2020-03-20,168,1,13.500958013900261,84.24041249733128,True,59,168.47703032751807,168.48082499463018
59,2020-03-21,168,1,13.500958013900261,84.24041249733128,True,60,168.47782559973888,168.48082499463018
60,2020-03-22,168,1,13.500958013900261,84.24041249733128,True,61,168.4784542041121,168.48082499463018
61,2020-03-23,168,1,13.500958013900261,84.24041249733128,True,62,168.4789510688935,168.48082499463018
62,2020-03-24,168,-6,13.500958013900261,84.24041249733128,True,63,168.47934380282265,168.48082499463018
63,2020-03-25,168,-6,13.500958013900261,84.24041249733128,True,64,168.47965422886645,168.48082499463018
64,2020-03-26,168,-6,13.500958013900261,84.24041249733128,True,65,168.47989959662627,168.48082499463018
65,2020-03-27,168,-6,13.500958013900261,84.24041249733128,True,66,168.4800935407142,168.48082499463018
66,2020-03-28,168,-6,13.500958013900261,84.24041249733128,True,67,168.48024683831414,168.48082499463018
67,2020-03-29,168,-6,13.500958013900261,84.24041249733128,True,68,168.4803680079989,168.48082499463018
68,2020-03-30,168,-6,13.500958013900261,84.24041249733128,True,69,168.4804637830632,168.48082499463018
69,2020-03-31,168,-6,13.500958013900261,84.24041249733128,True,70,168.4805394856656,168.48082499463018
70,2020-04-01,168,-6,13.500958013900261,84.24041249733128,True,71,168.48059932256396,168.48082499463018
71,2020-04-02,168,0,13.500958013900261,84.24041249733128,True,72,168.48064661887463,168.48082499463018
72,2020-04-03,168,0,13.500958013900261,84.24041249733128,True,73,168.4806840028428,168.48082499463018
73,2020-04-04,168,0,13.500958013900261,84.24041249733128,True,74,168.4807135518903,168.48082499463018
74,2020-04-05,168,0,13.500958013900261,84.24041249733128,True,75,168.48073690805543,168.48082499463018
75,2020-04-06,168,0,13.500958013900261,84.24041249733128,True,76,168.4807553692398,168.48082499463018
76,2020-04-07,168,0,13.500958013900261,84.24041249733128,True,77,168.48076996133187,168.48082499463018
77,2020-04-08,168,0,13.500958013900261,84.24041249733128,True,78,168.4807814952149,168.48082499463018
78,2020-04-09,168,0,13.500958013900261,84.24041249733128,True,79,168.4807906118277,168.48082499463018
79,2020-04-10,168,0,13.500958013900261,84.24041249733128,True,80,168.48079781778142,168.48082499463018
80,2020-04-11,168,0,13.500958013900261,84.24041249733128,True,81,168.48080351351174,168.48082499463018
81,2020-04-12,168,0,13.500958013900261,84.24041249733128,True,82,168.48080801553107,168.48082499463018
82,2020-04-13,168,0,13.500958013900261,84.24041249733128,True,83,168.48081157401737,168.48082499463018
83,2020-04-14,168,0,13.500958013900261,84.24041249733128,True,84,168.48081438671613,168.48082499463018
84,2020-04-15,168,0,13.500958013900261,84.24041249733128,True,85,168.48081660992955,168.48082499463018
85,2020-04-16,168,0,13.500958013900261,84.24041249733128,True,86,168.48081836720192,168.48082499463018
86,2020-04-17,168,0,13.500958013900261,84.24041249733128,True,87,168.48081975618513,168.48082499463018
87,2020-04-18,168,0,13.500958013900261,84.24041249733128,True,88,168.48082085406529,168.48082499463018
88,2020-04-19,168,0,13.500958013900261,84.24041249733128,True,89,168.48082172185164,168.48082499463018
89,2020-04-20,168,0,13.500958013900261,84.24041249733128,True,90,168.48082240776742,168.48082499463018
90,2020-04-21,168,0,13.500958013900261,84.24041249733128,True,91,168.4808229499289,168.48082499463018
91,2020-04-22,168,0,13.500958013900261,84.24041249733128,True,92,168.48082337846418,168.48082499463018
92,2020-04-23,168,0,13.500958013900261,84.24041249733128,True,93,168.48082371718706,168.48082499463018
93,2020-04-24,168,0,13.500958013900261,84.24041249733128,True,94,168.48082398492036,168.48082499463018
94,2020-04-25,168,0,13.500958013900261,84.24041249733128,True,95,168.48082419654216,168.48082499463018
95,2020-04-26,168,0,13.500958013900261,84.24041249733128,True,96,168.48082436381225,168.48082499463018
96,2020-04-27,168,0,13.500958013900261,84.24041249733128,True,97,168.48082449602586,168.48082499463018
97,2020-04-28,168,0,13.500958013900261,84.24041249733128,True,98,168.48082460053016,168.48082499463018
98,2020-04-29,168,0,13.500958013900261,84.24041249733128,True,99,168.4808246831324,168.48082499463018
99,2020-04-30,168,0,13.500958013900261,84.24041249733128,True,100,168.48082474842292,168.48082499463018
100,2020-05-01,168,0,13.500958013900261,84.24041249733128,True,101,168.4808248000298,168.48082499463018
101,2020-05-02,168,0,13.500958013900261,84.24041249733128,True,102,168.48082484082096,168.48082499463018
102,2020-05-03,168,0,13.500958013900261,84.24041249733128,True,103,168.48082487306306,168.48082499463018
103,2020-05-04,168,0,13.500958013900261,84.24041249733128,True,104,168.4808248985479,168.48082499463018
104,2020-05-05,168,0,13.500958013900261,84.24041249733128,True,105,168.4808249186916,168.48082499463018
105,2020-05-06,168,0,13.500958013900261,84.24041249733128,True,106,168.4808249346136,168.48082499463018
106,2020-05-07,168,0,13.500958013900261,84.24041249733128,True,107,168.48082494719867,168.48082499463018
107,2020-05-08,168,0,13.500958013900261,84.24041249733128,True,108,168.48082495714613,168.48082499463018
108,2020-05-09,168,0,13.500958013900261,84.24041249733128,True,109,168.48082496500882,168.48082499463018
109,2020-05-10,168,0,13.500958013900261,84.24041249733128,True,110,168.48082497122365,168.48082499463018
110,2020-05-11,168,0,13.500958013900261,84.24041249733128,True,111,168.48082497613598,168.48082499463018
111,2020-05-12,168,0,13.500958013900261,84.24041249733128,True,112,168.4808249800188,168.48082499463018
112,2020-05-13,168,0,13.500958013900261,84.24041249733128,True,113,168.4808249830878,168.48082499463018
113,2020-05-14,168,0,13.500958013900261,84.24041249733128,True,114,168.48082498551366,168.48082499463018
114,2020-05-15,169,1,13.500958013900261,84.24041249733128,True,115,168.48082498743108,168.48082499463018
115,2020-05-16,169,1,13.500958013900261,84.24041249733128,True,116,168.48082498894664,168.48082499463018
116,2020-05-17,169,1,13.500958013900261,84.24041249733128,True,117,168.48082499014458,168.48082499463018
117,2020-05-18,169,1,13.500958013900261,84.24041249733128,True,118,168.48082499109148,168.48082499463018
118,2020-05-19,169,1,13.500958013900261,84.24041249733128,True,119,168.4808249918399,168.48082499463018
119,2020-05-20,169,1,13.500958013900261,84.24041249733128,True,120,168.48082499243148,168.48082499463018
120,2020-05-21,169,1,13.500958013900261,84.24041249733128,True,121,168.48082499289907,168.48082499463018
121,2020-05-22,169,1,13.500958013900261,84.24041249733128,True,122,168.48082499326864,168.48082499463018
122,2020-05-23,169,1,13.500958013900261,84.24041249733128,True,123,168.4808249935608,168.48082499463018
123,2020-05-24,169,1,13.500958013900261,84.24041249733128,True,124,168.48082499379169,168.48082499463018
124,2020-05-25,169,1,13.500958013900261,84.24041249733128,True,125,168.4808249939742,168.48082499463018
125,2020-05-26,169,1,13.500958013900261,84.24041249733128,True,126,168.48082499411845,168.48082499463018
126,2020-05-27,169,1,13.500958013900261,84.24041249733128,True,127,168.48082499423248,168.48082499463018
127,2020-05-28,169,1,13.500958013900261,84.24041249733128,True,128,168.48082499432263,168.48082499463018
