,Report_Date,China_hainan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,4,13.500958013900261,84.24041249733128,True,1,8.458746164321008,168.48082499463018
1,2020-01-23,5,5,13.500958013900261,84.24041249733128,True,2,10.560995007048676,168.48082499463018
2,2020-01-24,8,8,13.500958013900261,84.24041249733128,True,3,13.142803753141397,168.48082499463018
3,2020-01-25,19,19,13.500958013900261,84.24041249733128,True,4,16.290668390290993,168.48082499463018
4,2020-01-26,22,22,13.500958013900261,84.24041249733128,True,5,20.094952299305827,168.48082499463018
5,2020-01-27,33,32,13.500958013900261,84.24041249733128,True,6,24.643777021054806,168.48082499463018
6,2020-01-28,40,39,13.500958013900261,84.24041249733128,True,7,30.01402556744498,168.48082499463018
7,2020-01-29,43,42,13.500958013900261,84.24041249733128,True,8,36.25952444352458,168.48082499463018
8,2020-01-30,46,44,13.500958013900261,84.24041249733128,True,9,43.397312276602044,168.48082499463018
9,2020-01-31,52,50,13.500958013900261,84.24041249733128,True,10,51.39403770642628,168.48082499463018
10,2020-02-01,62,60,13.500958013900261,84.24041249733128,True,11,60.155641943603335,168.48082499463018
11,2020-02-02,64,59,13.500958013900261,84.24041249733128,True,12,69.52400195125524,168.48082499463018
12,2020-02-03,72,67,13.500958013900261,84.24041249733128,True,13,79.28351161556652,168.48082499463018
13,2020-02-04,80,74,13.500958013900261,84.24041249733128,True,14,89.1783981269546,168.48082499463018
14,2020-02-05,99,93,13.500958013900261,84.24041249733128,True,15,98.93842086115176,168.48082499463018
15,2020-02-06,106,97,13.500958013900261,84.24041249733128,True,16,108.30775272542826,168.48082499463018
16,2020-02-07,117,105,13.500958013900261,84.24041249733128,True,17,117.07069082321834,168.48082499463018
17,2020-02-08,124,108,13.500958013900261,84.24041249733128,True,18,125.06899220125703,168.48082499463018
18,2020-02-09,131,109,13.500958013900261,84.24041249733128,True,19,132.208475739588,168.48082499463018
19,2020-02-10,138,116,13.500958013900261,84.24041249733128,True,20,138.45568199164018,168.48082499463018
20,2020-02-11,144,121,13.500958013900261,84.24041249733128,True,21,143.82756555790934,168.48082499463018
21,2020-02-12,157,126,13.500958013900261,84.24041249733128,True,22,148.3778959490829,168.48082499463018
22,2020-02-13,157,123,13.500958013900261,84.24041249733128,True,23,152.18352412160226,168.48082499463018
23,2020-02-14,159,112,13.500958013900261,84.24041249733128,True,24,155.33255963872625,168.48082499463018
24,2020-02-15,162,119,13.500958013900261,84.24041249733128,True,25,157.91536830343907,168.48082499463018
25,2020-02-16,162,106,13.500958013900261,84.24041249733128,True,26,160.0184576874468,168.48082499463018
26,2020-02-17,163,100,13.500958013900261,84.24041249733128,True,27,161.72084054950767,168.48082499463018
27,2020-02-18,163,80,13.500958013900261,84.24041249733128,True,28,163.09228585790396,168.48082499463018
