,Report_Date,Italy_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.35694565550074,106846.79372063628,True,1,128.4654253371665,212294.0896710418
1,2020-01-23,0,71.35694565550074,106846.79372063628,True,2,142.73630139411327,212294.0896710418
2,2020-01-24,0,71.35694565550074,106846.79372063628,True,3,158.59131317151866,212294.0896710418
3,2020-01-25,0,71.35694565550074,106846.79372063628,True,4,176.20603131000453,212294.0896710418
4,2020-01-26,0,71.35694565550074,106846.79372063628,True,5,195.77542033342775,212294.0896710418
5,2020-01-27,0,71.35694565550074,106846.79372063628,True,6,217.51596576466036,212294.0896710418
6,2020-01-28,0,71.35694565550074,106846.79372063628,True,7,241.6680309821671,212294.0896710418
7,2020-01-29,0,71.35694565550074,106846.79372063628,True,8,268.4984677921076,212294.0896710418
8,2020-01-30,0,71.35694565550074,106846.79372063628,True,9,298.30350699314585,212294.0896710418
9,2020-01-31,2,71.35694565550074,106846.79372063628,True,10,331.411957686055,212294.0896710418
10,2020-02-01,2,71.35694565550074,106846.79372063628,True,11,368.18874672772677,212294.0896710418
11,2020-02-02,2,71.35694565550074,106846.79372063628,True,12,409.0388325452702,212294.0896710418
12,2020-02-03,2,71.35694565550074,106846.79372063628,True,13,454.41153050084955,212294.0896710418
13,2020-02-04,2,71.35694565550074,106846.79372063628,True,14,504.80529011475244,212294.0896710418
14,2020-02-05,2,71.35694565550074,106846.79372063628,True,15,560.7729676864213,212294.0896710418
15,2020-02-06,2,71.35694565550074,106846.79372063628,True,16,622.927641162216,212294.0896710418
16,2020-02-07,3,71.35694565550074,106846.79372063628,True,17,691.949017430597,212294.0896710418
17,2020-02-08,3,71.35694565550074,106846.79372063628,True,18,768.5904855070045,212294.0896710418
18,2020-02-09,3,71.35694565550074,106846.79372063628,True,19,853.686872204759,212294.0896710418
19,2020-02-10,3,71.35694565550074,106846.79372063628,True,20,948.162959747859,212294.0896710418
20,2020-02-11,3,71.35694565550074,106846.79372063628,True,21,1053.0428272030415,212294.0896710418
21,2020-02-12,3,71.35694565550074,106846.79372063628,True,22,1169.4600793836705,212294.0896710418
22,2020-02-13,3,71.35694565550074,106846.79372063628,True,23,1298.6690277444372,212294.0896710418
23,2020-02-14,3,71.35694565550074,106846.79372063628,True,24,1442.0568874157227,212294.0896710418
24,2020-02-15,3,71.35694565550074,106846.79372063628,True,25,1601.157052513838,212294.0896710418
25,2020-02-16,3,71.35694565550074,106846.79372063628,True,26,1777.6635077098365,212294.0896710418
