,Report_Date,China_beijing_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,14,18.851245780415532,262.7200851975859,True,1,93.4309966486601,523.6419880696159
1,2020-01-23,22,18.851245780415532,262.7200851975859,True,2,100.20317202146619,523.6419880696159
2,2020-01-24,36,18.851245780415532,262.7200851975859,True,3,107.34424668191848,523.6419880696159
3,2020-01-25,41,18.851245780415532,262.7200851975859,True,4,114.85677844783268,523.6419880696159
4,2020-01-26,68,18.851245780415532,262.7200851975859,True,5,122.74072787597679,523.6419880696159
5,2020-01-27,80,18.851245780415532,262.7200851975859,True,6,130.99318927438475,523.6419880696159
6,2020-01-28,91,18.851245780415532,262.7200851975859,True,7,139.6081471243271,523.6419880696159
7,2020-01-29,111,18.851245780415532,262.7200851975859,True,8,148.57626843296268,523.6419880696159
8,2020-01-30,114,18.851245780415532,262.7200851975859,True,9,157.88474176120334,523.6419880696159
9,2020-01-31,139,18.851245780415532,262.7200851975859,True,10,167.51717338772804,523.6419880696159
10,2020-02-01,168,18.851245780415532,262.7200851975859,True,11,177.45355020467088,523.6419880696159
11,2020-02-02,191,18.851245780415532,262.7200851975859,True,12,187.67027745003944,523.6419880696159
12,2020-02-03,212,18.851245780415532,262.7200851975859,True,13,198.14029726528332,523.6419880696159
13,2020-02-04,228,18.851245780415532,262.7200851975859,True,14,208.83329137280148,523.6419880696159
14,2020-02-05,253,18.851245780415532,262.7200851975859,True,15,219.71596800097575,523.6419880696159
15,2020-02-06,274,18.851245780415532,262.7200851975859,True,16,230.7524296996542,523.6419880696159
16,2020-02-07,297,18.851245780415532,262.7200851975859,True,17,241.9046150877378,523.6419880696159
17,2020-02-08,315,18.851245780415532,262.7200851975859,True,18,253.13280408795492,523.6419880696159
18,2020-02-09,326,18.851245780415532,262.7200851975859,True,19,264.3961730742679,523.6419880696159
19,2020-02-10,337,18.851245780415532,262.7200851975859,True,20,275.6533838148747,523.6419880696159
20,2020-02-11,342,18.851245780415532,262.7200851975859,True,21,286.8631883333309,523.6419880696159
21,2020-02-12,352,18.851245780415532,262.7200851975859,True,22,297.98503097058295,523.6419880696159
22,2020-02-13,366,18.851245780415532,262.7200851975859,True,23,308.979629078849,523.6419880696159
23,2020-02-14,372,18.851245780415532,262.7200851975859,True,24,319.80951490240295,523.6419880696159
24,2020-02-15,375,18.851245780415532,262.7200851975859,True,25,330.439523210808,523.6419880696159
25,2020-02-16,380,18.851245780415532,262.7200851975859,True,26,340.8372119897058,523.6419880696159
26,2020-02-17,381,18.851245780415532,262.7200851975859,True,27,350.973206755162,523.6419880696159
27,2020-02-18,387,18.851245780415532,262.7200851975859,True,28,360.82146260349407,523.6419880696159
28,2020-02-19,393,18.851245780415532,262.7200851975859,True,29,370.35944169822466,523.6419880696159
29,2020-02-20,395,18.851245780415532,262.7200851975859,True,30,379.5682073052022,523.6419880696159
30,2020-02-21,396,18.851245780415532,262.7200851975859,True,31,388.4324385272679,523.6419880696159
31,2020-02-22,399,18.851245780415532,262.7200851975859,True,32,396.9403724201554,523.6419880696159
32,2020-02-23,399,18.851245780415532,262.7200851975859,True,33,405.08368210439505,523.6419880696159
33,2020-02-24,399,18.851245780415532,262.7200851975859,True,34,412.85730079030293,523.6419880696159
34,2020-02-25,400,18.851245780415532,262.7200851975859,True,35,420.2592023192893,523.6419880696159
35,2020-02-26,400,18.851245780415532,262.7200851975859,True,36,427.2901489485172,523.6419880696159
36,2020-02-27,410,18.851245780415532,262.7200851975859,True,37,433.9534167492351,523.6419880696159
37,2020-02-28,410,18.851245780415532,262.7200851975859,True,38,440.254508250299,523.6419880696159
38,2020-02-29,411,18.851245780415532,262.7200851975859,True,39,446.2008609418129,523.6419880696159
39,2020-03-01,413,18.851245780415532,262.7200851975859,True,40,451.80155906076095,523.6419880696159
40,2020-03-02,414,18.851245780415532,262.7200851975859,True,41,457.0670548026397,523.6419880696159
41,2020-03-03,414,18.851245780415532,262.7200851975859,True,42,462.00890381809853,523.6419880696159
42,2020-03-04,418,18.851245780415532,262.7200851975859,True,43,466.6395186229709,523.6419880696159
43,2020-03-05,418,18.851245780415532,262.7200851975859,True,44,470.97194241885273,523.6419880696159
44,2020-03-06,422,18.851245780415532,262.7200851975859,True,45,475.01964481907277,523.6419880696159
45,2020-03-07,426,18.851245780415532,262.7200851975859,True,46,478.796340117431,523.6419880696159
46,2020-03-08,428,18.851245780415532,262.7200851975859,True,47,482.3158280292083,523.6419880696159
47,2020-03-09,428,18.851245780415532,262.7200851975859,True,48,485.5918562717692,523.6419880696159
48,2020-03-10,429,18.851245780415532,262.7200851975859,True,49,488.63800392552076,523.6419880696159
49,2020-03-11,435,18.851245780415532,262.7200851975859,True,50,491.46758421097985,523.6419880696159
50,2020-03-12,435,18.851245780415532,262.7200851975859,True,51,494.09356511800814,523.6419880696159
51,2020-03-13,436,18.851245780415532,262.7200851975859,True,52,496.52850621197206,523.6419880696159
52,2020-03-14,437,18.851245780415532,262.7200851975859,True,53,498.7845099021184,523.6419880696159
53,2020-03-15,442,18.851245780415532,262.7200851975859,True,54,500.87318547439594,523.6419880696159
54,2020-03-16,452,18.851245780415532,262.7200851975859,True,55,502.8056242504504,523.6419880696159
55,2020-03-17,456,18.851245780415532,262.7200851975859,True,56,504.5923843245629,523.6419880696159
56,2020-03-18,469,18.851245780415532,262.7200851975859,True,57,506.24348344073553,523.6419880696159
57,2020-03-19,480,18.851245780415532,262.7200851975859,True,58,507.76839869466556,523.6419880696159
58,2020-03-20,491,18.851245780415532,262.7200851975859,True,59,509.17607187335886,523.6419880696159
59,2020-03-21,504,18.851245780415532,262.7200851975859,True,60,510.47491937352856,523.6419880696159
60,2020-03-22,522,18.851245780415532,262.7200851975859,True,61,511.6728457648886,523.6419880696159
61,2020-03-23,537,18.851245780415532,262.7200851975859,True,62,512.7772601833127,523.6419880696159
62,2020-03-24,558,18.851245780415532,262.7200851975859,True,63,513.7950948497606,523.6419880696159
63,2020-03-25,561,18.851245780415532,262.7200851975859,True,64,514.732825112823,523.6419880696159
64,2020-03-26,566,18.851245780415532,262.7200851975859,True,65,515.596490505184,523.6419880696159
65,2020-03-27,569,18.851245780415532,262.7200851975859,True,66,516.391716387149,523.6419880696159
66,2020-03-28,573,18.851245780415532,262.7200851975859,True,67,517.1237358238708,523.6419880696159
67,2020-03-29,577,18.851245780415532,262.7200851975859,True,68,517.7974114074602,523.6419880696159
68,2020-03-30,577,18.851245780415532,262.7200851975859,True,69,518.4172567913768,523.6419880696159
69,2020-03-31,580,18.851245780415532,262.7200851975859,True,70,518.9874577530195,523.6419880696159
70,2020-04-01,580,18.851245780415532,262.7200851975859,True,71,519.5118926419937,523.6419880696159
71,2020-04-02,582,18.851245780415532,262.7200851975859,True,72,519.9941521068216,523.6419880696159
72,2020-04-03,584,18.851245780415532,262.7200851975859,True,73,520.4375580225928,523.6419880696159
73,2020-04-04,585,18.851245780415532,262.7200851975859,True,74,520.8451815668714,523.6419880696159
74,2020-04-05,586,18.851245780415532,262.7200851975859,True,75,521.2198604117184,523.6419880696159
