,Report_Date,Canada_alberta_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.46246863895914,1114.5117436008577,True,1,0.026017016781944353,1984.3428427302317
1,2020-01-23,0,74.46246863895914,1114.5117436008577,True,2,0.030367187502852458,1984.3428427302317
2,2020-01-24,0,74.46246863895914,1114.5117436008577,True,3,0.03544471618863569,1984.3428427302317
3,2020-01-25,0,74.46246863895914,1114.5117436008577,True,4,0.041371214474876634,1984.3428427302317
4,2020-01-26,0,74.46246863895914,1114.5117436008577,True,5,0.048288625506465864,1984.3428427302317
5,2020-01-27,0,74.46246863895914,1114.5117436008577,True,6,0.056362622488581024,1984.3428427302317
6,2020-01-28,0,74.46246863895914,1114.5117436008577,True,7,0.06578657512930443,1984.3428427302317
7,2020-01-29,0,74.46246863895914,1114.5117436008577,True,8,0.0767861787952606,1984.3428427302317
8,2020-01-30,0,74.46246863895914,1114.5117436008577,True,9,0.08962485700787133,1984.3428427302317
9,2020-01-31,0,74.46246863895914,1114.5117436008577,True,10,0.10461006633935403,1984.3428427302317
10,2020-02-01,0,74.46246863895914,1114.5117436008577,True,11,0.12210065425702701,1984.3428427302317
11,2020-02-02,0,74.46246863895914,1114.5117436008577,True,12,0.14251544551445808,1984.3428427302317
12,2020-02-03,0,74.46246863895914,1114.5117436008577,True,13,0.1663432618820286,1984.3428427302317
13,2020-02-04,0,74.46246863895914,1114.5117436008577,True,14,0.19415461402440407,1984.3428427302317
14,2020-02-05,0,74.46246863895914,1114.5117436008577,True,15,0.22661534395237684,1984.3428427302317
15,2020-02-06,0,74.46246863895914,1114.5117436008577,True,16,0.264502542608944,1984.3428427302317
16,2020-02-07,0,74.46246863895914,1114.5117436008577,True,17,0.3087231208426035,1984.3428427302317
17,2020-02-08,0,74.46246863895914,1114.5117436008577,True,18,0.3603354744836143,1984.3428427302317
18,2020-02-09,0,74.46246863895914,1114.5117436008577,True,19,0.42057475686246176,1984.3428427302317
19,2020-02-10,0,74.46246863895914,1114.5117436008577,True,20,0.4908823564905429,1984.3428427302317
20,2020-02-11,0,74.46246863895914,1114.5117436008577,True,21,0.5729402755877258,1984.3428427302317
21,2020-02-12,0,74.46246863895914,1114.5117436008577,True,22,0.6687112187717631,1984.3428427302317
22,2020-02-13,0,74.46246863895914,1114.5117436008577,True,23,0.7804853328822833,1984.3428427302317
23,2020-02-14,0,74.46246863895914,1114.5117436008577,True,24,0.9109346912612829,1984.3428427302317
24,2020-02-15,0,74.46246863895914,1114.5117436008577,True,25,1.0631767918364445,1984.3428427302317
25,2020-02-16,0,74.46246863895914,1114.5117436008577,True,26,1.2408485413653336,1984.3428427302317
26,2020-02-17,0,74.46246863895914,1114.5117436008577,True,27,1.448192431832319,1984.3428427302317
27,2020-02-18,0,74.46246863895914,1114.5117436008577,True,28,1.6901568831751521,1984.3428427302317
28,2020-02-19,0,74.46246863895914,1114.5117436008577,True,29,1.972513033417109,1984.3428427302317
29,2020-02-20,0,74.46246863895914,1114.5117436008577,True,30,2.3019906071789418,1984.3428427302317
30,2020-02-21,0,74.46246863895914,1114.5117436008577,True,31,2.686435890671832,1984.3428427302317
31,2020-02-22,0,74.46246863895914,1114.5117436008577,True,32,3.1349952895219437,1984.3428427302317
32,2020-02-23,0,74.46246863895914,1114.5117436008577,True,33,3.6583284482929743,1984.3428427302317
33,2020-02-24,0,74.46246863895914,1114.5117436008577,True,34,4.268855469143238,1984.3428427302317
34,2020-02-25,0,74.46246863895914,1114.5117436008577,True,35,4.981043381248112,1984.3428427302317
35,2020-02-26,0,74.46246863895914,1114.5117436008577,True,36,5.81173767857533,1984.3428427302317
36,2020-02-27,0,74.46246863895914,1114.5117436008577,True,37,6.7805454523471616,1984.3428427302317
37,2020-02-28,0,74.46246863895914,1114.5117436008577,True,38,7.910277379680027,1984.3428427302317
38,2020-02-29,0,74.46246863895914,1114.5117436008577,True,39,9.227456564565045,1984.3428427302317
39,2020-03-01,0,74.46246863895914,1114.5117436008577,True,40,10.762902919992957,1984.3428427302317
40,2020-03-02,0,74.46246863895914,1114.5117436008577,True,41,12.552402368962778,1984.3428427302317
41,2020-03-03,0,74.46246863895914,1114.5117436008577,True,42,14.63747053846365,1984.3428427302317
42,2020-03-04,0,74.46246863895914,1114.5117436008577,True,43,17.066220699124013,1984.3428427302317
43,2020-03-05,0,74.46246863895914,1114.5117436008577,True,44,19.89434529131803,1984.3428427302317
44,2020-03-06,1,74.46246863895914,1114.5117436008577,True,45,23.186219241915975,1984.3428427302317
45,2020-03-07,2,74.46246863895914,1114.5117436008577,True,46,27.016131102708385,1984.3428427302317
46,2020-03-08,4,74.46246863895914,1114.5117436008577,True,47,31.469644424126603,1984.3428427302317
47,2020-03-09,7,74.46246863895914,1114.5117436008577,True,48,36.64508619396965,1984.3428427302317
48,2020-03-10,7,74.46246863895914,1114.5117436008577,True,49,42.655150967039816,1984.3428427302317
49,2020-03-11,19,74.46246863895914,1114.5117436008577,True,50,49.628597693845094,1984.3428427302317
50,2020-03-12,19,74.46246863895914,1114.5117436008577,True,51,57.71200029566671,1984.3428427302317
51,2020-03-13,29,74.46246863895914,1114.5117436008577,True,52,67.0714916980254,1984.3428427302317
52,2020-03-14,29,74.46246863895914,1114.5117436008577,True,53,77.89441327024642,1984.3428427302317
53,2020-03-15,39,74.46246863895914,1114.5117436008577,True,54,90.39074649683143,1984.3428427302317
54,2020-03-16,56,74.46246863895914,1114.5117436008577,True,55,104.79416067624507,1984.3428427302317
55,2020-03-17,74,74.46246863895914,1114.5117436008577,True,56,121.36245972300385,1984.3428427302317
56,2020-03-18,97,74.46246863895914,1114.5117436008577,True,57,140.37715428989472,1984.3428427302317
57,2020-03-19,119,74.46246863895914,1114.5117436008577,True,58,162.14182606134753,1984.3428427302317
58,2020-03-20,146,74.46246863895914,1114.5117436008577,True,59,186.97889582077192,1984.3428427302317
59,2020-03-21,195,74.46246863895914,1114.5117436008577,True,60,215.22436633633203,1984.3428427302317
60,2020-03-22,259,74.46246863895914,1114.5117436008577,True,61,247.22010051609624,1984.3428427302317
61,2020-03-23,301,74.46246863895914,1114.5117436008577,True,62,283.30323475098726,1984.3428427302317
62,2020-03-24,359,74.46246863895914,1114.5117436008577,True,63,323.7924406482997,1984.3428427302317
63,2020-03-25,358,74.46246863895914,1114.5117436008577,True,64,368.9709596399639,1984.3428427302317
64,2020-03-26,486,74.46246863895914,1114.5117436008577,True,65,419.0666627930107,1984.3428427302317
65,2020-03-27,542,74.46246863895914,1114.5117436008577,True,66,474.2298364231217,1984.3428427302317
66,2020-03-28,542,74.46246863895914,1114.5117436008577,True,67,534.5099407633292,1984.3428427302317
67,2020-03-29,621,74.46246863895914,1114.5117436008577,True,68,599.8331753457826,1984.3428427302317
68,2020-03-30,661,74.46246863895914,1114.5117436008577,True,69,669.9832104756482,1984.3428427302317
69,2020-03-31,690,74.46246863895914,1114.5117436008577,True,70,744.5877733301572,1984.3428427302317
70,2020-04-01,754,74.46246863895914,1114.5117436008577,True,71,823.1137617503218,1984.3428427302317
71,2020-04-02,969,74.46246863895914,1114.5117436008577,True,72,904.8730792363516,1984.3428427302317
72,2020-04-03,969,74.46246863895914,1114.5117436008577,True,73,989.0404004555243,1984.3428427302317
73,2020-04-04,1075,74.46246863895914,1114.5117436008577,True,74,1074.6826686762383,1984.3428427302317
74,2020-04-05,1181,74.46246863895914,1114.5117436008577,True,75,1160.7985101081822,1984.3428427302317
75,2020-04-06,1250,74.46246863895914,1114.5117436008577,True,76,1246.3642407282193,1984.3428427302317
76,2020-04-07,1373,74.46246863895914,1114.5117436008577,True,77,1330.3820753518007,1984.3428427302317
77,2020-04-08,1373,74.46246863895914,1114.5117436008577,True,78,1411.9257824710921,1984.3428427302317
